OBJECTID,county,trust_name,lease_status,lessee,township,range,section,aliquot,acres,trs - Copy
144065,Coconino,AGRICULTURE & MECHANICAL CLLGE,Y,Hopi Tribe,16N,14E,10,M&B IN SEC N OF THE MIDDLE OF THE WATERCOURSE OF CLEAR CREEK CANYON,599.5,16N - 14E - 10
144066,Coconino,AGRICULTURE & MECHANICAL CLLGE,Y,Hopi Tribe,16N,13E,18,LOTS 1 THRU 12 NE W2SE LY NWLY FROM C/L OF STATE HIGHWAY 87 EX PAT 5630 LY IN SESE OF LOT 12,650.34,16N - 13E - 18
144068,Coconino,AGRICULTURE & MECHANICAL CLLGE,Y,Hopi Tribe,16N,14E,6,LOTS 1 THRU 22 E2SW SE,1145.56,16N - 14E - 6
144069,Coconino,AGRICULTURE & MECHANICAL CLLGE,Y,Hopi Tribe,16N,14E,4,LOTS 1 THRU 20 S2,1119.96,16N - 14E - 4
144072,Coconino,AGRICULTURE & MECHANICAL CLLGE,Y,Hopi Tribe,16N,13E,18,E2 SESESESE OF LOT 12 LY SELY FROM C/L OF STATE HIGHWAY 87,96.22,16N - 13E - 18
144148,Coconino,MINERS HSPTL-DISABLED MINERS,Y,Hopi Tribe,16N,14E,12,E2 LY SELY OF CLEAR CREEK CANYON,280,16N - 14E - 12
144149,Coconino,MINERS HSPTL-DISABLED MINERS,Y,Hopi Tribe,16N,14E,12,N2NENE W2NE W2NWNWSE LY NWLY OF CLEAR CREEK CANYON,40,16N - 14E - 12
144249,Coconino,PERM COMMON SCHOOLS,Y,Hopi Tribe,20N,11E,2,LOTS 1 THRU 12 S2 EX CONDEMNATION 95-98643 LY IN SWSWSWSW,815.23,20N - 11E - 2
144251,Coconino,PERM COMMON SCHOOLS,Y,Hopi Tribe,20N,12E,2,SWNW SW W2SE SESE AND LOTS 3 4 S2NE SENW NESE LY S FROM C/L OF RAILROAD,505.91,20N - 12E - 2
144255,Coconino,PERM COMMON SCHOOLS,Y,Hopi Tribe,20N,12E,16,NE N2NW N2S2NW N2S2S2NW AND S2S2S2NW N2N2NENESW N2N2SE LY N OF CONDEMNATION 95-98643,335.33,20N - 12E - 16
144256,Coconino,PERM COMMON SCHOOLS,Y,Hopi Tribe,20N,11E,16,ALL,640,20N - 11E - 16
144260,Coconino,PERM COMMON SCHOOLS,Y,Hopi Tribe,20N,12E,36,W2W2NWNWNENE NWNE NW NWNWNWNWSW LY NWLY OF FENCE,267.82,20N - 12E - 36
144263,Coconino,PERM COMMON SCHOOLS,Y,Hopi Tribe,20N,12E,32,ALL,640,20N - 12E - 32
144264,Coconino,PERM COMMON SCHOOLS,Y,Hopi Tribe,20N,10E,36,ALL,640,20N - 10E - 36
144265,Coconino,PERM COMMON SCHOOLS,Y,Hopi Tribe,20N,11E,32,ALL,640,20N - 11E - 32
144266,Coconino,PERM COMMON SCHOOLS,Y,Hopi Tribe,20N,11E,36,ALL,640,20N - 11E - 36
144268,Coconino,PERM COMMON SCHOOLS,Y,Hopi Tribe,19N,12E,2,LOTS1 THRU 4 S2N2 S2,639.04,19N - 12E - 2
144270,Coconino,PERM COMMON SCHOOLS,Y,Hopi Tribe,19N,11E,2,ALL,640,19N - 11E - 2
144272,Coconino,PERM COMMON SCHOOLS,Y,"Bar T Bar Ranch, Inc.",19N,14E,16,ALL,640,19N - 14E - 16
144276,Coconino,PERM COMMON SCHOOLS,Y,Hopi Tribe,19N,11E,16,ALL,640,19N - 11E - 16
144281,Coconino,PERM COMMON SCHOOLS,Y,Hopi Tribe,18N,14E,2,LOTS 1 THRU 4 S2N2 S2,675.2,18N - 14E - 2
144282,Coconino,PERM COMMON SCHOOLS,Y,"Bar T Bar Ranch, Inc.",18N,13E,2,L 1 TO 4 S2N2 S2,673.4,18N - 13E - 2
144285,Coconino,PERM COMMON SCHOOLS,Y,Hopi Tribe,19N,11E,32,LOTS 1 THRU 4 N2S2 N2,637.24,19N - 11E - 32
144290,Coconino,PERM COMMON SCHOOLS,Y,Hopi Tribe,18N,15E,32,ALL,640,18N - 15E - 32
144291,Coconino,PERM COMMON SCHOOLS,Y,Hopi Tribe,18N,14E,36,E2 S2NW SW AND N2NW LY SELY FROM C/L OF STATE HIGHWAY 87,626.43,18N - 14E - 36
144292,Coconino,PERM COMMON SCHOOLS,Y,Hopi Tribe,18N,14E,32,ALL,640,18N - 14E - 32
144293,Coconino,PERM COMMON SCHOOLS,Y,Hopi Tribe,18N,13E,32,E2NE SWNE SESW SE AND NWNE E2NW N2SW SWSW LY SELY OF FENCE,469.3,18N - 13E - 32
144294,Coconino,PERM COMMON SCHOOLS,Y,Hopi Tribe,18N,13E,36,ALL,640,18N - 13E - 36
144297,Coconino,PERM COMMON SCHOOLS,Y,"Bar T Bar Ranch, Inc.",18N,13E,16,ALL,640,18N - 13E - 16
144301,Coconino,PERM COMMON SCHOOLS,Y,Hopi Tribe,19N,14E,32,ALL,640,19N - 14E - 32
144302,Coconino,PERM COMMON SCHOOLS,Y,"Bar T Bar Ranch, Inc.",19N,13E,36,ALL,640,19N - 13E - 36
144305,Coconino,PERM COMMON SCHOOLS,Y,Hopi Tribe,17N,13E,2,ALL,640,17N - 13E - 2
144311,Coconino,PERM COMMON SCHOOLS,Y,Hopi Tribe,17N,13E,36,LOTS 1 THRU 4 N2S2 N2,612.96,17N - 13E - 36
144312,Coconino,PERM COMMON SCHOOLS,Y,Hopi Tribe,17N,14E,32,LOTS 1 THRU 4 N2S2 N2,586.35,17N - 14E - 32
144313,Coconino,PERM COMMON SCHOOLS,Y,Hopi Tribe,17N,13E,32,LOTS 1 THRU 8 N2S2 N2,797.92,17N - 13E - 32
144315,Coconino,PERM COMMON SCHOOLS,Y,Hopi Tribe,17N,14E,36,LOTS 1 THRU 4 N2S2 N2,595.16,17N - 14E - 36
144316,Coconino,PERM COMMON SCHOOLS,Y,Hopi Tribe,17N,15E,16,W2E2E2 W2E2 W2 AND E2E2E2 LY W OF COUNTY LINE,596.36,17N - 15E - 16
144317,Coconino,PERM COMMON SCHOOLS,Y,Hopi Tribe,17N,14E,16,ALL,640,17N - 14E - 16
144318,Coconino,PERM COMMON SCHOOLS,Y,Hopi Tribe,17N,13E,16,ALL,640,17N - 13E - 16
144321,Coconino,PERM COMMON SCHOOLS,Y,Hopi Tribe,17N,14E,2,ALL,640,17N - 14E - 2
144328,Coconino,PERM COMMON SCHOOLS,Y,Hopi Tribe,16N,13E,16,ALL,640,16N - 13E - 16
144329,Coconino,PERM COMMON SCHOOLS,Y,Hopi Tribe,16N,15E,16,ALL,640,16N - 15E - 16
144330,Coconino,PERM COMMON SCHOOLS,Y,Hopi Tribe,16N,14E,16,ALL,640,16N - 14E - 16
144331,Coconino,PERM COMMON SCHOOLS,Y,Hopi Tribe,16N,14E,2,LOTS 1 THRU 20 S2,1109.92,16N - 14E - 2
144334,Coconino,PERM COMMON SCHOOLS,Y,"Bar T Bar Ranch, Inc.",17N,12.5E,36,LOTS 1 THRU 4 N2N2,331.21,17N - 12.5E - 36
144335,Coconino,PERM COMMON SCHOOLS,Y,Hopi Tribe,16N,13E,2,LOTS 1 THRU 16 S2,1003.16,16N - 13E - 2
144337,Coconino,PERM COMMON SCHOOLS,Y,Hopi Tribe,15N,15E,16,ALL,640,15N - 15E - 16
144341,Coconino,PERM COMMON SCHOOLS,Y,Hopi Tribe,16N,15E,32,ALL,640,16N - 15E - 32
144343,Coconino,PERM COMMON SCHOOLS,Y,Hopi Tribe,20N,12E,16,S2N2S2 S2S2 AND S2S2SWNW N2N2S2 LY S OF CONDEMNATION 95-98643,297.82,20N - 12E - 16
144344,Coconino,PERM COMMON SCHOOLS,Y,City of Flagstaff,20N,12E,2,LOTS 1 2 AND LOTS 3 4 S2NE N2N2SENW N2N2NESE LY N OF RR,208.61,20N - 12E - 2
144578,Coconino,PERM COMMON SCHOOLS,Y,Hopi Tribe,21N,10E,36,ALL EX 10.01AC IN NWSE LY S OF HWY,617.79,21N - 10E - 36
144774,Coconino,PERM COMMON SCHOOLS,Y,Hopi Tribe,18N,14E,16,ALL,640,18N - 14E - 16
144803,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,20N,11E,6,LOTS 1 THRU 15 E2SW SE EX M&B IN LOT 6,916.41,20N - 11E - 6
