OBJECTID,county,trust_name,lease_status,lessee,township,range,section,aliquot,acres,trs - Copy
144993,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,15E,18,LOTS 1 THRU 4 E2W2 E2,641.8,17N - 15E - 18
144994,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,14E,14,ALL,640,17N - 14E - 14
144996,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,13E,18,LOTS 1 THRU 4 E2W2 E2,664.76,17N - 13E - 18
145000,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,13E,14,ALL,640,17N - 13E - 14
145001,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,14E,18,NE SESESESESENW S2 LY SELY FROM C/L OF STATE HIGHWAY 87,327.29,17N - 14E - 18
145002,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,13E,24,NE SENW S2 LY SELY FROM C/L OF STATE HIGHWAY 87,408.37,17N - 13E - 24
145003,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,14E,20,ALL,640,17N - 14E - 20
145004,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,15E,20,ALL,640,17N - 15E - 20
145005,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,13E,22,ALL,640,17N - 13E - 22
145006,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,14E,22,ALL,640,17N - 14E - 22
145007,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,14E,24,ALL,640,17N - 14E - 24
145008,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,13E,20,ALL,640,17N - 13E - 20
145012,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,15E,28,W2NW SENW SW W2SE AND NE NENW E2SE LY N W OF CLEAR CREEK CANYON W OF COUNTY LINE IN E2NENE,473.21,17N - 15E - 28
145013,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,14E,28,ALL,640,17N - 14E - 28
145014,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,14E,30,LOTS 1 THRU 4 E2 E2W2 EX 1.00AC TV TOWER SITE LY IN E2E2NESW,641.92,17N - 14E - 30
145015,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,13E,26,NE SENW S2 LY SELY FROM C/L OF STATE HIGHWAY 87,386.39,17N - 13E - 26
145016,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,15E,30,LOTS 1 THRU 4 E2W2 E2,642.56,17N - 15E - 30
145017,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,14E,26,ALL,640,17N - 14E - 26
145018,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,13E,28,ALL,640,17N - 13E - 28
145024,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,15E,4,W2E2E2 W2E2 W2 AND E2E2E2 LY W OF COUNTY LINE,594.46,17N - 15E - 4
145026,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,14E,6,LOTS 1 THRU 4 E2W2 E2,640.36,17N - 14E - 6
145027,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,15E,6,LOTS 1 THRU 4 E2W2 E2,640.4,17N - 15E - 6
145030,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,16N,15E,8,ALL,640,16N - 15E - 8
145032,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,16N,15E,18,LOT 1,49.5,16N - 15E - 18
145036,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,16N,15E,20,ALL,640,16N - 15E - 20
145039,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,16N,15E,30,LOTS 1 THRU 4 E2W2 E2,679.64,16N - 15E - 30
145040,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,16N,15E,28,ALL,640,16N - 15E - 28
145043,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,16N,15E,4,LOTS 1 THRU 20 S2,1112.08,16N - 15E - 4
145044,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,16N,15E,6,LOTS 1 THRU 15 18 THRU 22 NESW NWSESW N2NWNWSE LY NWLY OF CLEAR CREEK CANYON,672.1,16N - 15E - 6
145047,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,15N,15E,8,ALL,640,15N - 15E - 8
145053,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,15N,15E,10,W2W2W2W2 LY W OF COUNTY LINE,31.65,15N - 15E - 10
145054,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,20N,11E,4,LOTS 1 THRU 4 7 8 AND LOTS 5 6 9 10 11 N2NENESE LY N OF CONDEMNATION 95-98643,373.23,20N - 11E - 4
145055,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,20N,11E,12,NE N2NW AND S2NW NESW SE LY N OF CONDEMNATION 95-98643,414.66,20N - 11E - 12
145056,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,20N,11E,12,SWSW AND SWSWNW N2SW SE LY S OF CONDEMNATION 95-98643,149.33,20N - 11E - 12
145059,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,20N,12E,18,LOT 1 NENW N2NE N2S2NE LY N OF CONDEMNATION 95-98643,136.2,20N - 12E - 18
145061,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,16N,15E,34,W2W2W2W2 LY W OF COUNTY LINE,28.27,16N - 15E - 34
145062,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,16N,15E,22,W2W2W2W2 LY W OF COUNTY LINE,25.41,16N - 15E - 22
145063,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,16N,15E,10,W2W2W2W2 LY W OF COUNTY LINE,26.4,16N - 15E - 10
145065,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,16N,15E,6,LOTS 14 15 18 19 22 E2SW W2SE LY SELY OF CLEAR CREEK CANYON,274.2,16N - 15E - 6
145068,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,16N,14E,12,M&B IN W2 N OF THE MIDDLE OF THE WATERCOURSE OF CLEAR CREEK CANYON,162.7,16N - 14E - 12
145074,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,13E,26,N2 SW LY NWLY FROM C/L OF STATE HIGHWAY 87,253.61,17N - 13E - 26
145075,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,13E,24,N2NE NWSWNE NW NWNESW NWSW NWSWSW LY NWLY FROM C/L OF STATE HIGHWAY 87,231.63,17N - 13E - 24
145076,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,14E,18,N2 N2SW SWSW LY NWLY FROM C/L OF STATE HIGHWAY 87,314.23,17N - 14E - 18
145077,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,14E,8,SENE SE SESENESW SESW SESWSW LY SELY FROM C/L OF STATE HIGHWAY 87,180.96,17N - 14E - 8
145078,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,14E,4,NESE S2SE LY SELY FROM C/L OF STATE HIGHWAY 87,65.28,17N - 14E - 4
145082,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,18N,15E,30,N2NE NWNWNWSWNE NW N2NWSW LY NWLY FROM C/L OF STATE HIGHWAY 87,171.16,18N - 15E - 30
145933,Coconino,SCHOOL OF MINES,Y,Hopi Tribe,16N,12E,12,SESW SE LY SELY OF JACKS CANYON,80.44,16N - 12E - 12
145934,Coconino,SCHOOL OF MINES,Y,"Bar T Bar Ranch, Inc.",16N,12E,14,ALL,640,16N - 12E - 14
145935,Coconino,SCHOOL OF MINES,Y,Ohaco Cattle Company,15N,15E,22,W2W2W2W2 LY W OF COUNTY LINE,27.79,15N - 15E - 22
145975,Coconino,UNIVERSITY,Y,Hopi Tribe,20N,12E,28,ALL,640,20N - 12E - 28
146061,Coconino,COUNTY BOND,Y,Hopi Tribe,16N,13E,8,LY E FROM C/L OF STATE HIGHWAY 87,331.82,16N - 13E - 8
146062,Coconino,COUNTY BOND,Y,Hopi Tribe,16N,13E,10,ALL,640,16N - 13E - 10
146063,Coconino,COUNTY BOND,Y,Hopi Tribe,16N,13E,12,ALL,640,16N - 13E - 12
146064,Coconino,COUNTY BOND,Y,Hopi Tribe,16N,13E,14,ALL,640,16N - 13E - 14
146065,Coconino,COUNTY BOND,Y,Hopi Tribe,16N,13E,22,ALL,640,16N - 13E - 22
146067,Coconino,COUNTY BOND,Y,Hopi Tribe,16N,13E,4,LOTS 1 7 THRU 11 14 15 16 S2 LY E FROM C/L OF STATE HIGHWAY 87,568.36,16N - 13E - 4
146069,Coconino,COUNTY BOND,Y,Hopi Tribe,15N,15E,4,S2,320,15N - 15E - 4
151561,Navajo,PERM COMMON SCHOOLS,Y,Hopi Tribe,18N,16E,36,ALL,640,18N - 16E - 36
151562,Navajo,PERM COMMON SCHOOLS,Y,Hopi Tribe,18N,17E,32,ALL,640,18N - 17E - 32
151563,Navajo,PERM COMMON SCHOOLS,Y,Hopi Tribe,18N,16E,32,ALL,640,18N - 16E - 32
151569,Navajo,PERM COMMON SCHOOLS,Y,Hopi Tribe,18N,17E,16,ALL,640,18N - 17E - 16
151588,Navajo,PERM COMMON SCHOOLS,Y,Hopi Tribe,17N,16E,32,ALL,640,17N - 16E - 32
151589,Navajo,PERM COMMON SCHOOLS,Y,Hopi Tribe,17N,15E,36,LOTS 1 THRU 4 N2S2 N2,598.24,17N - 15E - 36
151595,Navajo,PERM COMMON SCHOOLS,Y,Hopi Tribe,17N,17E,16,ALL,640,17N - 17E - 16
151596,Navajo,PERM COMMON SCHOOLS,Y,Hopi Tribe,17N,16E,16,ALL,640,17N - 16E - 16
151597,Navajo,PERM COMMON SCHOOLS,Y,Hopi Tribe,18N,15E,36,LOTS 2 3 4 SESESWNE S2NW SW W2SE LY SLY OF CLEAR CREEK CANYON,320,18N - 15E - 36
151602,Navajo,PERM COMMON SCHOOLS,Y,Hopi Tribe,17N,16E,2,LOTS 1 THRU 4 S2N2 S2,599.44,17N - 16E - 2
151620,Navajo,PERM COMMON SCHOOLS,Y,Hopi Tribe,16N,15E,36,ALL,640,16N - 15E - 36
151626,Navajo,PERM COMMON SCHOOLS,Y,Hopi Tribe,16N,15E,2,LOTS 1 THRU 20 S2,1111.56,16N - 15E - 2
151660,Navajo,PERM COMMON SCHOOLS,Y,Hopi Tribe,15N,15E,2,LOTS 1 THRU 4 S2N2 S2,641.4,15N - 15E - 2
151697,Navajo,PERM COMMON SCHOOLS,Y,Hopi Tribe,16N,16E,32,M&B IN W2NE W2 W OF THE MIDDLE OF THE WATERCOURSE OF CHEVELON CANYON,291.1,16N - 16E - 32
151700,Navajo,PERM COMMON SCHOOLS,Y,Hopi Tribe,17N,15E,2,E2 NENW S2SW LY SELY OF CLEAR CREEK CANYON,250,17N - 15E - 2
151701,Navajo,PERM COMMON SCHOOLS,Y,Jake Reed Shumway and Natalie Ruth Shumway,18N,15E,36,N W CLEAR CREEK CYN,319.2,18N - 15E - 36
151895,Navajo,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Jaymes and Kelly Holcomb,18N,17E,4,LOTS 1 THRU 4 S2N2 S2,638.94,18N - 17E - 4
151896,Navajo,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Jaymes and Kelly Holcomb,18N,17E,6,LOTS 1 THRU 7 SENW S2NE E2SW SE,632.68,18N - 17E - 6
151901,Navajo,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,18N,17E,8,S2SE SW N2N2 S2NW NWSE,520,18N - 17E - 8
151907,Navajo,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,18N,16E,34,ALL,640,18N - 16E - 34
151910,Navajo,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,18N,17E,18,LOTS 1 THRU 4 E2W2 E2,634.68,18N - 17E - 18
151913,Navajo,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,18N,17E,22,ALL,640,18N - 17E - 22
151914,Navajo,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,18N,16E,24,ALL,640,18N - 16E - 24
151915,Navajo,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,18N,17E,20,ALL,640,18N - 17E - 20
151920,Navajo,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,18N,17E,30,LOTS 1 THRU 4 E2W2 E2,635.38,18N - 17E - 30
151921,Navajo,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,18N,17E,28,ALL,640,18N - 17E - 28
151922,Navajo,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,18N,16E,28,ALL,640,18N - 16E - 28
151923,Navajo,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,18N,16E,26,ALL,640,18N - 16E - 26
151929,Navajo,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,17E,8,ALL,640,17N - 17E - 8
151930,Navajo,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,16E,12,LOTS 1 THRU 4 W2E2 W2,673.76,17N - 16E - 12
151931,Navajo,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,16E,10,ALL,640,17N - 16E - 10
151932,Navajo,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,16E,8,ALL,640,17N - 16E - 8
151933,Navajo,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,15E,12,ALL,640,17N - 15E - 12
151934,Navajo,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,15E,10,W2 N2NE W2SWNE W2SE LY NWLY OF CLEAR CREEK CANYON,320,17N - 15E - 10
151936,Navajo,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,16E,34,W2 NW2E2,480,17N - 16E - 34
151937,Navajo,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,15E,34,LOTS 1 THRU  4 N2S2 N2,594.2,17N - 15E - 34
151938,Navajo,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,17E,18,LOTS 1 THRU 4 E2W2 E2,643.84,17N - 17E - 18
151939,Navajo,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,16E,14,ALL,640,17N - 16E - 14
151940,Navajo,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,16E,18,ALL,640,17N - 16E - 18
151941,Navajo,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,15E,14,ALL,640,17N - 15E - 14
151944,Navajo,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,16E,22,ALL,640,17N - 16E - 22
151945,Navajo,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,16E,20,ALL,640,17N - 16E - 20
151946,Navajo,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,15E,24,ALL,640,17N - 15E - 24
151950,Navajo,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,16E,28,ALL,640,17N - 16E - 28
151951,Navajo,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,16E,30,ALL,640,17N - 16E - 30
151952,Navajo,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,15E,26,ALL,640,17N - 15E - 26
151953,Navajo,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,17E,4,LOTS 1 THRU 4 S2N2 S2,629.05,17N - 17E - 4
151954,Navajo,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,16E,6,LOTS 1 THRU 4 S2N2 S2,622.68,17N - 16E - 6
151955,Navajo,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,17E,6,LOTS 1 THRU 7 SENW E2SW S2NE SE,630.28,17N - 17E - 6
151957,Navajo,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,16N,16E,8,ALL,640,16N - 16E - 8
151958,Navajo,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,16N,15E,12,ALL,640,16N - 15E - 12
151959,Navajo,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,16N,15E,10,E2 E2W2 E2W2W2 AND E2W2W2W2 LY E OF COUNTY LINE,613.6,16N - 15E - 10
151962,Navajo,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,16N,16E,18,ALL,640,16N - 16E - 18
151963,Navajo,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,16N,15E,14,ALL,640,16N - 15E - 14
151966,Navajo,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,16N,15E,24,ALL,640,16N - 15E - 24
151967,Navajo,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,16N,15E,22,E2 E2W2 E2W2W2 AND E2W2W2W2 LY E OF COUNTY LINE,614.59,16N - 15E - 22
151968,Navajo,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,16N,16E,30,ALL,640,16N - 16E - 30
151969,Navajo,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,16N,15E,26,ALL,640,16N - 15E - 26
151971,Navajo,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,16N,16E,6,LOTS 1 THRU 16 S2,877.14,16N - 16E - 6
151972,Navajo,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,16N,16E,4,LOTS 1 THRU 16 S2,874.92,16N - 16E - 4
151976,Navajo,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,15N,15E,10,E2 E2W2 E2W2W2 AND E2W2W2W2 LY E OF COUNTY LINE,608.35,15N - 15E - 10
151995,Navajo,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,16N,15E,34,E2 E2W2 E2W2W2 AND E2W2W2W2 LY E OF COUNTY LINE,611.73,16N - 15E - 34
152036,Navajo,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,15E,28,E2NENE LY N OF CLEAR CREEK CANYON E OF COUNTY LINE,6.79,17N - 15E - 28
152037,Navajo,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,15E,28,E2E2E2 LY S OF CLEAR CREEK CANYON AND E OF COUNTY LINE,38.07,17N - 15E - 28
152039,Navajo,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,15E,10,E2 E2SESW LY SELY OF CLEAR CREEK CANYON,320,17N - 15E - 10
152152,Navajo,SCHOOL OF MINES,Y,7B Livestock South LLC,15N,15E,12,M&B IN E2 S AND E OF THE MIDDLE OF THE WATERCOURSE OF CHEVELON CANYON,259.51,15N - 15E - 12
152153,Navajo,SCHOOL OF MINES,Y,Hopi Tribe,15N,15E,12,M&B IN N2NE N OF THE MIDDLE OF THE WATERCOURSE OF CHEVELON CANYON,10.97,15N - 15E - 12
152154,Navajo,SCHOOL OF MINES,Y,Hopi Tribe,15N,15E,12,M&B IN E2 W OF THE MIDDLE OF THE WATERCOURSE OF CHEVELON CANYON,49.52,15N - 15E - 12
152157,Navajo,SCHOOL OF MINES,Y,Ohaco Cattle Company,15N,15E,22,E2 E2W2 E2W2W2 AND E2W2W2W2 LY E OF COUNTY LINE,612.21,15N - 15E - 22
152160,Navajo,SCHOOL OF MINES,Y,Hopi Tribe,15N,15E,24,M&B IN NWNW N AND W OF THE MIDDLE OF THE WATERCOURSE OF CHEVELON CANYON,10.46,15N - 15E - 24
144247,Coconino,PERM COMMON SCHOOLS,Y,Navajo Nation,27N,7W,16,LOT 1,6.26,27N - 7W - 16
144354,Coconino,PERM COMMON SCHOOLS,Y,Navajo Nation,32N,6W,36,LOTS 1 2 3 4 E2E2,276.2,32N - 6W - 36
144355,Coconino,PERM COMMON SCHOOLS,Y,Navajo Nation,29N,6W,36,LOTS 1 2 3 4 E2E2,285.04,29N - 6W - 36
144356,Coconino,PERM COMMON SCHOOLS,Y,Navajo Nation,31N,6W,36,LOTS 1 2 3 4 E2E2,277.32,31N - 6W - 36
144357,Coconino,PERM COMMON SCHOOLS,Y,Navajo Nation,30N,6W,36,LOTS 1 2 3 4 E2E2,283.08,30N - 6W - 36
144402,Coconino,PERM COMMON SCHOOLS,Y,Navajo Nation,28N,6W,32,LOTS 1 2 3 E2NE SWNE E2SW SE SWSW,534.56,28N - 6W - 32
144503,Coconino,PERM COMMON SCHOOLS,Y,Navajo Nation,27N,8W,36,LOTS 1 2 3 SESE,148.96,27N - 8W - 36
144531,Coconino,PERM COMMON SCHOOLS,Y,Navajo Nation,26N,8W,16,LOTS 1 2 3 4 SENE SE S2SW,439.58,26N - 8W - 16
144532,Coconino,PERM COMMON SCHOOLS,Y,Navajo Nation,26N,9W,36,LOTS 1 2 S2NW SW E2,621.28,26N - 9W - 36
144533,Coconino,PERM COMMON SCHOOLS,Y,Navajo Nation,26N,8W,2,LOTS 1 2 3 E2SE SWSE,235.69,26N - 8W - 2
144559,Coconino,PERM COMMON SCHOOLS,Y,Navajo Nation,25N,9W,2,LOTS 1 THRU 4 S2N2 S2,638.84,25N - 9W - 2
145114,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Navajo Nation,28N,6W,14,LOTS 1 2 3 4 S2SE NESE,260.9,28N - 6W - 14
145195,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Navajo Nation,28N,6W,12,LOTS 1 THRU 4 E2,483.79,28N - 6W - 12
145196,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Navajo Nation,28N,6W,22,LOTS 1 2 3 4 SENE SE SESW,365.44,28N - 6W - 22
145586,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Navajo Nation,28N,6W,28,LOTS 1 THRU 5 SENE SE E2SW SWSW,460.2,28N - 6W - 28
145675,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Navajo Nation,27N,7W,12,LOTS 1 NENW S2NW NE S2,625.32,27N - 7W - 12
145677,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Navajo Nation,27N,7W,14,LOT 1 NENW S2NW NE S2,639.57,27N - 7W - 14
150594,Mohave,PERM COMMON SCHOOLS,N,,23N,13W,2,LOTS 1 THRU 3 S2NE SENW E2SW SWSW SE AND LOT 4 SWNW NWSW LY ELY OF PAT 620 EX M&B IN SWNW,611.3,23N - 13W - 2
151239,Mohave,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Francis Creek Ranch LLC,18N,13W,26,LOT 1 S2NE NW E2SE,340,18N - 13W - 26
144416,Coconino,PERM COMMON SCHOOLS,Y,Button Cattle Co,40N,2W,32,NW S2,480,40N - 2W - 32
144779,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Clairmont A. Griffiths Jr,41N,2W,31,E2NE SE PT OF LOTS 3 4 W2NE E2W2 E2NW NESW,413.1,41N - 2W - 31
150371,Mohave,PERM COMMON SCHOOLS,Y,Estate of Fred E Heaton,40N,3W,32,ALL,640,40N - 3W - 32
150372,Mohave,PERM COMMON SCHOOLS,Y,Alan B Heaton,40N,4W,32,M&B NE S2 NW EX SENW,318,40N - 4W - 32
150373,Mohave,PERM COMMON SCHOOLS,Y,David O. Johnson,40N,4W,36,ALL,640,40N - 4W - 36
150382,Mohave,PERM COMMON SCHOOLS,Y,Derk F Iverson,40N,5W,36,ALL,640,40N - 5W - 36
150670,Mohave,PERM COMMON SCHOOLS (INDMTY SELEC),N,,41N,2W,19,LOTS 3 4,79.22,41N - 2W - 19
150672,Mohave,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Clairmont A. Griffiths Jr,41N,2W,30,L4 SESW M&B IN SWSE,102.86,41N - 2W - 30
150673,Mohave,PERM COMMON SCHOOLS (INDMTY SELEC),Y,James F. Mace and Jodie S. Petersen,41N,2W,6,LOT 7 E2SW W2SE SESE M&B IN NESE,274.04,41N - 2W - 6
150674,Mohave,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Clairmont A. Griffiths Jr,41N,2W,31,LOTS 1 2 PT OF LOTS 3 4 W2NE E2W2,226.62,41N - 2W - 31
150686,Mohave,PERM COMMON SCHOOLS (INDMTY SELEC),Y,TED JENSEN,41N,2W,19,L1 W2NWNENE NENWNE W2NWNE W2SENWNE NENW,119.48,41N - 2W - 19
150832,Mohave,PERM COMMON SCHOOLS (INDMTY SELEC),Y,TED JENSEN,41N,2W,18,LOTS 1 THRU 4 N2NE E2W2 SE,557.44,41N - 2W - 18
150895,Mohave,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Estate of Fred E Heaton,40N,4W,34,W2NW,80,40N - 4W - 34
150902,Mohave,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Landell Heaton Et Al,40N,5W,35,N2NW SENW NESW,160,40N - 5W - 35
151166,Mohave,PERM COMMON SCHOOLS (INDMTY SELEC),Y,James F. Mace and Jodie S. Petersen,41N,2W,7,LOT 1 N2NE NENW,159.08,41N - 2W - 7
151167,Mohave,PERM COMMON SCHOOLS (INDMTY SELEC),Y,TED JENSEN,41N,2W,7,LOTS 3-4 E2SW SE LESS PAT #6327,313.42,41N - 2W - 7
151171,Mohave,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Estate of Fred E Heaton,40N,4W,34,NE N2SE,240,40N - 4W - 34
151175,Mohave,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Estate of Fred E Heaton,40N,4W,35,W2NE NW N2SW NWSE,360,40N - 4W - 35
151177,Mohave,PERM COMMON SCHOOLS (INDMTY SELEC),Y,David O. Johnson,40N,4W,35,E2E2,160,40N - 4W - 35
154603,Pinal,MINERS HSPTL-DISABLED MINERS,Y,Thomas M. Dugan Jr.,5S,4E,27,LOTS 1 AND 2,49.14,5S - 4E - 27
154610,Pinal,MINERS HSPTL-DISABLED MINERS,Y,Thomas M. Dugan Jr.,5S,4E,22,SE,160,5S - 4E - 22
154856,Pinal,PERM COMMON SCHOOLS,Y,EDWARD C PRATT FAMILY TRUST B,5S,3E,16,ALL,640,5S - 3E - 16
156762,Pinal,SCHOOL OF MINES,Y,Timothy S. Dugan,5S,4E,28,NESW NESWSW SESW SE E 13.75 AC OF LOT 1 SESWSW LY E OF GREENE CANAL,265,5S - 4E - 28
157036,Pinal,COUNTY BOND,Y,Arie H. Dejong Family Trust,4S,2E,26,NE,160,4S - 2E - 26
