state,managing_agency,rights_type,state_enabling_act,OBJECTID,county,lease_status,lessee,township,range,section,trs-copy,aliquot,acres,trust_name
AZ,State Land Department,Subsurface,36 Stat. 557-579 (1910),141873,Yuma,N,,9S,24W,36,9S - 24W - 36,W 33FT EX N 72FT OF W 33FT,3.95,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,37 Stat. 557-579 (1910),141876,Yuma,N,,9S,23W,32,9S - 23W - 32,E2NW N2N2SW N2S2NWSW SENESW SWNWSE,150,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,38 Stat. 557-579 (1910),141887,Yuma,N,,9S,25W,36,9S - 25W - 36,LOT 1 5 THRU 10 S2N2 S2,639.78,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,39 Stat. 557-579 (1910),141993,Yuma,N,,9S,24W,36,9S - 24W - 36,M&B IN E2 LY E OF CANAL,189.55,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,40 Stat. 557-579 (1910),142467,Lapaz,N,,8N,19W,16,8N - 19W - 16,LOTS 1 THRU 4 E2SW E2,504.72,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,41 Stat. 557-579 (1910),142549,Lapaz,N,,4N,21W,36,4N - 21W - 36,E2,320,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,42 Stat. 557-579 (1910),142618,Lapaz,N,,3N,21W,2,3N - 21W - 2,NE S2NW N2SW SESW SE,520,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,43 Stat. 557-579 (1910),142660,Lapaz,N,,8N,19W,3,8N - 19W - 3,LOTS 1 THRU 4 S2N2 S2,556,PERM COMMON SCHOOLS (INDMTY SELEC)
AZ,State Land Department,Subsurface,44 Stat. 557-579 (1910),142666,Lapaz,N,,9N,19W,11,9N - 19W - 11,LOTS 3 THRU 6 NENW E2,476.16,PERM COMMON SCHOOLS (INDMTY SELEC)
AZ,State Land Department,Subsurface,45 Stat. 557-579 (1910),142670,Lapaz,N,,9N,19W,2,9N - 19W - 2,LOTS 1 THRU 7 S2NE SENW E2SW SE,625.9,PERM COMMON SCHOOLS (INDMTY SELEC)
AZ,State Land Department,Subsurface,46 Stat. 557-579 (1910),142672,Lapaz,N,,8N,19W,9,8N - 19W - 9,LOTS 4 THRU 7 SWSE E2E2,291.76,PERM COMMON SCHOOLS (INDMTY SELEC)
AZ,State Land Department,Subsurface,47 Stat. 557-579 (1910),142703,Lapaz,N,,9N,19W,3,9N - 19W - 3,LOT 7,13.02,PERM COMMON SCHOOLS (INDMTY SELEC)
AZ,State Land Department,Subsurface,48 Stat. 557-579 (1910),142806,Lapaz,N,,7N,19W,19,7N - 19W - 19,LOTS 1 THRU 4 E2W2 E2,632.87,PERM COMMON SCHOOLS (INDMTY SELEC)
AZ,State Land Department,Subsurface,49 Stat. 557-579 (1910),142901,Lapaz,N,,7N,19W,18,7N - 19W - 18,LOTS 1 THRU 4 E2SW E2,501.16,PERM COMMON SCHOOLS (INDMTY SELEC)
AZ,State Land Department,Subsurface,50 Stat. 557-579 (1910),142963,Lapaz,N,,4N,22W,36,4N - 22W - 36,LOTS 5 6 7,55.43,PERM COMMON SCHOOLS (INDMTY SELEC)
