,Township,TownshipFull,Range,RangeFull,Section,SectionFull,Edited_PLSS,Description and Class,Description,Formatted_Description,Aliquot_Description,MATCH_TERM,Mineral Acres,County,Notes,Code,Beneficiary
0,99,99,70.0,70.0,16,SN16,099070SN16,"LOTS, 1,2,3,4 - C",1,L1,L1,099070SN16L1,172.45,Charles Mix,,C,Common School
1,4,4,6.0,6.0,7,SN07,004006SN07,"LOTS, 1,2,4,5,6,7,8, N2NE, SE4NE, SE4SW, NW4SE - I",1,L1,L1,004006SN07L1,429.72,Custer,,I,Indemnity
2,116,116,67.0,67.0,6,SN06,116067SN06,"LOTS 1, 2, S2NE, SE4 - R",2,L2,L2,116067SN06L2,342.94,Hand,,R,Rural Credit
3,101,101,66.0,66.0,5,SN05,101066SN05,"LOTS 3, 4, S2NW - R",4,L4,L4,101066SN05L4,154.88,Aurora,,R,Rural Credit
4,99,99,69.0,69.0,31,SN31,099069SN31,"LOTS 3, 4, E2SW, SE4 - R",4,L4,L4,099069SN31L4,320.25,Charles Mix,,R,Rural Credit
5,102,102,62.0,62.0,3,SN03,102062SN03,"LOTS 3, 4, S2NW - R",4,L4,L4,102062SN03L4,164.48,Davison,,R,Rural Credit
6,110,110,76.0,76.0,4,SN04,110076SN04,"LOTS 3, 4, S2NW, SW4 - R",4,L4,L4,110076SN04L4,319.82,Hughes,,R,Rural Credit
7,97,97,64.0,64.0,16,SN16,097064SN16,"LOTS 2, 5, 6 - C",5,L5,L5,097064SN16L5,61.4,Charles Mix,,C,Common School
8,4,4,28.0,28.0,1,SN01,004028SN01,"LOTS 4, 6, NW4NW - R",6,L6,L6,004028SN01L6,115.35,Jones,,R,Rural Credit
9,97,97,64.0,64.0,16,SN16,097064SN16,"LOTS 2, 5, 6 - C",6,L6,L6,097064SN16L6,61.4,Charles Mix,,C,Common School
10,17,17,25.0,25.0,5,SN05,017025SN05,"LOTS 7, 8, S2N2 - R",8,L8,L8,017025SN05L8,205.36,Dewey,,R,Rural Credit
11,124,124,55.0,55.0,5,SN05,124055SN05,"LOTS 7, 8 - A",8,L8,L8,124055SN05L8,53.98,Day,,A,College of Agriculture
12,111,111,72.0,72.0,31,SN31,111072SN31,"LOTS 1,2, 9, 10, SE4 - R",9,L9,L9,111072SN31L9,318.84,Hyde,,R,Rural Credit
13,7,7,20.0,20.0,11,SN11,007020SN11,"LOTS 8, 9 - R",9,L9,L9,007020SN11L9,58.7,Haakon,,R,Rural Credit
14,5,5,12.0,12.0,31,SN31,005012SN31,"LOTS 8, 9 - R",9,L9,L9,005012SN31L9,95.4,Meade,,R,Rural Credit
15,111,111,72.0,72.0,31,SN31,111072SN31,"LOTS 1,2, 9, 10, SE4 - R",10,L10,L10,111072SN31L10,318.84,Hyde,,R,Rural Credit
16,127,127,56.0,56.0,19,SN19,127056SN19,"LOTS 9, 10, 11 - T",10,L10,L10,127056SN19L10,14.21,Marshall,,T,Training School
17,95,95,67.0,67.0,35,SN35,095067SN35,"LOTS 1,2,3,10 - R",10,L10,L10,095067SN35L10,128.96,Gregory,,R,Rural Credit
18,4,4,19.0,19.0,15,SN15,004019SN15,"LOTS 4,5,9,10 - R",10,L10,L10,004019SN15L10,120.95,Jackson,,R,Rural Credit
19,40,40,28.0,28.0,5,SN05,040028SN05,"LOTS 9,10 - I",10,L10,L10,040028SN05L10,80.0,Mellette,,I,Indemnity
20,3,3,6.0,6.0,1,SN01,003006SN01,"LOTS 6,7, 11,12, 18-26 incl. - I",11,L11,L11,003006SN01L11,471.89,Custer,,I,Indemnity
21,127,127,56.0,56.0,19,SN19,127056SN19,"LOTS 9, 10, 11 - T",11,L11,L11,127056SN19L11,14.21,Marshall,,T,Training School
22,3,3,22.0,22.0,32,SN32,003022SN32,"LOTS 8,9,10,11 - R",11,L11,L11,003022SN32L11,101.1,Jackson,,R,Rural Credit
23,3,3,6.0,6.0,19,SN19,003006SN19,"LOTS 1,2,4,9, 12, E2SE - I",12,L12,L12,003006SN19L12,205.18,Custer,,I,Indemnity
24,98,98,69.0,69.0,34,SN34,098069SN34,"LOTS 10,11,12 - C",12,L12,L12,098069SN34L12,98.05,Charles Mix,,C,Common School
25,95,95,66.0,66.0,6,SN06,095066SN06,"LOTS 2,3,8,9,10,11,12 - R",12,L12,L12,095066SN06L12,170.04,Gregory,,R,Rural Credit
26,112,112,75.0,75.0,2,SN02,112075SN02,"LOTS 5,6,11,12 - R",12,L12,L12,112075SN02L12,160.0,Hughes,,R,Rural Credit
27,112,112,71.0,71.0,2,SN02,112071SN02,"LOTS 6,7,8,9,10,11,12 - R",12,L12,L12,112071SN02L12,280.0,Hyde,,R,Rural Credit
28,127,127,67.0,67.0,7,SN07,127067SN07,"LOTS 1,2,3,4,5,6,7,8,9,10,11,12 - A",12,L12,L12,127067SN07L12,422.52,McPherson,,A,College of Agriculture
29,40,40,27.0,27.0,3,SN03,040027SN03,"LOTS 5,6,7,8,9,10,11,12 - R",12,L12,L12,040027SN03L12,320.0,Mellette,,R,Rural Credit
30,43,43,28.0,28.0,22,SN22,043028SN22,"LOTS 5,6,10,11,12 - R",12,L12,L12,043028SN22L12,141.81,Mellette,,R,Rural Credit
31,103,103,76.0,76.0,36,SN36,103076SN36,"LOTS 9,10,11,13 - C",13,L13,L13,103076SN36L13,68.1,Tripp,,C,Common School
32,112,112,76.0,76.0,5,SN05,112076SN05,"LOTS 11,12,13,14 - R",14,L14,L14,112076SN05L14,160.0,Hughes,,R,Rural Credit
33,112,112,80.0,80.0,5,SN05,112080SN05,"LOTS 7,8,9,10,11,12,13,14 - A",14,L14,L14,112080SN05L14,373.38,Hughes,,A,College of Agriculture
34,112,112,80.0,80.0,6,SN06,112080SN06,"LOTS 13,14 - I",14,L14,L14,112080SN06L14,48.85,Hughes,,I,Indemnity
35,111,111,77.0,77.0,6,SN06,111077SN06,"LOTS 1,2,3,4,5,6,7,8,9,10,15,16 - R",16,L16,L16,111077SN06L16,454.77,Hughes,,R,Rural Credit
36,112,112,72.0,72.0,3,SN03,112072SN03,"LOTS 9,10,15,16 - R",16,L16,L16,112072SN03L16,160.0,Hyde,,R,Rural Credit
37,108,108,69.0,69.0,4,SN04,108069SN04,"LOTS 5,6,7,8,9,10,11,12 E2W2SE E2SE - R",10,L10,L10,108069SN04L10,440.0,Buffalo,,R,Rural Credit
38,108,108,69.0,69.0,6,SN06,108069SN06,"LOTS 1,2,3,4,5,6,7,8,9,10,11,12,13,14, E2SW, SE4 - R",10,L10,L10,108069SN06L10,716.01,Buffalo,,R,Rural Credit
39,108,108,70.0,70.0,2,SN02,108070SN02,"LOTS 1,2,3,7,8,9,10, SE4 - R",10,L10,L10,108070SN02L10,397.85,Buffalo,,R,Rural Credit
40,13,13,9.0,9.0,3,SN03,013009SN03,"LOTS 1,2,3,4,6,7,8,9,10, SE4NW, NE4SW - I",10,L10,L10,013009SN03L10,419.76,Butte,,I,Indemnity
41,17,17,22.0,22.0,6,SN06,017022SN06,"LOTS 3,4,5,6,9,10,11, SE4NW, E2SW - R",10,L10,L10,017022SN06L10,311.17,Dewey,,R,Rural Credit
42,95,95,66.0,66.0,6,SN06,095066SN06,"LOTS 2,3,8,9,10,11,12 - R",10,L10,L10,095066SN06L10,170.04,Gregory,,R,Rural Credit
43,111,111,77.0,77.0,6,SN06,111077SN06,"LOTS 1,2,3,4,5,6,7,8,9,10,15,16 - R",10,L10,L10,111077SN06L10,454.77,Hughes,,R,Rural Credit
44,112,112,75.0,75.0,3,SN03,112075SN03,"LOTS 9,10,11,12,13,14,15,16, S2 - R",10,L10,L10,112075SN03L10,640.0,Hughes,,R,Rural Credit
45,112,112,76.0,76.0,6,SN06,112076SN06,"LOTS 1,6,7,8,9,10,15,16,17,18, E2SW, SE4 - R",10,L10,L10,112076SN06L10,627.38,Hughes,,R,Rural Credit
46,112,112,80.0,80.0,5,SN05,112080SN05,"LOTS 7,8,9,10,11,12,13,14 - A",10,L10,L10,112080SN05L10,373.38,Hughes,,A,College of Agriculture
47,112,112,71.0,71.0,2,SN02,112071SN02,"LOTS 6,7,8,9,10,11,12 - R",10,L10,L10,112071SN02L10,280.0,Hyde,,R,Rural Credit
48,112,112,72.0,72.0,3,SN03,112072SN03,"LOTS 9,10,15,16 - R",10,L10,L10,112072SN03L10,160.0,Hyde,,R,Rural Credit
49,3,3,22.0,22.0,32,SN32,003022SN32,"LOTS 8,9,10,11 - R",10,L10,L10,003022SN32L10,101.1,Jackson,,R,Rural Credit
50,127,127,67.0,67.0,6,SN06,127067SN06,"LOTS 1,2,3,4,5,6,7,8,9,10,11,14, S2NE - A",10,L10,L10,127067SN06L10,513.36,McPherson,,A,College of Agriculture
51,127,127,67.0,67.0,7,SN07,127067SN07,"LOTS 1,2,3,4,5,6,7,8,9,10,11,12 - A",10,L10,L10,127067SN07L10,422.52,McPherson,,A,College of Agriculture
52,127,127,67.0,67.0,18,SN18,127067SN18,"LOTS 1,2,3,4,5,6,7,8,9,10,11,12, NE4 - A",10,L10,L10,127067SN18L10,574.32,McPherson,,A,College of Agriculture
53,128,128,67.0,67.0,6,SN06,128067SN06,"LOTS 1,2,3,4,5,6,7,8,9,10,11,12,13,14, S2NE, SE4 - A",10,L10,L10,128067SN06L10,728.84,McPherson,,A,College of Agriculture
54,128,128,67.0,67.0,7,SN07,128067SN07,"LOTS 1,2,3,4,5,6,7,8,9,10,12, E2 - A",10,L10,L10,128067SN07L10,722.24,McPherson,,A,College of Agriculture
55,128,128,67.0,67.0,18,SN18,128067SN18,"LOTS 1,2,3,4,5,6,7,8,9,10, E2NE, SE4  - A",10,L10,L10,128067SN18L10,491.53,McPherson,,A,College of Agriculture
56,128,128,67.0,67.0,19,SN19,128067SN19,"LOTS 3,4,5,6,9,10,11,12, E2 - A",10,L10,L10,128067SN19L10,620.28,McPherson,,A,College of Agriculture
57,128,128,67.0,67.0,30,SN30,128067SN30,"LOTS 2,3,4,5,6,7,8,9,10,11,12, E2 - A",10,L10,L10,128067SN30L10,729.06,McPherson,,A,College of Agriculture
58,128,128,67.0,67.0,31,SN31,128067SN31,"LOTS 1,2,3,4,5,6,7,8,9,10,11,12, E2 - A",10,L10,L10,128067SN31L10,756.04,McPherson,,A,College of Agriculture
59,126,126,55.0,55.0,7,SN07,126055SN07,"LOTS 1,2,3,4,5,6,7,10, NE4NE, NE4NW, SE4SW, S2SE - D",10,L10,L10,126055SN07L10,481.68,Marshall,,D,School for the Deaf
60,127,127,55.0,55.0,19,SN19,127055SN19,"LOTS 5,6,7,8,9,10, E2SW, SE4 - T",10,L10,L10,127055SN19L10,516.28,Marshall,,T,Training School
61,127,127,55.0,55.0,31,SN31,127055SN31,"LOTS 2,3,4,8,9,10, SE4SW  - T",10,L10,L10,127055SN31L10,245.47,Marshall,,T,Training School
62,40,40,27.0,27.0,3,SN03,040027SN03,"LOTS 5,6,7,8,9,10,11,12 - R",10,L10,L10,040027SN03L10,320.0,Mellette,,R,Rural Credit
63,43,43,28.0,28.0,22,SN22,043028SN22,"LOTS 5,6,10,11,12 - R",10,L10,L10,043028SN22L10,141.81,Mellette,,R,Rural Credit
64,103,103,76.0,76.0,36,SN36,103076SN36,"LOTS 9,10,11,13 - C",10,L10,L10,103076SN36L10,68.1,Tripp,,C,Common School
65,96,96,56.0,56.0,29,SN29,096056SN29,"LOTS 3,4,5,8,9,10,11,12,13, E2NE, NW4NE, NE4NW, SW4SW - R",10,L10,L10,096056SN29L10,517.4,Yankton,,R,Rural Credit
66,128,128,61.0,61.0,16,SN16,128061SN16,"LOTS 1,2,3,4,5,6,7,8,11,12, NE4NE, N2SW, SW4SW, NW4SE - C",11,L11,L11,128061SN16L11,547.3,Brown,,C,Common School
67,108,108,69.0,69.0,4,SN04,108069SN04,"LOTS 5,6,7,8,9,10,11,12 E2W2SE E2SE - R",11,L11,L11,108069SN04L11,440.0,Buffalo,,R,Rural Credit
68,108,108,69.0,69.0,6,SN06,108069SN06,"LOTS 1,2,3,4,5,6,7,8,9,10,11,12,13,14, E2SW, SE4 - R",11,L11,L11,108069SN06L11,716.01,Buffalo,,R,Rural Credit
69,108,108,70.0,70.0,1,SN01,108070SN01,"LOTS 3,4,5,6,11,12, SW4 - R",11,L11,L11,108070SN01L11,372.15,Buffalo,,R,Rural Credit
70,98,98,69.0,69.0,34,SN34,098069SN34,"LOTS 10,11,12 - C",11,L11,L11,098069SN34L11,98.05,Charles Mix,,C,Common School
71,17,17,22.0,22.0,6,SN06,017022SN06,"LOTS 3,4,5,6,9,10,11, SE4NW, E2SW - R",11,L11,L11,017022SN06L11,311.17,Dewey,,R,Rural Credit
72,95,95,66.0,66.0,6,SN06,095066SN06,"LOTS 2,3,8,9,10,11,12 - R",11,L11,L11,095066SN06L11,170.04,Gregory,,R,Rural Credit
73,111,111,76.0,76.0,31,SN31,111076SN31,"LOTS 1,2,10,11, S2NE - R ",11,L11,L11,111076SN31L11,159.71,Hughes,,R,Rural Credit
74,112,112,75.0,75.0,2,SN02,112075SN02,"LOTS 5,6,11,12 - R",11,L11,L11,112075SN02L11,160.0,Hughes,,R,Rural Credit
75,112,112,75.0,75.0,3,SN03,112075SN03,"LOTS 9,10,11,12,13,14,15,16, S2 - R",11,L11,L11,112075SN03L11,640.0,Hughes,,R,Rural Credit
76,112,112,80.0,80.0,5,SN05,112080SN05,"LOTS 7,8,9,10,11,12,13,14 - A",11,L11,L11,112080SN05L11,373.38,Hughes,,A,College of Agriculture
77,112,112,71.0,71.0,2,SN02,112071SN02,"LOTS 6,7,8,9,10,11,12 - R",11,L11,L11,112071SN02L11,280.0,Hyde,,R,Rural Credit
78,112,112,72.0,72.0,2,SN02,112072SN02,"LOTS 10,11,12,13, SW4, W2SE - R ",11,L11,L11,112072SN02L11,400.0,Hyde,,R,Rural Credit
79,112,112,73.0,73.0,1,SN01,112073SN01,"LOTS 5,6,11,12,13,14, S2 - R",11,L11,L11,112073SN01L11,560.0,Hyde,,R,Rural Credit
80,127,127,67.0,67.0,6,SN06,127067SN06,"LOTS 1,2,3,4,5,6,7,8,9,10,11,14, S2NE - A",11,L11,L11,127067SN06L11,513.36,McPherson,,A,College of Agriculture
81,127,127,67.0,67.0,7,SN07,127067SN07,"LOTS 1,2,3,4,5,6,7,8,9,10,11,12 - A",11,L11,L11,127067SN07L11,422.52,McPherson,,A,College of Agriculture
82,127,127,67.0,67.0,18,SN18,127067SN18,"LOTS 1,2,3,4,5,6,7,8,9,10,11,12, NE4 - A",11,L11,L11,127067SN18L11,574.32,McPherson,,A,College of Agriculture
83,128,128,67.0,67.0,6,SN06,128067SN06,"LOTS 1,2,3,4,5,6,7,8,9,10,11,12,13,14, S2NE, SE4 - A",11,L11,L11,128067SN06L11,728.84,McPherson,,A,College of Agriculture
84,128,128,67.0,67.0,18,SN18,128067SN18,"LOTS 4,5,6,11,12, W2NE - R",11,L11,L11,128067SN18L11,270.55,McPherson,,R,Rural Credit
85,128,128,67.0,67.0,19,SN19,128067SN19,"LOTS 3,4,5,6,9,10,11,12, E2 - A",11,L11,L11,128067SN19L11,620.28,McPherson,,A,College of Agriculture
86,128,128,67.0,67.0,30,SN30,128067SN30,"LOTS 2,3,4,5,6,7,8,9,10,11,12, E2 - A",11,L11,L11,128067SN30L11,729.06,McPherson,,A,College of Agriculture
87,128,128,67.0,67.0,31,SN31,128067SN31,"LOTS 1,2,3,4,5,6,7,8,9,10,11,12, E2 - A",11,L11,L11,128067SN31L11,756.04,McPherson,,A,College of Agriculture
88,40,40,27.0,27.0,3,SN03,040027SN03,"LOTS 5,6,7,8,9,10,11,12 - R",11,L11,L11,040027SN03L11,320.0,Mellette,,R,Rural Credit
89,43,43,28.0,28.0,22,SN22,043028SN22,"LOTS 5,6,10,11,12 - R",11,L11,L11,043028SN22L11,141.81,Mellette,,R,Rural Credit
90,103,103,76.0,76.0,36,SN36,103076SN36,"LOTS 9,10,11,13 - C",11,L11,L11,103076SN36L11,68.1,Tripp,,C,Common School
91,103,103,77.0,77.0,31,SN31,103077SN31,"LOTS 6,7,11,12,13, SE4SW - R",11,L11,L11,103077SN31L11,252.02,Tripp,,R,Rural Credit
92,96,96,56.0,56.0,29,SN29,096056SN29,"LOTS 3,4,5,8,9,10,11,12,13, E2NE, NW4NE, NE4NW, SW4SW - R",11,L11,L11,096056SN29L11,517.4,Yankton,,R,Rural Credit
93,128,128,61.0,61.0,16,SN16,128061SN16,"LOTS 1,2,3,4,5,6,7,8,11,12, NE4NE, N2SW, SW4SW, NW4SE - C",12,L12,L12,128061SN16L12,547.3,Brown,,C,Common School
94,108,108,69.0,69.0,4,SN04,108069SN04,"LOTS 5,6,7,8,9,10,11,12 E2W2SE E2SE - R",12,L12,L12,108069SN04L12,440.0,Buffalo,,R,Rural Credit
95,108,108,69.0,69.0,6,SN06,108069SN06,"LOTS 1,2,3,4,5,6,7,8,9,10,11,12,13,14, E2SW, SE4 - R",12,L12,L12,108069SN06L12,716.01,Buffalo,,R,Rural Credit
96,108,108,70.0,70.0,1,SN01,108070SN01,"LOTS 3,4,5,6,11,12, SW4 - R",12,L12,L12,108070SN01L12,372.15,Buffalo,,R,Rural Credit
97,3,3,6.0,6.0,1,SN01,003006SN01,"LOTS 6,7, 11,12, 18-26 incl. - I",12,L12,L12,003006SN01L12,471.89,Custer,,I,Indemnity
98,112,112,75.0,75.0,3,SN03,112075SN03,"LOTS 9,10,11,12,13,14,15,16, S2 - R",12,L12,L12,112075SN03L12,640.0,Hughes,,R,Rural Credit
99,112,112,76.0,76.0,5,SN05,112076SN05,"LOTS 11,12,13,14 - R",12,L12,L12,112076SN05L12,160.0,Hughes,,R,Rural Credit
100,112,112,80.0,80.0,5,SN05,112080SN05,"LOTS 7,8,9,10,11,12,13,14 - A",12,L12,L12,112080SN05L12,373.38,Hughes,,A,College of Agriculture
101,112,112,80.0,80.0,6,SN06,112080SN06,"LOTS 11,12,15, SE4NE - A",12,L12,L12,112080SN06L12,136.68,Hughes,,A,College of Agriculture
102,112,112,72.0,72.0,2,SN02,112072SN02,"LOTS 10,11,12,13, SW4, W2SE - R ",12,L12,L12,112072SN02L12,400.0,Hyde,,R,Rural Credit
103,112,112,73.0,73.0,1,SN01,112073SN01,"LOTS 5,6,11,12,13,14, S2 - R",12,L12,L12,112073SN01L12,560.0,Hyde,,R,Rural Credit
104,127,127,67.0,67.0,18,SN18,127067SN18,"LOTS 1,2,3,4,5,6,7,8,9,10,11,12, NE4 - A",12,L12,L12,127067SN18L12,574.32,McPherson,,A,College of Agriculture
105,128,128,67.0,67.0,6,SN06,128067SN06,"LOTS 1,2,3,4,5,6,7,8,9,10,11,12,13,14, S2NE, SE4 - A",12,L12,L12,128067SN06L12,728.84,McPherson,,A,College of Agriculture
106,128,128,67.0,67.0,7,SN07,128067SN07,"LOTS 1,2,3,4,5,6,7,8,9,10,12, E2 - A",12,L12,L12,128067SN07L12,722.24,McPherson,,A,College of Agriculture
107,128,128,67.0,67.0,18,SN18,128067SN18,"LOTS 4,5,6,11,12, W2NE - R",12,L12,L12,128067SN18L12,270.55,McPherson,,R,Rural Credit
108,128,128,67.0,67.0,19,SN19,128067SN19,"LOTS 3,4,5,6,9,10,11,12, E2 - A",12,L12,L12,128067SN19L12,620.28,McPherson,,A,College of Agriculture
109,128,128,67.0,67.0,30,SN30,128067SN30,"LOTS 2,3,4,5,6,7,8,9,10,11,12, E2 - A",12,L12,L12,128067SN30L12,729.06,McPherson,,A,College of Agriculture
110,128,128,67.0,67.0,31,SN31,128067SN31,"LOTS 1,2,3,4,5,6,7,8,9,10,11,12, E2 - A",12,L12,L12,128067SN31L12,756.04,McPherson,,A,College of Agriculture
111,103,103,77.0,77.0,31,SN31,103077SN31,"LOTS 6,7,11,12,13, SE4SW - R",12,L12,L12,103077SN31L12,252.02,Tripp,,R,Rural Credit
112,96,96,56.0,56.0,29,SN29,096056SN29,"LOTS 3,4,5,8,9,10,11,12,13, E2NE, NW4NE, NE4NW, SW4SW - R",12,L12,L12,096056SN29L12,517.4,Yankton,,R,Rural Credit
113,108,108,69.0,69.0,6,SN06,108069SN06,"LOTS 1,2,3,4,5,6,7,8,9,10,11,12,13,14, E2SW, SE4 - R",13,L13,L13,108069SN06L13,716.01,Buffalo,,R,Rural Credit
114,112,112,75.0,75.0,3,SN03,112075SN03,"LOTS 9,10,11,12,13,14,15,16, S2 - R",13,L13,L13,112075SN03L13,640.0,Hughes,,R,Rural Credit
115,112,112,76.0,76.0,5,SN05,112076SN05,"LOTS 11,12,13,14 - R",13,L13,L13,112076SN05L13,160.0,Hughes,,R,Rural Credit
116,112,112,80.0,80.0,5,SN05,112080SN05,"LOTS 7,8,9,10,11,12,13,14 - A",13,L13,L13,112080SN05L13,373.38,Hughes,,A,College of Agriculture
117,112,112,72.0,72.0,2,SN02,112072SN02,"LOTS 10,11,12,13, SW4, W2SE - R ",13,L13,L13,112072SN02L13,400.0,Hyde,,R,Rural Credit
118,112,112,73.0,73.0,1,SN01,112073SN01,"LOTS 5,6,11,12,13,14, S2 - R",13,L13,L13,112073SN01L13,560.0,Hyde,,R,Rural Credit
119,128,128,67.0,67.0,6,SN06,128067SN06,"LOTS 1,2,3,4,5,6,7,8,9,10,11,12,13,14, S2NE, SE4 - A",13,L13,L13,128067SN06L13,728.84,McPherson,,A,College of Agriculture
120,103,103,77.0,77.0,31,SN31,103077SN31,"LOTS 6,7,11,12,13, SE4SW - R",13,L13,L13,103077SN31L13,252.02,Tripp,,R,Rural Credit
121,96,96,56.0,56.0,29,SN29,096056SN29,"LOTS 3,4,5,8,9,10,11,12,13, E2NE, NW4NE, NE4NW, SW4SW - R",13,L13,L13,096056SN29L13,517.4,Yankton,,R,Rural Credit
122,108,108,69.0,69.0,6,SN06,108069SN06,"LOTS 1,2,3,4,5,6,7,8,9,10,11,12,13,14, E2SW, SE4 - R",14,L14,L14,108069SN06L14,716.01,Buffalo,,R,Rural Credit
123,111,111,66.0,66.0,1,SN01,111066SN01,"LOTS 13,14,15, S2 - R",14,L14,L14,111066SN01L14,328.0,Hand,,R,Rural Credit
124,112,112,75.0,75.0,3,SN03,112075SN03,"LOTS 9,10,11,12,13,14,15,16, S2 - R",14,L14,L14,112075SN03L14,640.0,Hughes,,R,Rural Credit
125,112,112,73.0,73.0,1,SN01,112073SN01,"LOTS 5,6,11,12,13,14, S2 - R",14,L14,L14,112073SN01L14,560.0,Hyde,,R,Rural Credit
126,127,127,67.0,67.0,6,SN06,127067SN06,"LOTS 1,2,3,4,5,6,7,8,9,10,11,14, S2NE - A",14,L14,L14,127067SN06L14,513.36,McPherson,,A,College of Agriculture
127,128,128,67.0,67.0,6,SN06,128067SN06,"LOTS 1,2,3,4,5,6,7,8,9,10,11,12,13,14, S2NE, SE4 - A",14,L14,L14,128067SN06L14,728.84,McPherson,,A,College of Agriculture
128,111,111,66.0,66.0,1,SN01,111066SN01,"LOTS 13,14,15, S2 - R",15,L15,L15,111066SN01L15,328.0,Hand,,R,Rural Credit
129,111,111,77.0,77.0,6,SN06,111077SN06,"LOTS 1,2,3,4,5,6,7,8,9,10,15,16 - R",15,L15,L15,111077SN06L15,454.77,Hughes,,R,Rural Credit
130,112,112,75.0,75.0,3,SN03,112075SN03,"LOTS 9,10,11,12,13,14,15,16, S2 - R",15,L15,L15,112075SN03L15,640.0,Hughes,,R,Rural Credit
131,112,112,76.0,76.0,6,SN06,112076SN06,"LOTS 1,6,7,8,9,10,15,16,17,18, E2SW, SE4 - R",15,L15,L15,112076SN06L15,627.38,Hughes,,R,Rural Credit
132,112,112,80.0,80.0,6,SN06,112080SN06,"LOTS 11,12,15, SE4NE - A",15,L15,L15,112080SN06L15,136.68,Hughes,,A,College of Agriculture
133,112,112,72.0,72.0,3,SN03,112072SN03,"LOTS 9,10,15,16 - R",15,L15,L15,112072SN03L15,160.0,Hyde,,R,Rural Credit
134,112,112,75.0,75.0,3,SN03,112075SN03,"LOTS 9,10,11,12,13,14,15,16, S2 - R",16,L16,L16,112075SN03L16,640.0,Hughes,,R,Rural Credit
135,112,112,76.0,76.0,6,SN06,112076SN06,"LOTS 1,6,7,8,9,10,15,16,17,18, E2SW, SE4 - R",16,L16,L16,112076SN06L16,627.38,Hughes,,R,Rural Credit
136,112,112,76.0,76.0,6,SN06,112076SN06,"LOTS 1,6,7,8,9,10,15,16,17,18, E2SW, SE4 - R",17,L17,L17,112076SN06L17,627.38,Hughes,,R,Rural Credit
137,112,112,76.0,76.0,6,SN06,112076SN06,"LOTS 1,6,7,8,9,10,15,16,17,18, E2SW, SE4 - R",18,L18,L18,112076SN06L18,627.38,Hughes,,R,Rural Credit
138,101,101,66.0,66.0,31,SN31,101066SN31,"LOTS 1,2, NE4, E2NW - R",2,L2,L2,101066SN31L2,320.29,Aurora,,R,Rural Credit
139,102,102,65.0,65.0,18,SN18,102065SN18,"LOTS 1,2, NE4, E2NW - R",2,L2,L2,102065SN18L2,309.91,Aurora,,R,Rural Credit
140,104,104,66.0,66.0,1,SN01,104066SN01,"LOTS 1,2, SW4NE - R",2,L2,L2,104066SN01L2,169.12,Aurora,,R,Rural Credit
141,104,104,66.0,66.0,5,SN05,104066SN05,"LOTS 1,2,3,4, S2N2 - R",2,L2,L2,104066SN05L2,402.0,Aurora,,R,Rural Credit
142,105,105,64.0,64.0,1,SN01,105064SN01,"LOTS 1,2, S2NE, E2SE - R",2,L2,L2,105064SN01L2,240.45,Aurora,,R,Rural Credit
143,105,105,65.0,65.0,3,SN03,105065SN03,"LOTS 1,2, S2NE - R",2,L2,L2,105065SN03L2,164.81,Aurora,,R,Rural Credit
144,105,105,66.0,66.0,5,SN05,105066SN05,"LOTS 1,2, S2NE, SE4 - R",2,L2,L2,105066SN05L2,314.77,Aurora,,R,Rural Credit
145,109,109,59.0,59.0,1,SN01,109059SN01,"LOTS 1,2,3,4, S2NW - R",2,L2,L2,109059SN01L2,237.88,Beadle,,R,Rural Credit
146,109,109,61.0,61.0,4,SN04,109061SN04,"LOTS 1,2, W2SE4NE, W2NE4SE - R",2,L2,L2,109061SN04L2,126.03,Beadle,,R,Rural Credit
147,109,109,62.0,62.0,30,SN30,109062SN30,"LOTS 1,2, E2NW - R",2,L2,L2,109062SN30L2,161.12,Beadle,,R,Rural Credit
148,109,109,63.0,63.0,3,SN03,109063SN03,"LOTS 1,2, S2NE, SW4, W2SE - R",2,L2,L2,109063SN03L2,396.86,Beadle,,R,Rural Credit
149,109,109,65.0,65.0,18,SN18,109065SN18,"LOT 1,2,3,4, E2SW - R",2,L2,L2,109065SN18L2,251.38,Beadle,,R,Rural Credit
150,110,110,63.0,63.0,18,SN18,110063SN18,"LOTS 1,2, NE4, E2NW - R",2,L2,L2,110063SN18L2,316.16,Beadle,,R,Rural Credit
151,110,110,64.0,64.0,6,SN06,110064SN06,"LOTS 1,2, S2NE - R",2,L2,L2,110064SN06L2,159.77,Beadle,,R,Rural Credit
152,111,111,62.0,62.0,30,SN30,111062SN30,"LOTS 1,2, E2NW - R",2,L2,L2,111062SN30L2,163.32,Beadle,,R,Rural Credit
153,111,111,65.0,65.0,2,SN02,111065SN02,"LOTS 1,2, S2NE - R",2,L2,L2,111065SN02L2,160.62,Beadle,,R,Rural Credit
154,112,112,60.0,60.0,1,SN01,112060SN01,"LOTS 1,2, S2NE - R",2,L2,L2,112060SN01L2,200.78,Beadle,,R,Rural Credit
155,112,112,64.0,64.0,7,SN07,112064SN07,"LOTS 1,2, E2NW - R",2,L2,L2,112064SN07L2,158.78,Beadle,,R,Rural Credit
156,113,113,62.0,62.0,4,SN04,113062SN04,"LOTS 1,2,3,4, S2N2 - R",2,L2,L2,113062SN04L2,321.06,Beadle,,R,Rural Credit
