Township,TownshipFull,Range,RangeFull,Section,SectionFull,Edited_PLSS,Description and Class,Description,Formatted_Description,Aliquot_Description,MATCH_TERM,Mineral Acres,County,Notes,Code,Beneficiary
99,99,70,70,16,SN16,099070SN16,"LOTS, 1,2,3,4 - C",1,L1,L1,099070SN16L1,172.45,Charles Mix,,C,Common School
4,4,6,6,7,SN07,004006SN07,"LOTS, 1,2,4,5,6,7,8, N2NE, SE4NE, SE4SW, NW4SE - I",1,L1,L1,004006SN07L1,429.72,Custer,,I,Indemnity
116,116,67,67,6,SN06,116067SN06,"LOTS 1, 2, S2NE, SE4 - R",2,L2,L2,116067SN06L2,342.94,Hand,,R,Rural Credit
101,101,66,66,5,SN05,101066SN05,"LOTS 3, 4, S2NW - R",4,L4,L4,101066SN05L4,154.88,Aurora,,R,Rural Credit
99,99,69,69,31,SN31,099069SN31,"LOTS 3, 4, E2SW, SE4 - R",4,L4,L4,099069SN31L4,320.25,Charles Mix,,R,Rural Credit
102,102,62,62,3,SN03,102062SN03,"LOTS 3, 4, S2NW - R",4,L4,L4,102062SN03L4,164.48,Davison,,R,Rural Credit
110,110,76,76,4,SN04,110076SN04,"LOTS 3, 4, S2NW, SW4 - R",4,L4,L4,110076SN04L4,319.82,Hughes,,R,Rural Credit
97,97,64,64,16,SN16,097064SN16,"LOTS 2, 5, 6 - C",5,L5,L5,097064SN16L5,61.4,Charles Mix,,C,Common School
4,4,28,28,1,SN01,004028SN01,"LOTS 4, 6, NW4NW - R",6,L6,L6,004028SN01L6,115.35,Jones,,R,Rural Credit
97,97,64,64,16,SN16,097064SN16,"LOTS 2, 5, 6 - C",6,L6,L6,097064SN16L6,61.4,Charles Mix,,C,Common School
17,17,25,25,5,SN05,017025SN05,"LOTS 7, 8, S2N2 - R",8,L8,L8,017025SN05L8,205.36,Dewey,,R,Rural Credit
124,124,55,55,5,SN05,124055SN05,"LOTS 7, 8 - A",8,L8,L8,124055SN05L8,53.98,Day,,A,College of Agriculture
111,111,72,72,31,SN31,111072SN31,"LOTS 1,2, 9, 10, SE4 - R",9,L9,L9,111072SN31L9,318.84,Hyde,,R,Rural Credit
7,7,20,20,11,SN11,007020SN11,"LOTS 8, 9 - R",9,L9,L9,007020SN11L9,58.7,Haakon,,R,Rural Credit
5,5,12,12,31,SN31,005012SN31,"LOTS 8, 9 - R",9,L9,L9,005012SN31L9,95.4,Meade,,R,Rural Credit
111,111,72,72,31,SN31,111072SN31,"LOTS 1,2, 9, 10, SE4 - R",10,L10,L10,111072SN31L10,318.84,Hyde,,R,Rural Credit
127,127,56,56,19,SN19,127056SN19,"LOTS 9, 10, 11 - T",10,L10,L10,127056SN19L10,14.21,Marshall,,T,Training School
95,95,67,67,35,SN35,095067SN35,"LOTS 1,2,3,10 - R",10,L10,L10,095067SN35L10,128.96,Gregory,,R,Rural Credit
4,4,19,19,15,SN15,004019SN15,"LOTS 4,5,9,10 - R",10,L10,L10,004019SN15L10,120.95,Jackson,,R,Rural Credit
40,40,28,28,5,SN05,040028SN05,"LOTS 9,10 - I",10,L10,L10,040028SN05L10,80,Mellette,,I,Indemnity
3,3,6,6,1,SN01,003006SN01,"LOTS 6,7, 11,12, 18-26 incl. - I",11,L11,L11,003006SN01L11,471.89,Custer,,I,Indemnity
127,127,56,56,19,SN19,127056SN19,"LOTS 9, 10, 11 - T",11,L11,L11,127056SN19L11,14.21,Marshall,,T,Training School
3,3,22,22,32,SN32,003022SN32,"LOTS 8,9,10,11 - R",11,L11,L11,003022SN32L11,101.1,Jackson,,R,Rural Credit
3,3,6,6,19,SN19,003006SN19,"LOTS 1,2,4,9, 12, E2SE - I",12,L12,L12,003006SN19L12,205.18,Custer,,I,Indemnity
98,98,69,69,34,SN34,098069SN34,"LOTS 10,11,12 - C",12,L12,L12,098069SN34L12,98.05,Charles Mix,,C,Common School
95,95,66,66,6,SN06,095066SN06,"LOTS 2,3,8,9,10,11,12 - R",12,L12,L12,095066SN06L12,170.04,Gregory,,R,Rural Credit
112,112,75,75,2,SN02,112075SN02,"LOTS 5,6,11,12 - R",12,L12,L12,112075SN02L12,160,Hughes,,R,Rural Credit
112,112,71,71,2,SN02,112071SN02,"LOTS 6,7,8,9,10,11,12 - R",12,L12,L12,112071SN02L12,280,Hyde,,R,Rural Credit
127,127,67,67,7,SN07,127067SN07,"LOTS 1,2,3,4,5,6,7,8,9,10,11,12 - A",12,L12,L12,127067SN07L12,422.52,McPherson,,A,College of Agriculture
40,40,27,27,3,SN03,040027SN03,"LOTS 5,6,7,8,9,10,11,12 - R",12,L12,L12,040027SN03L12,320,Mellette,,R,Rural Credit
43,43,28,28,22,SN22,043028SN22,"LOTS 5,6,10,11,12 - R",12,L12,L12,043028SN22L12,141.81,Mellette,,R,Rural Credit
103,103,76,76,36,SN36,103076SN36,"LOTS 9,10,11,13 - C",13,L13,L13,103076SN36L13,68.1,Tripp,,C,Common School
112,112,76,76,5,SN05,112076SN05,"LOTS 11,12,13,14 - R",14,L14,L14,112076SN05L14,160,Hughes,,R,Rural Credit
112,112,80,80,5,SN05,112080SN05,"LOTS 7,8,9,10,11,12,13,14 - A",14,L14,L14,112080SN05L14,373.38,Hughes,,A,College of Agriculture
112,112,80,80,6,SN06,112080SN06,"LOTS 13,14 - I",14,L14,L14,112080SN06L14,48.85,Hughes,,I,Indemnity
111,111,77,77,6,SN06,111077SN06,"LOTS 1,2,3,4,5,6,7,8,9,10,15,16 - R",16,L16,L16,111077SN06L16,454.77,Hughes,,R,Rural Credit
112,112,72,72,3,SN03,112072SN03,"LOTS 9,10,15,16 - R",16,L16,L16,112072SN03L16,160,Hyde,,R,Rural Credit
108,108,69,69,4,SN04,108069SN04,"LOTS 5,6,7,8,9,10,11,12 E2W2SE E2SE - R",10,L10,L10,108069SN04L10,440,Buffalo,,R,Rural Credit
108,108,69,69,6,SN06,108069SN06,"LOTS 1,2,3,4,5,6,7,8,9,10,11,12,13,14, E2SW, SE4 - R",10,L10,L10,108069SN06L10,716.01,Buffalo,,R,Rural Credit
108,108,70,70,2,SN02,108070SN02,"LOTS 1,2,3,7,8,9,10, SE4 - R",10,L10,L10,108070SN02L10,397.85,Buffalo,,R,Rural Credit
13,13,9,9,3,SN03,013009SN03,"LOTS 1,2,3,4,6,7,8,9,10, SE4NW, NE4SW - I",10,L10,L10,013009SN03L10,419.76,Butte,,I,Indemnity
17,17,22,22,6,SN06,017022SN06,"LOTS 3,4,5,6,9,10,11, SE4NW, E2SW - R",10,L10,L10,017022SN06L10,311.17,Dewey,,R,Rural Credit
95,95,66,66,6,SN06,095066SN06,"LOTS 2,3,8,9,10,11,12 - R",10,L10,L10,095066SN06L10,170.04,Gregory,,R,Rural Credit
111,111,77,77,6,SN06,111077SN06,"LOTS 1,2,3,4,5,6,7,8,9,10,15,16 - R",10,L10,L10,111077SN06L10,454.77,Hughes,,R,Rural Credit
112,112,75,75,3,SN03,112075SN03,"LOTS 9,10,11,12,13,14,15,16, S2 - R",10,L10,L10,112075SN03L10,640,Hughes,,R,Rural Credit
112,112,76,76,6,SN06,112076SN06,"LOTS 1,6,7,8,9,10,15,16,17,18, E2SW, SE4 - R",10,L10,L10,112076SN06L10,627.38,Hughes,,R,Rural Credit
112,112,80,80,5,SN05,112080SN05,"LOTS 7,8,9,10,11,12,13,14 - A",10,L10,L10,112080SN05L10,373.38,Hughes,,A,College of Agriculture
112,112,71,71,2,SN02,112071SN02,"LOTS 6,7,8,9,10,11,12 - R",10,L10,L10,112071SN02L10,280,Hyde,,R,Rural Credit
112,112,72,72,3,SN03,112072SN03,"LOTS 9,10,15,16 - R",10,L10,L10,112072SN03L10,160,Hyde,,R,Rural Credit
3,3,22,22,32,SN32,003022SN32,"LOTS 8,9,10,11 - R",10,L10,L10,003022SN32L10,101.1,Jackson,,R,Rural Credit
127,127,67,67,6,SN06,127067SN06,"LOTS 1,2,3,4,5,6,7,8,9,10,11,14, S2NE - A",10,L10,L10,127067SN06L10,513.36,McPherson,,A,College of Agriculture
127,127,67,67,7,SN07,127067SN07,"LOTS 1,2,3,4,5,6,7,8,9,10,11,12 - A",10,L10,L10,127067SN07L10,422.52,McPherson,,A,College of Agriculture
127,127,67,67,18,SN18,127067SN18,"LOTS 1,2,3,4,5,6,7,8,9,10,11,12, NE4 - A",10,L10,L10,127067SN18L10,574.32,McPherson,,A,College of Agriculture
128,128,67,67,6,SN06,128067SN06,"LOTS 1,2,3,4,5,6,7,8,9,10,11,12,13,14, S2NE, SE4 - A",10,L10,L10,128067SN06L10,728.84,McPherson,,A,College of Agriculture
128,128,67,67,7,SN07,128067SN07,"LOTS 1,2,3,4,5,6,7,8,9,10,12, E2 - A",10,L10,L10,128067SN07L10,722.24,McPherson,,A,College of Agriculture
128,128,67,67,18,SN18,128067SN18,"LOTS 1,2,3,4,5,6,7,8,9,10, E2NE, SE4  - A",10,L10,L10,128067SN18L10,491.53,McPherson,,A,College of Agriculture
128,128,67,67,19,SN19,128067SN19,"LOTS 3,4,5,6,9,10,11,12, E2 - A",10,L10,L10,128067SN19L10,620.28,McPherson,,A,College of Agriculture
128,128,67,67,30,SN30,128067SN30,"LOTS 2,3,4,5,6,7,8,9,10,11,12, E2 - A",10,L10,L10,128067SN30L10,729.06,McPherson,,A,College of Agriculture
128,128,67,67,31,SN31,128067SN31,"LOTS 1,2,3,4,5,6,7,8,9,10,11,12, E2 - A",10,L10,L10,128067SN31L10,756.04,McPherson,,A,College of Agriculture
126,126,55,55,7,SN07,126055SN07,"LOTS 1,2,3,4,5,6,7,10, NE4NE, NE4NW, SE4SW, S2SE - D",10,L10,L10,126055SN07L10,481.68,Marshall,,D,School for the Deaf
127,127,55,55,19,SN19,127055SN19,"LOTS 5,6,7,8,9,10, E2SW, SE4 - T",10,L10,L10,127055SN19L10,516.28,Marshall,,T,Training School
127,127,55,55,31,SN31,127055SN31,"LOTS 2,3,4,8,9,10, SE4SW  - T",10,L10,L10,127055SN31L10,245.47,Marshall,,T,Training School
40,40,27,27,3,SN03,040027SN03,"LOTS 5,6,7,8,9,10,11,12 - R",10,L10,L10,040027SN03L10,320,Mellette,,R,Rural Credit
43,43,28,28,22,SN22,043028SN22,"LOTS 5,6,10,11,12 - R",10,L10,L10,043028SN22L10,141.81,Mellette,,R,Rural Credit
103,103,76,76,36,SN36,103076SN36,"LOTS 9,10,11,13 - C",10,L10,L10,103076SN36L10,68.1,Tripp,,C,Common School
96,96,56,56,29,SN29,096056SN29,"LOTS 3,4,5,8,9,10,11,12,13, E2NE, NW4NE, NE4NW, SW4SW - R",10,L10,L10,096056SN29L10,517.4,Yankton,,R,Rural Credit
128,128,61,61,16,SN16,128061SN16,"LOTS 1,2,3,4,5,6,7,8,11,12, NE4NE, N2SW, SW4SW, NW4SE - C",11,L11,L11,128061SN16L11,547.3,Brown,,C,Common School
108,108,69,69,4,SN04,108069SN04,"LOTS 5,6,7,8,9,10,11,12 E2W2SE E2SE - R",11,L11,L11,108069SN04L11,440,Buffalo,,R,Rural Credit
108,108,69,69,6,SN06,108069SN06,"LOTS 1,2,3,4,5,6,7,8,9,10,11,12,13,14, E2SW, SE4 - R",11,L11,L11,108069SN06L11,716.01,Buffalo,,R,Rural Credit
108,108,70,70,1,SN01,108070SN01,"LOTS 3,4,5,6,11,12, SW4 - R",11,L11,L11,108070SN01L11,372.15,Buffalo,,R,Rural Credit
98,98,69,69,34,SN34,098069SN34,"LOTS 10,11,12 - C",11,L11,L11,098069SN34L11,98.05,Charles Mix,,C,Common School
17,17,22,22,6,SN06,017022SN06,"LOTS 3,4,5,6,9,10,11, SE4NW, E2SW - R",11,L11,L11,017022SN06L11,311.17,Dewey,,R,Rural Credit
95,95,66,66,6,SN06,095066SN06,"LOTS 2,3,8,9,10,11,12 - R",11,L11,L11,095066SN06L11,170.04,Gregory,,R,Rural Credit
111,111,76,76,31,SN31,111076SN31,"LOTS 1,2,10,11, S2NE - R ",11,L11,L11,111076SN31L11,159.71,Hughes,,R,Rural Credit
112,112,75,75,2,SN02,112075SN02,"LOTS 5,6,11,12 - R",11,L11,L11,112075SN02L11,160,Hughes,,R,Rural Credit
112,112,75,75,3,SN03,112075SN03,"LOTS 9,10,11,12,13,14,15,16, S2 - R",11,L11,L11,112075SN03L11,640,Hughes,,R,Rural Credit
112,112,80,80,5,SN05,112080SN05,"LOTS 7,8,9,10,11,12,13,14 - A",11,L11,L11,112080SN05L11,373.38,Hughes,,A,College of Agriculture
112,112,71,71,2,SN02,112071SN02,"LOTS 6,7,8,9,10,11,12 - R",11,L11,L11,112071SN02L11,280,Hyde,,R,Rural Credit
112,112,72,72,2,SN02,112072SN02,"LOTS 10,11,12,13, SW4, W2SE - R ",11,L11,L11,112072SN02L11,400,Hyde,,R,Rural Credit
112,112,73,73,1,SN01,112073SN01,"LOTS 5,6,11,12,13,14, S2 - R",11,L11,L11,112073SN01L11,560,Hyde,,R,Rural Credit
127,127,67,67,6,SN06,127067SN06,"LOTS 1,2,3,4,5,6,7,8,9,10,11,14, S2NE - A",11,L11,L11,127067SN06L11,513.36,McPherson,,A,College of Agriculture
127,127,67,67,7,SN07,127067SN07,"LOTS 1,2,3,4,5,6,7,8,9,10,11,12 - A",11,L11,L11,127067SN07L11,422.52,McPherson,,A,College of Agriculture
127,127,67,67,18,SN18,127067SN18,"LOTS 1,2,3,4,5,6,7,8,9,10,11,12, NE4 - A",11,L11,L11,127067SN18L11,574.32,McPherson,,A,College of Agriculture
128,128,67,67,6,SN06,128067SN06,"LOTS 1,2,3,4,5,6,7,8,9,10,11,12,13,14, S2NE, SE4 - A",11,L11,L11,128067SN06L11,728.84,McPherson,,A,College of Agriculture
128,128,67,67,18,SN18,128067SN18,"LOTS 4,5,6,11,12, W2NE - R",11,L11,L11,128067SN18L11,270.55,McPherson,,R,Rural Credit
128,128,67,67,19,SN19,128067SN19,"LOTS 3,4,5,6,9,10,11,12, E2 - A",11,L11,L11,128067SN19L11,620.28,McPherson,,A,College of Agriculture
128,128,67,67,30,SN30,128067SN30,"LOTS 2,3,4,5,6,7,8,9,10,11,12, E2 - A",11,L11,L11,128067SN30L11,729.06,McPherson,,A,College of Agriculture
128,128,67,67,31,SN31,128067SN31,"LOTS 1,2,3,4,5,6,7,8,9,10,11,12, E2 - A",11,L11,L11,128067SN31L11,756.04,McPherson,,A,College of Agriculture
40,40,27,27,3,SN03,040027SN03,"LOTS 5,6,7,8,9,10,11,12 - R",11,L11,L11,040027SN03L11,320,Mellette,,R,Rural Credit
43,43,28,28,22,SN22,043028SN22,"LOTS 5,6,10,11,12 - R",11,L11,L11,043028SN22L11,141.81,Mellette,,R,Rural Credit
103,103,76,76,36,SN36,103076SN36,"LOTS 9,10,11,13 - C",11,L11,L11,103076SN36L11,68.1,Tripp,,C,Common School
103,103,77,77,31,SN31,103077SN31,"LOTS 6,7,11,12,13, SE4SW - R",11,L11,L11,103077SN31L11,252.02,Tripp,,R,Rural Credit
96,96,56,56,29,SN29,096056SN29,"LOTS 3,4,5,8,9,10,11,12,13, E2NE, NW4NE, NE4NW, SW4SW - R",11,L11,L11,096056SN29L11,517.4,Yankton,,R,Rural Credit
128,128,61,61,16,SN16,128061SN16,"LOTS 1,2,3,4,5,6,7,8,11,12, NE4NE, N2SW, SW4SW, NW4SE - C",12,L12,L12,128061SN16L12,547.3,Brown,,C,Common School
108,108,69,69,4,SN04,108069SN04,"LOTS 5,6,7,8,9,10,11,12 E2W2SE E2SE - R",12,L12,L12,108069SN04L12,440,Buffalo,,R,Rural Credit
108,108,69,69,6,SN06,108069SN06,"LOTS 1,2,3,4,5,6,7,8,9,10,11,12,13,14, E2SW, SE4 - R",12,L12,L12,108069SN06L12,716.01,Buffalo,,R,Rural Credit
108,108,70,70,1,SN01,108070SN01,"LOTS 3,4,5,6,11,12, SW4 - R",12,L12,L12,108070SN01L12,372.15,Buffalo,,R,Rural Credit
3,3,6,6,1,SN01,003006SN01,"LOTS 6,7, 11,12, 18-26 incl. - I",12,L12,L12,003006SN01L12,471.89,Custer,,I,Indemnity
112,112,75,75,3,SN03,112075SN03,"LOTS 9,10,11,12,13,14,15,16, S2 - R",12,L12,L12,112075SN03L12,640,Hughes,,R,Rural Credit
112,112,76,76,5,SN05,112076SN05,"LOTS 11,12,13,14 - R",12,L12,L12,112076SN05L12,160,Hughes,,R,Rural Credit
112,112,80,80,5,SN05,112080SN05,"LOTS 7,8,9,10,11,12,13,14 - A",12,L12,L12,112080SN05L12,373.38,Hughes,,A,College of Agriculture
112,112,80,80,6,SN06,112080SN06,"LOTS 11,12,15, SE4NE - A",12,L12,L12,112080SN06L12,136.68,Hughes,,A,College of Agriculture
112,112,72,72,2,SN02,112072SN02,"LOTS 10,11,12,13, SW4, W2SE - R ",12,L12,L12,112072SN02L12,400,Hyde,,R,Rural Credit
112,112,73,73,1,SN01,112073SN01,"LOTS 5,6,11,12,13,14, S2 - R",12,L12,L12,112073SN01L12,560,Hyde,,R,Rural Credit
127,127,67,67,18,SN18,127067SN18,"LOTS 1,2,3,4,5,6,7,8,9,10,11,12, NE4 - A",12,L12,L12,127067SN18L12,574.32,McPherson,,A,College of Agriculture
128,128,67,67,6,SN06,128067SN06,"LOTS 1,2,3,4,5,6,7,8,9,10,11,12,13,14, S2NE, SE4 - A",12,L12,L12,128067SN06L12,728.84,McPherson,,A,College of Agriculture
128,128,67,67,7,SN07,128067SN07,"LOTS 1,2,3,4,5,6,7,8,9,10,12, E2 - A",12,L12,L12,128067SN07L12,722.24,McPherson,,A,College of Agriculture
128,128,67,67,18,SN18,128067SN18,"LOTS 4,5,6,11,12, W2NE - R",12,L12,L12,128067SN18L12,270.55,McPherson,,R,Rural Credit
128,128,67,67,19,SN19,128067SN19,"LOTS 3,4,5,6,9,10,11,12, E2 - A",12,L12,L12,128067SN19L12,620.28,McPherson,,A,College of Agriculture
128,128,67,67,30,SN30,128067SN30,"LOTS 2,3,4,5,6,7,8,9,10,11,12, E2 - A",12,L12,L12,128067SN30L12,729.06,McPherson,,A,College of Agriculture
128,128,67,67,31,SN31,128067SN31,"LOTS 1,2,3,4,5,6,7,8,9,10,11,12, E2 - A",12,L12,L12,128067SN31L12,756.04,McPherson,,A,College of Agriculture
103,103,77,77,31,SN31,103077SN31,"LOTS 6,7,11,12,13, SE4SW - R",12,L12,L12,103077SN31L12,252.02,Tripp,,R,Rural Credit
96,96,56,56,29,SN29,096056SN29,"LOTS 3,4,5,8,9,10,11,12,13, E2NE, NW4NE, NE4NW, SW4SW - R",12,L12,L12,096056SN29L12,517.4,Yankton,,R,Rural Credit
108,108,69,69,6,SN06,108069SN06,"LOTS 1,2,3,4,5,6,7,8,9,10,11,12,13,14, E2SW, SE4 - R",13,L13,L13,108069SN06L13,716.01,Buffalo,,R,Rural Credit
112,112,75,75,3,SN03,112075SN03,"LOTS 9,10,11,12,13,14,15,16, S2 - R",13,L13,L13,112075SN03L13,640,Hughes,,R,Rural Credit
112,112,76,76,5,SN05,112076SN05,"LOTS 11,12,13,14 - R",13,L13,L13,112076SN05L13,160,Hughes,,R,Rural Credit
112,112,80,80,5,SN05,112080SN05,"LOTS 7,8,9,10,11,12,13,14 - A",13,L13,L13,112080SN05L13,373.38,Hughes,,A,College of Agriculture
112,112,72,72,2,SN02,112072SN02,"LOTS 10,11,12,13, SW4, W2SE - R ",13,L13,L13,112072SN02L13,400,Hyde,,R,Rural Credit
112,112,73,73,1,SN01,112073SN01,"LOTS 5,6,11,12,13,14, S2 - R",13,L13,L13,112073SN01L13,560,Hyde,,R,Rural Credit
128,128,67,67,6,SN06,128067SN06,"LOTS 1,2,3,4,5,6,7,8,9,10,11,12,13,14, S2NE, SE4 - A",13,L13,L13,128067SN06L13,728.84,McPherson,,A,College of Agriculture
103,103,77,77,31,SN31,103077SN31,"LOTS 6,7,11,12,13, SE4SW - R",13,L13,L13,103077SN31L13,252.02,Tripp,,R,Rural Credit
96,96,56,56,29,SN29,096056SN29,"LOTS 3,4,5,8,9,10,11,12,13, E2NE, NW4NE, NE4NW, SW4SW - R",13,L13,L13,096056SN29L13,517.4,Yankton,,R,Rural Credit
108,108,69,69,6,SN06,108069SN06,"LOTS 1,2,3,4,5,6,7,8,9,10,11,12,13,14, E2SW, SE4 - R",14,L14,L14,108069SN06L14,716.01,Buffalo,,R,Rural Credit
111,111,66,66,1,SN01,111066SN01,"LOTS 13,14,15, S2 - R",14,L14,L14,111066SN01L14,328,Hand,,R,Rural Credit
112,112,75,75,3,SN03,112075SN03,"LOTS 9,10,11,12,13,14,15,16, S2 - R",14,L14,L14,112075SN03L14,640,Hughes,,R,Rural Credit
112,112,73,73,1,SN01,112073SN01,"LOTS 5,6,11,12,13,14, S2 - R",14,L14,L14,112073SN01L14,560,Hyde,,R,Rural Credit
127,127,67,67,6,SN06,127067SN06,"LOTS 1,2,3,4,5,6,7,8,9,10,11,14, S2NE - A",14,L14,L14,127067SN06L14,513.36,McPherson,,A,College of Agriculture
128,128,67,67,6,SN06,128067SN06,"LOTS 1,2,3,4,5,6,7,8,9,10,11,12,13,14, S2NE, SE4 - A",14,L14,L14,128067SN06L14,728.84,McPherson,,A,College of Agriculture
111,111,66,66,1,SN01,111066SN01,"LOTS 13,14,15, S2 - R",15,L15,L15,111066SN01L15,328,Hand,,R,Rural Credit
111,111,77,77,6,SN06,111077SN06,"LOTS 1,2,3,4,5,6,7,8,9,10,15,16 - R",15,L15,L15,111077SN06L15,454.77,Hughes,,R,Rural Credit
112,112,75,75,3,SN03,112075SN03,"LOTS 9,10,11,12,13,14,15,16, S2 - R",15,L15,L15,112075SN03L15,640,Hughes,,R,Rural Credit
112,112,76,76,6,SN06,112076SN06,"LOTS 1,6,7,8,9,10,15,16,17,18, E2SW, SE4 - R",15,L15,L15,112076SN06L15,627.38,Hughes,,R,Rural Credit
112,112,80,80,6,SN06,112080SN06,"LOTS 11,12,15, SE4NE - A",15,L15,L15,112080SN06L15,136.68,Hughes,,A,College of Agriculture
112,112,72,72,3,SN03,112072SN03,"LOTS 9,10,15,16 - R",15,L15,L15,112072SN03L15,160,Hyde,,R,Rural Credit
112,112,75,75,3,SN03,112075SN03,"LOTS 9,10,11,12,13,14,15,16, S2 - R",16,L16,L16,112075SN03L16,640,Hughes,,R,Rural Credit
112,112,76,76,6,SN06,112076SN06,"LOTS 1,6,7,8,9,10,15,16,17,18, E2SW, SE4 - R",16,L16,L16,112076SN06L16,627.38,Hughes,,R,Rural Credit
112,112,76,76,6,SN06,112076SN06,"LOTS 1,6,7,8,9,10,15,16,17,18, E2SW, SE4 - R",17,L17,L17,112076SN06L17,627.38,Hughes,,R,Rural Credit
112,112,76,76,6,SN06,112076SN06,"LOTS 1,6,7,8,9,10,15,16,17,18, E2SW, SE4 - R",18,L18,L18,112076SN06L18,627.38,Hughes,,R,Rural Credit
101,101,66,66,31,SN31,101066SN31,"LOTS 1,2, NE4, E2NW - R",2,L2,L2,101066SN31L2,320.29,Aurora,,R,Rural Credit
102,102,65,65,18,SN18,102065SN18,"LOTS 1,2, NE4, E2NW - R",2,L2,L2,102065SN18L2,309.91,Aurora,,R,Rural Credit
104,104,66,66,1,SN01,104066SN01,"LOTS 1,2, SW4NE - R",2,L2,L2,104066SN01L2,169.12,Aurora,,R,Rural Credit
104,104,66,66,5,SN05,104066SN05,"LOTS 1,2,3,4, S2N2 - R",2,L2,L2,104066SN05L2,402,Aurora,,R,Rural Credit
105,105,64,64,1,SN01,105064SN01,"LOTS 1,2, S2NE, E2SE - R",2,L2,L2,105064SN01L2,240.45,Aurora,,R,Rural Credit
105,105,65,65,3,SN03,105065SN03,"LOTS 1,2, S2NE - R",2,L2,L2,105065SN03L2,164.81,Aurora,,R,Rural Credit
105,105,66,66,5,SN05,105066SN05,"LOTS 1,2, S2NE, SE4 - R",2,L2,L2,105066SN05L2,314.77,Aurora,,R,Rural Credit
109,109,59,59,1,SN01,109059SN01,"LOTS 1,2,3,4, S2NW - R",2,L2,L2,109059SN01L2,237.88,Beadle,,R,Rural Credit
109,109,61,61,4,SN04,109061SN04,"LOTS 1,2, W2SE4NE, W2NE4SE - R",2,L2,L2,109061SN04L2,126.03,Beadle,,R,Rural Credit
109,109,62,62,30,SN30,109062SN30,"LOTS 1,2, E2NW - R",2,L2,L2,109062SN30L2,161.12,Beadle,,R,Rural Credit
109,109,63,63,3,SN03,109063SN03,"LOTS 1,2, S2NE, SW4, W2SE - R",2,L2,L2,109063SN03L2,396.86,Beadle,,R,Rural Credit
109,109,65,65,18,SN18,109065SN18,"LOT 1,2,3,4, E2SW - R",2,L2,L2,109065SN18L2,251.38,Beadle,,R,Rural Credit
110,110,63,63,18,SN18,110063SN18,"LOTS 1,2, NE4, E2NW - R",2,L2,L2,110063SN18L2,316.16,Beadle,,R,Rural Credit
110,110,64,64,6,SN06,110064SN06,"LOTS 1,2, S2NE - R",2,L2,L2,110064SN06L2,159.77,Beadle,,R,Rural Credit
111,111,62,62,30,SN30,111062SN30,"LOTS 1,2, E2NW - R",2,L2,L2,111062SN30L2,163.32,Beadle,,R,Rural Credit
111,111,65,65,2,SN02,111065SN02,"LOTS 1,2, S2NE - R",2,L2,L2,111065SN02L2,160.62,Beadle,,R,Rural Credit
112,112,60,60,1,SN01,112060SN01,"LOTS 1,2, S2NE - R",2,L2,L2,112060SN01L2,200.78,Beadle,,R,Rural Credit
112,112,64,64,7,SN07,112064SN07,"LOTS 1,2, E2NW - R",2,L2,L2,112064SN07L2,158.78,Beadle,,R,Rural Credit
113,113,62,62,4,SN04,113062SN04,"LOTS 1,2,3,4, S2N2 - R",2,L2,L2,113062SN04L2,321.06,Beadle,,R,Rural Credit
113,113,64,64,5,SN05,113064SN05,"LOT 1,2, S2NE, SW4 - R",2,L2,L2,113064SN05L2,317.67,Beadle,,R,Rural Credit
113,113,65,65,1,SN01,113065SN01,"LOTS 1,2, S2NE - R",2,L2,L2,113065SN01L2,158.62,Beadle,,R,Rural Credit
113,113,65,65,31,SN31,113065SN31,"LOTS 1,2, NE2NE, E2NW - R",2,L2,L2,113065SN31L2,231.81,Beadle,,R,Rural Credit
35,35,34,34,6,SN06,035034SN06,"LOTS 1,2, NE2NW - R",2,L2,L2,035034SN06L2,112.05,Bennett,,R,Rural Credit
36,36,33,33,30,SN30,036033SN30,"LOTS 1,2,3,4, E2W2 - I",2,L2,L2,036033SN30L2,303.12,Bennett,,I,Indemnity
36,36,33,33,31,SN31,036033SN31,"LOTS 1,2, E2NW - I",2,L2,L2,036033SN31L2,151.98,Bennett,,I,Indemnity
36,36,34,34,31,SN31,036034SN31,"LOTS 1,2,4, E2W2, W2E2 - R",2,L2,L2,036034SN31L2,427.94,Bennett,,R,Rural Credit
36,36,36,36,5,SN05,036036SN05,"LOTS 1,2,3,4 - I",2,L2,L2,036036SN05L2,122.16,Bennett,,I,Indemnity
36,36,37,37,6,SN06,036037SN06,"LOTS 1,2,3 - I",2,L2,L2,036037SN06L2,91.72,Bennett,,I,Indemnity
36,36,37,37,30,SN30,036037SN30,"LOTS 1,2, NE4 - I",2,L2,L2,036037SN30L2,241.15,Bennett,,I,Indemnity
36,36,38,38,19,SN19,036038SN19,"LOTS 1,2, E2NW - I",2,L2,L2,036038SN19L2,151.82,Bennett,,I,Indemnity
37,37,33,33,7,SN07,037033SN07,"LOTS 1,2, NE4, E2NW, SE4 - R",2,L2,L2,037033SN07L2,478.67,Bennett,,R,Rural Credit
37,37,33,33,31,SN31,037033SN31,"LOTS 1,2,3,4,E2W2, SE4 - I",2,L2,L2,037033SN31L2,479.4,Bennett,,I,Indemnity
37,37,34,34,7,SN07,037034SN07,"LOTS 1,2, NE4, E2NW - I",2,L2,L2,037034SN07L2,318.19,Bennett,,I,Indemnity
