Meridian,Township,Range,Section,SurveyType,Aliquot,ParcelNumb,LLDID,GEOID,ParentGEOI,UniversalI,ParentUniv,AppTownshi,AppRange,AppSection,AppAliquot,CountyCode,BeneGroupC,EffectiveD,Terminatio,Status,WorkflowSt,ParcelAcre,ParcelAc_1,ValidGeogr,ValidAttri,OngardStat,CreatedUse,CreatedDat,LastEdited,LastEdit_1,AuditProgr,GEOCODETIM,GEOCODEUSE,GEOCODEGRI,GlobalID,Shape_STAr,Shape_STLe
"23",0050N,0060W,"16",A,SWSW,"000",230050N0060W016ASWSW,230050N0060W016ASWSW000,,,,05N,06W,"16",SW4SW4,"6","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/21,wbaillargeon,LUMASGridPrimary,{EA439FED-FDC7-4B48-99BE-0C2BD51FB4B3},160323.88208300000,1602.13642843000
"23",0050N,0070W,"02",A,NESE,"000",230050N0070W002ANESE,230050N0070W002ANESE000,,,,05N,07W,"2",NE4SE4,"6","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/21,wbaillargeon,LUMASGridPrimary,{D0B42F8D-453D-4E7A-88BD-152C0178B300},162178.47384200001,1610.88017769000
"23",0050N,0070W,"02",A,SENE,"000",230050N0070W002ASENE,230050N0070W002ASENE000,,,,05N,07W,"2",SE4NE4,"6","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/21,wbaillargeon,LUMASGridPrimary,{77FFAC74-3552-4EED-9DED-A93666E9B895},162985.98831399999,1614.87937206000
"23",0050N,0070W,"02",A,SESE,"000",230050N0070W002ASESE,230050N0070W002ASESE000,,,,05N,07W,"2",SE4SE4,"6","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/21,wbaillargeon,LUMASGridPrimary,{AA2FF9A0-1808-4B8F-9AC1-126EA16E6FBC},161774.64582500001,1608.93065790000
"23",0060N,0060W,"02",A,SESE,"000",230060N0060W002ASESE,230060N0060W002ASESE000,,,,06N,06W,"2",SE4SE4,"6","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/21,wbaillargeon,LUMASGridPrimary,{ABD06F59-EDE9-446C-A31C-C27B0D735F0B},163244.82776300001,1616.30917319000
"23",0060N,0060W,"26",A,NWNW,"000",230060N0060W026ANWNW,230060N0060W026ANWNW000,,,,06N,06W,"26",NW4NW4,"6","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/21,wbaillargeon,LUMASGridPrimary,{C28B4D70-BB17-4D4E-B8B0-5506CEABE950},161046.15194800001,1605.44506287000
"23",0060N,0060W,"32",A,SESE,"000",230060N0060W032ASESE,230060N0060W032ASESE000,,,,06N,06W,"32",SE4SE4,"6","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/21,wbaillargeon,LUMASGridPrimary,{52125E64-41BC-4B78-B654-EF5416769090},161340.89691899999,1606.73719870000
"23",0060N,0060W,"32",A,SESW,"000",230060N0060W032ASESW,230060N0060W032ASESW000,,,,06N,06W,"32",SE4SW4,"6","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/21,wbaillargeon,LUMASGridPrimary,{869CE13B-13AF-4A0F-8508-71503AEF3E7E},161488.36485700001,1607.44016287000
"23",0060N,0060W,"32",A,SWSE,"000",230060N0060W032ASWSE,230060N0060W032ASWSE000,,,,06N,06W,"32",SW4SE4,"6","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/21,wbaillargeon,LUMASGridPrimary,{37F3491E-7ED6-4E8D-AA55-4BA3982FFD1D},161603.42925600000,1608.03504951000
"23",0060N,0060W,"32",A,SWSW,"000",230060N0060W032ASWSW,230060N0060W032ASWSW000,,,,06N,06W,"32",SW4SW4,"6","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/21,wbaillargeon,LUMASGridPrimary,{4EC3A745-65FA-46F6-8E83-7770A094B738},161975.72616600001,1609.86698217000
"23",0060N,0060W,"36",A,SWSW,"000",230060N0060W036ASWSW,230060N0060W036ASWSW000,,,,06N,06W,"36",SW4SW4,"6","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/21,wbaillargeon,LUMASGridPrimary,{342AC3F5-53AE-43E2-A9AA-D40B23611486},161894.02585000001,1609.49202455000
"23",0070N,0020W,"36",A,NESE,"000",230070N0020W036ANESE,230070N0020W036ANESE000,,,,07N,02W,"36",NE4SE4,"61","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/21,wbaillargeon,LUMASGridPrimary,{079E949B-2BCC-4586-B8A5-62578B77BACD},154450.67791800000,1572.42681951000
"23",0070N,0020W,"36",A,SENE,"000",230070N0020W036ASENE,230070N0020W036ASENE000,,,,07N,02W,"36",SE4NE4,"61","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/21,wbaillargeon,LUMASGridPrimary,{1D0F9975-E0E1-4687-A229-F380290ADC25},148160.80162000001,1541.05290687000
"23",0070N,0020W,"36",A,SESE,"000",230070N0020W036ASESE,230070N0020W036ASESE000,,,,07N,02W,"36",SE4SE4,"61","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/21,wbaillargeon,LUMASGridPrimary,{96846C2D-4579-4384-84FB-5400E3FECF19},155397.83421400000,1577.40176668000
"23",0070N,0030W,"16",A,NENE,"000",230070N0030W016ANENE,230070N0030W016ANENE000,,,,07N,03W,"16",NE4NE4,"61","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/21,wbaillargeon,LUMASGridPrimary,{76969E67-F25E-4350-82B7-BE49E64EC6B3},162501.07188000000,1612.47896776000
