Meridian,Township,Range,Section,SurveyType,Aliquot,ParcelNumb,LLDID,GEOID,ParentGEOI,UniversalI,ParentUniv,AppTownshi,AppRange,AppSection,AppAliquot,CountyCode,BeneGroupC,EffectiveD,Terminatio,Status,WorkflowSt,ParcelAcre,ParcelAc_1,ValidGeogr,ValidAttri,OngardStat,CreatedUse,CreatedDat,LastEdited,LastEdit_1,AuditProgr,GEOCODETIM,GEOCODEUSE,GEOCODEGRI,GlobalID,Shape_STAr,Shape_STLe
"23",0050N,0060W,"16",A,SWSW,"000",230050N0060W016ASWSW,230050N0060W016ASWSW000,,,,05N,06W,"16",SW4SW4,"6","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/20,wbaillargeon,LUMASGridPrimary,{DFB10B1F-F312-4E37-9CF1-CF3FBB4C9D14},160323.88208300000,1602.13642843000
"23",0050N,0070W,"02",A,NESE,"000",230050N0070W002ANESE,230050N0070W002ANESE000,,,,05N,07W,"2",NE4SE4,"6","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/20,wbaillargeon,LUMASGridPrimary,{78CCC73A-21AB-4D45-93A8-6C925B8CD71A},162178.47384200001,1610.88017769000
"23",0050N,0070W,"02",A,SENE,"000",230050N0070W002ASENE,230050N0070W002ASENE000,,,,05N,07W,"2",SE4NE4,"6","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/20,wbaillargeon,LUMASGridPrimary,{A94C20B4-3FCD-429E-BB70-7E4084EAA839},162985.98831399999,1614.87937206000
"23",0050N,0070W,"02",A,SESE,"000",230050N0070W002ASESE,230050N0070W002ASESE000,,,,05N,07W,"2",SE4SE4,"6","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/20,wbaillargeon,LUMASGridPrimary,{1EEC7F27-AA52-4A5E-A565-C257E5B63205},161774.64582500001,1608.93065790000
"23",0060N,0060W,"02",A,SESE,"000",230060N0060W002ASESE,230060N0060W002ASESE000,,,,06N,06W,"2",SE4SE4,"6","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/20,wbaillargeon,LUMASGridPrimary,{6C274C85-57E3-44E5-9F8E-901FEFE193AB},163244.82776300001,1616.30917319000
"23",0060N,0060W,"26",A,NWNW,"000",230060N0060W026ANWNW,230060N0060W026ANWNW000,,,,06N,06W,"26",NW4NW4,"6","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/20,wbaillargeon,LUMASGridPrimary,{B718F6DE-E7D1-42D5-B35E-14B32865655B},161046.15194800001,1605.44506287000
"23",0060N,0060W,"32",A,SESE,"000",230060N0060W032ASESE,230060N0060W032ASESE000,,,,06N,06W,"32",SE4SE4,"6","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/20,wbaillargeon,LUMASGridPrimary,{3578FB73-96E7-4094-9BCA-B7BD133A8714},161340.89691899999,1606.73719870000
"23",0060N,0060W,"32",A,SESW,"000",230060N0060W032ASESW,230060N0060W032ASESW000,,,,06N,06W,"32",SE4SW4,"6","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/20,wbaillargeon,LUMASGridPrimary,{8D2E93BF-22DF-4A12-A4B5-5B221A94A590},161488.36485700001,1607.44016287000
"23",0060N,0060W,"32",A,SWSE,"000",230060N0060W032ASWSE,230060N0060W032ASWSE000,,,,06N,06W,"32",SW4SE4,"6","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/20,wbaillargeon,LUMASGridPrimary,{30165CBA-5B9C-4A59-8769-91867A92BAB6},161603.42925600000,1608.03504951000
"23",0060N,0060W,"32",A,SWSW,"000",230060N0060W032ASWSW,230060N0060W032ASWSW000,,,,06N,06W,"32",SW4SW4,"6","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/20,wbaillargeon,LUMASGridPrimary,{FBCDF72C-5DBE-4F26-9C95-9D7E0D78BC05},161975.72616600001,1609.86698217000
"23",0060N,0060W,"36",A,SWSW,"000",230060N0060W036ASWSW,230060N0060W036ASWSW000,,,,06N,06W,"36",SW4SW4,"6","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/20,wbaillargeon,LUMASGridPrimary,{CF5E9AF7-04B3-42B6-8730-A17352BCAF3F},161894.02585000001,1609.49202455000
"23",0070N,0020W,"36",A,NESE,"000",230070N0020W036ANESE,230070N0020W036ANESE000,,,,07N,02W,"36",NE4SE4,"61","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/20,wbaillargeon,LUMASGridPrimary,{70DC4E3F-D33B-4017-9B5B-8DF7605785B4},154450.67791800000,1572.42681951000
"23",0070N,0020W,"36",A,SENE,"000",230070N0020W036ASENE,230070N0020W036ASENE000,,,,07N,02W,"36",SE4NE4,"61","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/20,wbaillargeon,LUMASGridPrimary,{C1CF5DC2-E9D7-4DCA-825C-002CDF811175},148160.80162000001,1541.05290687000
"23",0070N,0020W,"36",A,SESE,"000",230070N0020W036ASESE,230070N0020W036ASESE000,,,,07N,02W,"36",SE4SE4,"61","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/20,wbaillargeon,LUMASGridPrimary,{B1D4C05E-F6A4-4286-AECA-1D110FAF3F8C},155397.83421400000,1577.40176668000
"23",0070N,0030W,"16",A,NENE,"000",230070N0030W016ANENE,230070N0030W016ANENE000,,,,07N,03W,"16",NE4NE4,"61","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/20,wbaillargeon,LUMASGridPrimary,{EF91D263-A61B-43BE-BB44-A4F571E0E1C8},162501.07188000000,1612.47896776000
"23",0070N,0030W,"16",A,NENW,"000",230070N0030W016ANENW,230070N0030W016ANENW000,,,,07N,03W,"16",NE4NW4,"61","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/20,wbaillargeon,LUMASGridPrimary,{FE70402F-E558-4000-B339-6C73138D2D68},162172.08436700000,1610.82614682000
"23",0070N,0030W,"16",A,NESE,"000",230070N0030W016ANESE,230070N0030W016ANESE000,,,,07N,03W,"16",NE4SE4,"61","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/20,wbaillargeon,LUMASGridPrimary,{BBAE0F58-8E28-4BDC-A12B-E3B5B1C14AEA},157978.99711100000,1590.15015175000
"23",0070N,0030W,"16",A,NESW,"000",230070N0030W016ANESW,230070N0030W016ANESW000,,,,07N,03W,"16",NE4SW4,"61","01",,,A,,40.00000000,,,,,GIS,2022/03/19,GIS,2022/03/19,UPLOAD,2014/12/20,wbaillargeon,LUMASGridPrimary,{6A1F8F2E-6985-4BBA-8521-E5FF4E720CE0},158315.22798400000,1591.72320086000
