state,managing_agency,rights_type,state_enabling_act,TRACT_ID,acres,county,township,range,section,aliquot,trust_name
ND,Commissioner of University and School Lands,Surface,"172 Stat. 676-684, esp. 679-81 (1889)",4301180,160,SIOUX,129,85,12,SW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"173 Stat. 676-684, esp. 679-81 (1889)",4300390,160,SIOUX,129,81,11,SE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"174 Stat. 676-684, esp. 679-81 (1889)",4300400,160,SIOUX,129,81,11,SW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"175 Stat. 676-684, esp. 679-81 (1889)",4301800,160,SIOUX,129,89,16,SW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"176 Stat. 676-684, esp. 679-81 (1889)",4301790,160,SIOUX,129,89,16,SE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"177 Stat. 676-684, esp. 679-81 (1889)",4301580,160,SIOUX,129,87,16,SW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"178 Stat. 676-684, esp. 679-81 (1889)",4301572,101.8,SIOUX,129,87,16,SE4 W OF RD,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"179 Stat. 676-684, esp. 679-81 (1889)",4301400,153,SIOUX,129,86,16,SW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"180 Stat. 676-684, esp. 679-81 (1889)",4301390,160,SIOUX,129,86,16,SE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"181 Stat. 676-684, esp. 679-81 (1889)",4301240,160,SIOUX,129,85,16,SE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"182 Stat. 676-684, esp. 679-81 (1889)",4301210,160,SIOUX,129,85,15,SW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"183 Stat. 676-684, esp. 679-81 (1889)",4301200,160,SIOUX,129,85,15,SE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"184 Stat. 676-684, esp. 679-81 (1889)",4300690,160,SIOUX,129,83,14,SW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"185 Stat. 676-684, esp. 679-81 (1889)",4300150,160,SIOUX,129,80,18,SE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"186 Stat. 676-684, esp. 679-81 (1889)",4300640,160,SIOUX,129,83,13,SE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"187 Stat. 676-684, esp. 679-81 (1889)",4300160,157.8,SIOUX,129,80,18,"E2SW4, LOTS 3,4",COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"188 Stat. 676-684, esp. 679-81 (1889)",4300140,160,SIOUX,129,80,17,SW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"189 Stat. 676-684, esp. 679-81 (1889)",4300130,160,SIOUX,129,80,17,SE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"190 Stat. 676-684, esp. 679-81 (1889)",4300120,160,SIOUX,129,80,14,SW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"191 Stat. 676-684, esp. 679-81 (1889)",4303500,160,SIOUX,131,82,13,SE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"192 Stat. 676-684, esp. 679-81 (1889)",4303590,160,SIOUX,131,82,24,NE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"193 Stat. 676-684, esp. 679-81 (1889)",4303600,160,SIOUX,131,82,24,SE4,COMMON SCHOOLS
