state,managing_agency,rights_type,state_enabling_act,OBJECTID,TRACTID,county,township,range,section,aliquot,TRUST,,trust_name,net_acres,acres,lease_status,lessee
ND,Commissioner of University and School Lands,Subsurface,"25 Stat. 676-684, esp. 679-81 (1889)",102295,1311440,DUNN,149,91,11,MISSOURI RIVER IN SE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,74.019999999999996,74.019999999999996,Y,OASIS PETROLEUM NORTH AMERICA LLC
ND,Commissioner of University and School Lands,Subsurface,"26 Stat. 676-684, esp. 679-81 (1889)",102309,3114650,MOUNTRAIL,151,91,23,E2SW4,T,ND STATE TREASURER,ND STATE TREASURER,40.000000000000000,80.000000000000000,Y,MARSHALL & WINSTON INC
ND,Commissioner of University and School Lands,Subsurface,"27 Stat. 676-684, esp. 679-81 (1889)",102593,2910140,MERCER,147,90,7,MISSOURI RIVER IN SE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,1.790000000000000,1.790000000000000,,N/A
ND,Commissioner of University and School Lands,Subsurface,"28 Stat. 676-684, esp. 679-81 (1889)",102665,1311190,DUNN,150,93,7,MISSOURI RIVER IN SE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,18.750000000000000,18.750000000000000,Y,MARATHON OIL COMPANY
ND,Commissioner of University and School Lands,Subsurface,"29 Stat. 676-684, esp. 679-81 (1889)",103018,3114590,MOUNTRAIL,152,91,19,SW4NE4,L,BANK OF NORTH DAKOTA,BANK OF NORTH DAKOTA,20.000000000000000,40.000000000000000,Y,Multiple Lessees
ND,Commissioner of University and School Lands,Subsurface,"30 Stat. 676-684, esp. 679-81 (1889)",103019,3114580,MOUNTRAIL,152,91,19,"LOTS 1,2",L,BANK OF NORTH DAKOTA,BANK OF NORTH DAKOTA,33.390000000000001,66.780000000000001,Y,Multiple Lessees
ND,Commissioner of University and School Lands,Subsurface,"31 Stat. 676-684, esp. 679-81 (1889)",103456,2909110,MERCER,147,87,27,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,106.319999999999993,106.319999999999993,,N/A
ND,Commissioner of University and School Lands,Subsurface,"32 Stat. 676-684, esp. 679-81 (1889)",103457,1312010,DUNN,148,91,27,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,9.010000000000000,9.010000000000000,Y,SKYWORLD OIL ND LTD
ND,Commissioner of University and School Lands,Subsurface,"33 Stat. 676-684, esp. 679-81 (1889)",103458,1309920,DUNN,150,93,27,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,109.680000000000007,109.680000000000007,Y,Multiple Lessees
ND,Commissioner of University and School Lands,Subsurface,"34 Stat. 676-684, esp. 679-81 (1889)",103542,2713000,MCKENZIE,152,93,27,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,110.920000000000002,110.920000000000002,Y,A. G. ANDRIKOPOULOS RESOURCES INC
ND,Commissioner of University and School Lands,Subsurface,"35 Stat. 676-684, esp. 679-81 (1889)",103544,2909290,MERCER,147,88,28,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,0.94,0.94,,N/A
ND,Commissioner of University and School Lands,Subsurface,"36 Stat. 676-684, esp. 679-81 (1889)",103714,1310140,DUNN,150,93,28,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,14.810000000000000,14.810000000000000,Y,JEFFREY KENDALL VEIGEL
ND,Commissioner of University and School Lands,Subsurface,"37 Stat. 676-684, esp. 679-81 (1889)",103716,2909330,MERCER,147,88,29,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,123.170000000000002,123.170000000000002,,N/A
ND,Commissioner of University and School Lands,Subsurface,"38 Stat. 676-684, esp. 679-81 (1889)",103756,3101320,MOUNTRAIL,151,92,18,SE4,L,BANK OF NORTH DAKOTA,BANK OF NORTH DAKOTA,80.000000000000000,160.000000000000000,Y,Multiple Lessees
ND,Commissioner of University and School Lands,Subsurface,"39 Stat. 676-684, esp. 679-81 (1889)",103758,3100820,MOUNTRAIL,151,90,18,"E2NW4, LOTS 1,2",L,BANK OF NORTH DAKOTA,BANK OF NORTH DAKOTA,75.909999999999997,151.810000000000002,Y,EOG RESOURCES INC
ND,Commissioner of University and School Lands,Subsurface,"40 Stat. 676-684, esp. 679-81 (1889)",103762,3102540,MOUNTRAIL,152,91,8,"S2SE4, LOTS 7,8",V,VALLEY CITY,VALLEY CITY,70.989999999999995,141.990000000000009,Y,WHITING OIL AND GAS CORPORATION
ND,Commissioner of University and School Lands,Subsurface,"41 Stat. 676-684, esp. 679-81 (1889)",103783,2909240,MERCER,147,87,33,MISSOURI RIVER IN NE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,19.320000000000000,19.320000000000000,,N/A
ND,Commissioner of University and School Lands,Subsurface,"42 Stat. 676-684, esp. 679-81 (1889)",104127,2909650,MERCER,147,89,7,MISSOURI RIVER IN NE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,139.000000000000000,139.000000000000000,,N/A
ND,Commissioner of University and School Lands,Subsurface,"43 Stat. 676-684, esp. 679-81 (1889)",104128,2910120,MERCER,147,90,7,MISSOURI RIVER IN NE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,85.900000000000006,85.900000000000006,,N/A
ND,Commissioner of University and School Lands,Subsurface,"44 Stat. 676-684, esp. 679-81 (1889)",104131,2909680,MERCER,147,89,8,MISSOURI RIVER IN NE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,159.280000000000001,159.280000000000001,,N/A
ND,Commissioner of University and School Lands,Subsurface,"45 Stat. 676-684, esp. 679-81 (1889)",104132,2910150,MERCER,147,90,8,MISSOURI RIVER IN NE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,49.090000000000003,49.090000000000003,,N/A
ND,Commissioner of University and School Lands,Subsurface,"46 Stat. 676-684, esp. 679-81 (1889)",104133,2909720,MERCER,147,89,9,MISSOURI RIVER IN NE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,11.830000000000000,11.830000000000000,,N/A
ND,Commissioner of University and School Lands,Subsurface,"47 Stat. 676-684, esp. 679-81 (1889)",104134,2910190,MERCER,147,90,9,MISSOURI RIVER IN NE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,62.570000000000000,62.570000000000000,,N/A
ND,Commissioner of University and School Lands,Subsurface,"48 Stat. 676-684, esp. 679-81 (1889)",104205,2815700,MCLEAN,149,87,33,"W2SW4, LOTS 7,8",L,BANK OF NORTH DAKOTA,BANK OF NORTH DAKOTA,51.729999999999997,103.450000000000003,,N/A
ND,Commissioner of University and School Lands,Subsurface,"49 Stat. 676-684, esp. 679-81 (1889)",104215,1312230,DUNN,148,91,9,MISSOURI RIVER IN NE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,22.510000000000002,22.510000000000002,Y,NORRA RESOURCES LLC
ND,Commissioner of University and School Lands,Subsurface,"50 Stat. 676-684, esp. 679-81 (1889)",104216,2910230,MERCER,147,90,10,MISSOURI RIVER IN NE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,144.969999999999999,144.969999999999999,,N/A
ND,Commissioner of University and School Lands,Subsurface,"51 Stat. 676-684, esp. 679-81 (1889)",104217,2909200,MERCER,147,87,32,MISSOURI RIVER IN NE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,107.790000000000006,107.790000000000006,,N/A
ND,Commissioner of University and School Lands,Subsurface,"52 Stat. 676-684, esp. 679-81 (1889)",104218,2909410,MERCER,147,88,32,MISSOURI RIVER IN NE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,103.560000000000002,103.560000000000002,,N/A
ND,Commissioner of University and School Lands,Subsurface,"53 Stat. 676-684, esp. 679-81 (1889)",104219,1309880,DUNN,150,92,32,MISSOURI RIVER IN NE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,36.689999999999998,36.689999999999998,Y,OASIS PETROLEUM NORTH AMERICA LLC
ND,Commissioner of University and School Lands,Subsurface,"54 Stat. 676-684, esp. 679-81 (1889)",104220,2718150,MCKENZIE,152,93,32,MISSOURI RIVER IN NE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,60.479999999999997,60.479999999999997,Y,MARATHON OIL COMPANY
ND,Commissioner of University and School Lands,Subsurface,"55 Stat. 676-684, esp. 679-81 (1889)",104246,2808210,MCLEAN,148,90,6,"E2SW4, LOTS 6,7",A,COMMON SCHOOLS,COMMON SCHOOLS,74.700000000000003,149.400000000000006,,N/A
ND,Commissioner of University and School Lands,Subsurface,"56 Stat. 676-684, esp. 679-81 (1889)",104249,2808090,MCLEAN,148,88,6,"LOTS 1,2",L,BANK OF NORTH DAKOTA,BANK OF NORTH DAKOTA,25.800000000000001,51.600000000000001,,N/A
ND,Commissioner of University and School Lands,Subsurface,"57 Stat. 676-684, esp. 679-81 (1889)",104526,1310120,DUNN,150,93,26,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,76.840000000000003,76.840000000000003,Y,ALAMEDA ENERGY INC
ND,Commissioner of University and School Lands,Subsurface,"58 Stat. 676-684, esp. 679-81 (1889)",104928,2909210,MERCER,147,87,32,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,19.640000000000001,19.640000000000001,,N/A
ND,Commissioner of University and School Lands,Subsurface,"59 Stat. 676-684, esp. 679-81 (1889)",105098,1310040,DUNN,150,92,32,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,147.990000000000009,147.990000000000009,Y,OASIS PETROLEUM NORTH AMERICA LLC
ND,Commissioner of University and School Lands,Subsurface,"60 Stat. 676-684, esp. 679-81 (1889)",105099,2718160,MCKENZIE,152,93,32,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,3.240000000000000,3.240000000000000,Y,MARATHON OIL COMPANY
ND,Commissioner of University and School Lands,Subsurface,"61 Stat. 676-684, esp. 679-81 (1889)",105505,3114340,MOUNTRAIL,151,93,6,MISSOURI RIVER IN SE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,128.120000000000005,128.120000000000005,Y,MARATHON OIL COMPANY
ND,Commissioner of University and School Lands,Subsurface,"62 Stat. 676-684, esp. 679-81 (1889)",105849,2909670,MERCER,147,89,7,MISSOURI RIVER IN SE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,0.49,0.49,,N/A
ND,Commissioner of University and School Lands,Subsurface,"63 Stat. 676-684, esp. 679-81 (1889)",106239,1312040,DUNN,148,91,35,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,122.280000000000001,122.280000000000001,Y,ADVANTA RESOURCES LLC
ND,Commissioner of University and School Lands,Subsurface,"64 Stat. 676-684, esp. 679-81 (1889)",106240,1312500,DUNN,150,91,35,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,0.37,0.37,Y,LERAAS RESOURCES LLC
ND,Commissioner of University and School Lands,Subsurface,"65 Stat. 676-684, esp. 679-81 (1889)",106256,1311570,DUNN,149,91,36,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,13.900000000000000,13.900000000000000,Y,Multiple Lessees
ND,Commissioner of University and School Lands,Subsurface,"66 Stat. 676-684, esp. 679-81 (1889)",106457,2909250,MERCER,147,87,33,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,123.099999999999994,123.099999999999994,,N/A
ND,Commissioner of University and School Lands,Subsurface,"67 Stat. 676-684, esp. 679-81 (1889)",106458,2909440,MERCER,147,88,33,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,162.039999999999992,162.039999999999992,,N/A
ND,Commissioner of University and School Lands,Subsurface,"68 Stat. 676-684, esp. 679-81 (1889)",106459,2718200,MCKENZIE,152,93,33,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,71.319999999999993,71.319999999999993,Y,MARATHON OIL COMPANY
ND,Commissioner of University and School Lands,Subsurface,"69 Stat. 676-684, esp. 679-81 (1889)",106546,1312510,DUNN,150,91,36,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,158.340000000000003,158.340000000000003,Y,VITESSE ENERGY LLC
ND,Commissioner of University and School Lands,Subsurface,"70 Stat. 676-684, esp. 679-81 (1889)",107141,3114490,MOUNTRAIL,151,94,36,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,56.609999999999999,56.609999999999999,Y,PETROGULF CORPORATION
ND,Commissioner of University and School Lands,Subsurface,"71 Stat. 676-684, esp. 679-81 (1889)",107143,2910060,MERCER,147,90,1,MISSOURI RIVER IN SE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,158.020000000000010,158.020000000000010,,N/A
ND,Commissioner of University and School Lands,Subsurface,"72 Stat. 676-684, esp. 679-81 (1889)",107144,1312160,DUNN,147,91,1,MISSOURI RIVER IN SE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,100.170000000000002,100.170000000000002,Y,ADVANTA RESOURCES LLC
ND,Commissioner of University and School Lands,Subsurface,"73 Stat. 676-684, esp. 679-81 (1889)",107145,1309970,DUNN,149,92,1,MISSOURI RIVER IN SE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,5.970000000000000,5.970000000000000,Y,"XTO HOLDINGS, LLC"
ND,Commissioner of University and School Lands,Subsurface,"74 Stat. 676-684, esp. 679-81 (1889)",107146,3114950,MCKENZIE,150,94,1,MISSOURI RIVER IN SE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,148.500000000000000,148.500000000000000,Y,"RIVERBEND OIL & GAS VI, LLC"
ND,Commissioner of University and School Lands,Subsurface,"75 Stat. 676-684, esp. 679-81 (1889)",107147,1312550,DUNN,151,94,1,MISSOURI RIVER IN SE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,0.07,0.07,Y,BANDED ROCK LLC
ND,Commissioner of University and School Lands,Subsurface,"76 Stat. 676-684, esp. 679-81 (1889)",107148,2910080,MERCER,147,90,2,MISSOURI RIVER IN SE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,105.920000000000002,105.920000000000002,,N/A
ND,Commissioner of University and School Lands,Subsurface,"77 Stat. 676-684, esp. 679-81 (1889)",107149,1311400,DUNN,149,91,2,MISSOURI RIVER IN SE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,119.769999999999996,119.769999999999996,Y,NORTHERN OIL AND GAS INC
ND,Commissioner of University and School Lands,Subsurface,"78 Stat. 676-684, esp. 679-81 (1889)",107150,1309990,DUNN,149,92,2,MISSOURI RIVER IN SE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,69.930000000000007,69.930000000000007,Y,OASIS PETROLEUM NORTH AMERICA LLC
ND,Commissioner of University and School Lands,Subsurface,"79 Stat. 676-684, esp. 679-81 (1889)",107151,2910100,MERCER,147,90,3,MISSOURI RIVER IN SE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,9.550000000000001,9.550000000000001,,N/A
ND,Commissioner of University and School Lands,Subsurface,"80 Stat. 676-684, esp. 679-81 (1889)",107152,1312210,DUNN,148,91,3,MISSOURI RIVER IN SE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,6.060000000000000,6.060000000000000,Y,Multiple Lessees
ND,Commissioner of University and School Lands,Subsurface,"81 Stat. 676-684, esp. 679-81 (1889)",107153,1310020,DUNN,149,92,3,MISSOURI RIVER IN SE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,10.550000000000001,10.550000000000001,Y,OASIS PETROLEUM NORTH AMERICA LLC
ND,Commissioner of University and School Lands,Subsurface,"82 Stat. 676-684, esp. 679-81 (1889)",107154,1312220,DUNN,148,91,4,MISSOURI RIVER IN SE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,1.380000000000000,1.380000000000000,Y,AMERICAN LAND SERVICES LLC
ND,Commissioner of University and School Lands,Subsurface,"83 Stat. 676-684, esp. 679-81 (1889)",107156,2909590,MERCER,147,89,5,MISSOURI RIVER IN SE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,59.600000000000001,59.600000000000001,,N/A
ND,Commissioner of University and School Lands,Subsurface,"84 Stat. 676-684, esp. 679-81 (1889)",107246,1312330,MCLEAN,148,91,36,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,8.779999999999999,8.779999999999999,Y,IRON HORSE ROYALTIES LLC
ND,Commissioner of University and School Lands,Subsurface,"85 Stat. 676-684, esp. 679-81 (1889)",107765,2909510,MERCER,147,88,35,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,37.500000000000000,37.500000000000000,,N/A
ND,Commissioner of University and School Lands,Subsurface,"86 Stat. 676-684, esp. 679-81 (1889)",107935,2909550,MERCER,147,88,36,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,108.120000000000005,108.120000000000005,,N/A
ND,Commissioner of University and School Lands,Subsurface,"87 Stat. 676-684, esp. 679-81 (1889)",108579,1311260,DUNN,148,91,10,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,132.159999999999997,132.159999999999997,Y,NORRA RESOURCES LLC
ND,Commissioner of University and School Lands,Subsurface,"88 Stat. 676-684, esp. 679-81 (1889)",108580,2910280,MERCER,147,90,11,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,134.860000000000014,134.860000000000014,,N/A
ND,Commissioner of University and School Lands,Subsurface,"89 Stat. 676-684, esp. 679-81 (1889)",108593,2910200,MERCER,147,90,9,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,52.340000000000003,52.340000000000003,,N/A
ND,Commissioner of University and School Lands,Subsurface,"90 Stat. 676-684, esp. 679-81 (1889)",108808,2910240,MERCER,147,90,10,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,91.840000000000003,91.840000000000003,,N/A
ND,Commissioner of University and School Lands,Subsurface,"91 Stat. 676-684, esp. 679-81 (1889)",109185,2909630,MERCER,147,89,6,MISSOURI RIVER IN SE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,158.979999999999990,158.979999999999990,,N/A
ND,Commissioner of University and School Lands,Subsurface,"92 Stat. 676-684, esp. 679-81 (1889)",109295,2910160,MERCER,147,90,8,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,64.230000000000004,64.230000000000004,,N/A
ND,Commissioner of University and School Lands,Subsurface,"93 Stat. 676-684, esp. 679-81 (1889)",109395,1311430,DUNN,149,91,11,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,43.799999999999997,43.799999999999997,Y,OASIS PETROLEUM NORTH AMERICA LLC
ND,Commissioner of University and School Lands,Subsurface,"94 Stat. 676-684, esp. 679-81 (1889)",109639,1311980,MCLEAN,148,91,26,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,115.510000000000005,115.510000000000005,Y,Multiple Lessees
ND,Commissioner of University and School Lands,Subsurface,"95 Stat. 676-684, esp. 679-81 (1889)",109823,2909690,MERCER,147,89,8,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,159.349999999999994,159.349999999999994,,N/A
ND,Commissioner of University and School Lands,Subsurface,"96 Stat. 676-684, esp. 679-81 (1889)",109836,2906400,MERCER,146,88,20,NE4,L,BANK OF NORTH DAKOTA,BANK OF NORTH DAKOTA,53.329999999999998,160.000000000000000,,N/A
ND,Commissioner of University and School Lands,Subsurface,"97 Stat. 676-684, esp. 679-81 (1889)",109997,2909730,MERCER,147,89,9,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,119.349999999999994,119.349999999999994,,N/A
ND,Commissioner of University and School Lands,Subsurface,"98 Stat. 676-684, esp. 679-81 (1889)",110316,2815910,MCLEAN,150,87,33,"NW4SW4, LOT 7",L,BANK OF NORTH DAKOTA,BANK OF NORTH DAKOTA,25.660000000000000,51.320000000000000,Y,"THE TRIPLE T, INC."
ND,Commissioner of University and School Lands,Subsurface,"99 Stat. 676-684, esp. 679-81 (1889)",110329,2811210,MCLEAN,149,89,1,"S2NW4, LOTS 3,4",A,COMMON SCHOOLS,COMMON SCHOOLS,80.000000000000000,160.000000000000000,,N/A
ND,Commissioner of University and School Lands,Subsurface,"100 Stat. 676-684, esp. 679-81 (1889)",110331,2810920,MCLEAN,149,88,6,"S2NE4, LOTS 1,2",A,COMMON SCHOOLS,COMMON SCHOOLS,80.000000000000000,160.000000000000000,,N/A
ND,Commissioner of University and School Lands,Subsurface,"101 Stat. 676-684, esp. 679-81 (1889)",110335,2811300,MCLEAN,149,89,6,SE4 LESS 15.02 AC PREV DEEDED,A,COMMON SCHOOLS,COMMON SCHOOLS,72.489999999999995,144.979999999999990,,N/A
ND,Commissioner of University and School Lands,Subsurface,"102 Stat. 676-684, esp. 679-81 (1889)",110337,2810890,MCLEAN,149,88,5,"S2NW4, LOTS 3,4",A,COMMON SCHOOLS,COMMON SCHOOLS,79.969999999999999,159.939999999999998,,N/A
ND,Commissioner of University and School Lands,Subsurface,"103 Stat. 676-684, esp. 679-81 (1889)",110339,2810880,MCLEAN,149,88,5,"S2NE4, LOTS 1,2",A,COMMON SCHOOLS,COMMON SCHOOLS,79.909999999999997,159.819999999999993,,N/A
ND,Commissioner of University and School Lands,Subsurface,"104 Stat. 676-684, esp. 679-81 (1889)",110342,2810850,MCLEAN,149,88,4,"S2NW4, LOTS 3,4",A,COMMON SCHOOLS,COMMON SCHOOLS,79.920000000000002,159.840000000000003,,N/A
ND,Commissioner of University and School Lands,Subsurface,"105 Stat. 676-684, esp. 679-81 (1889)",110345,2811280,MCLEAN,149,89,4,SW4,L,BANK OF NORTH DAKOTA,BANK OF NORTH DAKOTA,80.000000000000000,160.000000000000000,,N/A
ND,Commissioner of University and School Lands,Subsurface,"106 Stat. 676-684, esp. 679-81 (1889)",110346,2810840,MCLEAN,149,88,4,"S2NE4, LOTS 1,2",A,COMMON SCHOOLS,COMMON SCHOOLS,80.000000000000000,160.000000000000000,,N/A
ND,Commissioner of University and School Lands,Subsurface,"107 Stat. 676-684, esp. 679-81 (1889)",110456,2810830,MCLEAN,149,88,3,"S2NW4, LOTS 3,4",L,BANK OF NORTH DAKOTA,BANK OF NORTH DAKOTA,80.030000000000001,160.060000000000002,,N/A
ND,Commissioner of University and School Lands,Subsurface,"108 Stat. 676-684, esp. 679-81 (1889)",110459,1311790,DUNN,150,91,27,MISSOURI RIVER IN NE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,70.019999999999996,70.019999999999996,Y,Multiple Lessees
ND,Commissioner of University and School Lands,Subsurface,"109 Stat. 676-684, esp. 679-81 (1889)",110460,1311780,DUNN,150,91,26,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,97.430000000000007,97.430000000000007,Y,NORTHERN OIL AND GAS INC
ND,Commissioner of University and School Lands,Subsurface,"110 Stat. 676-684, esp. 679-81 (1889)",110461,1311040,DUNN,149,92,4,MISSOURI RIVER IN NE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,56.009999999999998,56.009999999999998,Y,Multiple Lessees
ND,Commissioner of University and School Lands,Subsurface,"111 Stat. 676-684, esp. 679-81 (1889)",110477,3101740,MOUNTRAIL,151,93,29,SW4,E,ELLENDALE,ELLENDALE,80.000000000000000,160.000000000000000,Y,MARATHON OIL COMPANY
ND,Commissioner of University and School Lands,Subsurface,"112 Stat. 676-684, esp. 679-81 (1889)",110479,5101530,WARD,151,87,20,NE4,L,BANK OF NORTH DAKOTA,BANK OF NORTH DAKOTA,8.000000000000000,160.000000000000000,Y,"THE TRIPLE T, INC."
ND,Commissioner of University and School Lands,Subsurface,"113 Stat. 676-684, esp. 679-81 (1889)",110577,2718180,MCKENZIE,152,93,32,MISSOURI RIVER IN SW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,138.870000000000005,138.870000000000005,Y,MARATHON OIL COMPANY
ND,Commissioner of University and School Lands,Subsurface,"114 Stat. 676-684, esp. 679-81 (1889)",110579,2909260,MERCER,147,87,33,MISSOURI RIVER IN SW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,3.230000000000000,3.230000000000000,,N/A
ND,Commissioner of University and School Lands,Subsurface,"115 Stat. 676-684, esp. 679-81 (1889)",110580,2909460,MERCER,147,88,33,MISSOURI RIVER IN SW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,152.849999999999994,152.849999999999994,,N/A
ND,Commissioner of University and School Lands,Subsurface,"116 Stat. 676-684, esp. 679-81 (1889)",110596,3101710,MOUNTRAIL,151,93,26,SE4,A,COMMON SCHOOLS,COMMON SCHOOLS,80.000000000000000,160.000000000000000,Y,MARATHON OIL COMPANY
ND,Commissioner of University and School Lands,Subsurface,"117 Stat. 676-684, esp. 679-81 (1889)",110606,3101100,MOUNTRAIL,151,91,26,NE4,A,COMMON SCHOOLS,COMMON SCHOOLS,80.000000000000000,160.000000000000000,Y,EOG RESOURCES INC
ND,Commissioner of University and School Lands,Subsurface,"118 Stat. 676-684, esp. 679-81 (1889)",110615,3100350,MOUNTRAIL,151,88,19,W2SE4,L,BANK OF NORTH DAKOTA,BANK OF NORTH DAKOTA,40.000000000000000,80.000000000000000,Y,"THE TRIPLE T, INC."
ND,Commissioner of University and School Lands,Subsurface,"119 Stat. 676-684, esp. 679-81 (1889)",110619,3101480,MOUNTRAIL,151,92,29,SW4,L,BANK OF NORTH DAKOTA,BANK OF NORTH DAKOTA,80.000000000000000,160.000000000000000,Y,Multiple Lessees
ND,Commissioner of University and School Lands,Subsurface,"120 Stat. 676-684, esp. 679-81 (1889)",110729,3100330,MOUNTRAIL,151,88,16,SW4,A,COMMON SCHOOLS,COMMON SCHOOLS,80.000000000000000,160.000000000000000,Y,"THE TRIPLE T, INC."
ND,Commissioner of University and School Lands,Subsurface,"121 Stat. 676-684, esp. 679-81 (1889)",110733,3100320,MOUNTRAIL,151,88,16,SE4,A,COMMON SCHOOLS,COMMON SCHOOLS,80.000000000000000,160.000000000000000,Y,"THE TRIPLE T, INC."
ND,Commissioner of University and School Lands,Subsurface,"122 Stat. 676-684, esp. 679-81 (1889)",110739,3101370,MOUNTRAIL,151,92,22,SE4,L,BANK OF NORTH DAKOTA,BANK OF NORTH DAKOTA,80.000000000000000,160.000000000000000,Y,Multiple Lessees
ND,Commissioner of University and School Lands,Subsurface,"123 Stat. 676-684, esp. 679-81 (1889)",110742,3101390,MOUNTRAIL,151,92,23,W2SW4,L,BANK OF NORTH DAKOTA,BANK OF NORTH DAKOTA,40.000000000000000,80.000000000000000,Y,INLAND OIL & GAS CORPORATION
ND,Commissioner of University and School Lands,Subsurface,"124 Stat. 676-684, esp. 679-81 (1889)",110822,1312420,MCLEAN,150,91,16,MISSOURI RIVER IN SE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,1.620000000000000,1.620000000000000,Y,Multiple Lessees
ND,Commissioner of University and School Lands,Subsurface,"125 Stat. 676-684, esp. 679-81 (1889)",110823,1312440,MCLEAN,150,91,20,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,6.230000000000000,6.230000000000000,Y,Multiple Lessees
