state,managing_agency,rights_type,state_enabling_act,OBJECTID,TRACTID,county,township,range,section,aliquot,TRUST,,trust_name,net_acres,acres,lease_status,lessee
ND,Commissioner of University and School Lands,Subsurface,"406 Stat. 676-684, esp. 679-81 (1889)",125879,2808080,MCLEAN,148,87,36,SW4,A,COMMON SCHOOLS,COMMON SCHOOLS,80.000000000000000,160.000000000000000,,N/A
ND,Commissioner of University and School Lands,Subsurface,"407 Stat. 676-684, esp. 679-81 (1889)",125883,2808070,MCLEAN,148,87,36,SE4,A,COMMON SCHOOLS,COMMON SCHOOLS,80.000000000000000,160.000000000000000,,N/A
ND,Commissioner of University and School Lands,Subsurface,"408 Stat. 676-684, esp. 679-81 (1889)",125893,2815400,MCLEAN,148,87,31,"SE4SW4, LOT 4",L,BANK OF NORTH DAKOTA,BANK OF NORTH DAKOTA,37.320000000000000,74.640000000000001,,N/A
ND,Commissioner of University and School Lands,Subsurface,"409 Stat. 676-684, esp. 679-81 (1889)",125930,2909620,MERCER,147,89,6,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,42.369999999999997,42.369999999999997,,N/A
ND,Commissioner of University and School Lands,Subsurface,"410 Stat. 676-684, esp. 679-81 (1889)",125998,2811310,MCLEAN,149,89,9,SE4,E,ELLENDALE,ELLENDALE,160.000000000000000,160.000000000000000,,N/A
ND,Commissioner of University and School Lands,Subsurface,"411 Stat. 676-684, esp. 679-81 (1889)",126008,1311910,DUNN,150,91,36,MISSOURI RIVER IN NE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,160.430000000000007,160.430000000000007,Y,NORTHERN OIL AND GAS INC
ND,Commissioner of University and School Lands,Subsurface,"412 Stat. 676-684, esp. 679-81 (1889)",126009,3114480,MOUNTRAIL,151,94,36,MISSOURI RIVER IN NE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,159.319999999999993,159.319999999999993,Y,PETROGULF CORPORATION
ND,Commissioner of University and School Lands,Subsurface,"413 Stat. 676-684, esp. 679-81 (1889)",126116,2908050,MERCER,146,88,1,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,144.960000000000008,144.960000000000008,,N/A
ND,Commissioner of University and School Lands,Subsurface,"414 Stat. 676-684, esp. 679-81 (1889)",126125,2811320,MCLEAN,149,89,12,SW4,L,BANK OF NORTH DAKOTA,BANK OF NORTH DAKOTA,80.000000000000000,160.000000000000000,,N/A
ND,Commissioner of University and School Lands,Subsurface,"415 Stat. 676-684, esp. 679-81 (1889)",126129,2810990,MCLEAN,149,88,7,"E2SW4, LOTS 3,4",A,COMMON SCHOOLS,COMMON SCHOOLS,78.810000000000002,157.620000000000005,,N/A
ND,Commissioner of University and School Lands,Subsurface,"416 Stat. 676-684, esp. 679-81 (1889)",126131,2810980,MCLEAN,149,88,7,SE4,A,COMMON SCHOOLS,COMMON SCHOOLS,80.000000000000000,160.000000000000000,,N/A
ND,Commissioner of University and School Lands,Subsurface,"417 Stat. 676-684, esp. 679-81 (1889)",126134,2811030,MCLEAN,149,88,8,SW4,A,COMMON SCHOOLS,COMMON SCHOOLS,80.000000000000000,160.000000000000000,,N/A
ND,Commissioner of University and School Lands,Subsurface,"418 Stat. 676-684, esp. 679-81 (1889)",126137,2811020,MCLEAN,149,88,8,NW4SE4,A,COMMON SCHOOLS,COMMON SCHOOLS,20.000000000000000,40.000000000000000,,N/A
ND,Commissioner of University and School Lands,Subsurface,"419 Stat. 676-684, esp. 679-81 (1889)",126144,2811060,MCLEAN,149,88,10,SE4,A,COMMON SCHOOLS,COMMON SCHOOLS,80.000000000000000,160.000000000000000,,N/A
ND,Commissioner of University and School Lands,Subsurface,"420 Stat. 676-684, esp. 679-81 (1889)",126149,2811070,MCLEAN,149,88,11,SW4,M,SCHOOL OF MINES,SCHOOL OF MINES,80.000000000000000,160.000000000000000,,N/A
ND,Commissioner of University and School Lands,Subsurface,"421 Stat. 676-684, esp. 679-81 (1889)",126155,2805240,MCLEAN,147,87,6,LOT 1,L,BANK OF NORTH DAKOTA,BANK OF NORTH DAKOTA,20.000000000000000,40.000000000000000,,N/A
ND,Commissioner of University and School Lands,Subsurface,"422 Stat. 676-684, esp. 679-81 (1889)",126225,1311180,DUNN,150,93,7,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,6.140000000000000,6.140000000000000,Y,MARATHON OIL COMPANY
ND,Commissioner of University and School Lands,Subsurface,"423 Stat. 676-684, esp. 679-81 (1889)",126226,3114370,MOUNTRAIL,151,93,7,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,149.650000000000006,149.650000000000006,Y,MARATHON OIL COMPANY
ND,Commissioner of University and School Lands,Subsurface,"424 Stat. 676-684, esp. 679-81 (1889)",126236,2907630,MERCER,146,88,16,"LOTS 3,4",A,COMMON SCHOOLS,COMMON SCHOOLS,29.949999999999999,59.899999999999999,,N/A
ND,Commissioner of University and School Lands,Subsurface,"425 Stat. 676-684, esp. 679-81 (1889)",126240,2906380,MERCER,146,88,16,"NE4SE4, S2SE4, LOT 2 IN SE4",A,COMMON SCHOOLS,COMMON SCHOOLS,75.930000000000007,151.849999999999994,,N/A
ND,Commissioner of University and School Lands,Subsurface,"426 Stat. 676-684, esp. 679-81 (1889)",126269,2811580,MCLEAN,149,90,14,NE4NW4,A,COMMON SCHOOLS,COMMON SCHOOLS,20.000000000000000,40.000000000000000,,N/A
ND,Commissioner of University and School Lands,Subsurface,"427 Stat. 676-684, esp. 679-81 (1889)",126272,2811570,MCLEAN,149,90,14,NE4,A,COMMON SCHOOLS,COMMON SCHOOLS,80.000000000000000,160.000000000000000,,N/A
ND,Commissioner of University and School Lands,Subsurface,"428 Stat. 676-684, esp. 679-81 (1889)",126404,2811350,MCLEAN,149,89,16,NW4,A,COMMON SCHOOLS,COMMON SCHOOLS,160.000000000000000,160.000000000000000,Y,Multiple Lessees
