state,managing_agency,rights_type,state_enabling_act,OBJECTID,TIMBER_TRU,trust_name,state_reported_notes,,,,,,
WA,Department of Natural Resources,Timber,"225 Stat. 676-684, esp. 679-81 (1889)",15676,48,Community Forest Trust,KLICKITAT CANYON FOREST,,,,,,
WA,Department of Natural Resources,Timber,"226 Stat. 676-684, esp. 679-81 (1889)",15684,48,Community Forest Trust,KLICKITAT CANYON FOREST,,,,,,
WA,Department of Natural Resources,Timber,"227 Stat. 676-684, esp. 679-81 (1889)",15761,75,Natural Resources Conservation Area,,,,,,,
WA,Department of Natural Resources,Timber,"228 Stat. 676-684, esp. 679-81 (1889)",15763,75,Natural Resources Conservation Area,,,,,,,
WA,Department of Natural Resources,Timber,"229 Stat. 676-684, esp. 679-81 (1889)",15775,75,Natural Resources Conservation Area,,,,,,,
WA,Department of Natural Resources,Timber,"230 Stat. 676-684, esp. 679-81 (1889)",15798,48,Community Forest Trust,KLICKITAT CANYON FOREST,,,,,,
WA,Department of Natural Resources,Timber,"231 Stat. 676-684, esp. 679-81 (1889)",16570,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"232 Stat. 676-684, esp. 679-81 (1889)",16575,8,Normal School,,,,,,,
WA,Department of Natural Resources,Timber,"233 Stat. 676-684, esp. 679-81 (1889)",16577,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"234 Stat. 676-684, esp. 679-81 (1889)",16578,8,Normal School,,,,,,,
WA,Department of Natural Resources,Timber,"235 Stat. 676-684, esp. 679-81 (1889)",16787,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"236 Stat. 676-684, esp. 679-81 (1889)",16840,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"237 Stat. 676-684, esp. 679-81 (1889)",16879,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"238 Stat. 676-684, esp. 679-81 (1889)",16880,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"239 Stat. 676-684, esp. 679-81 (1889)",16882,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"240 Stat. 676-684, esp. 679-81 (1889)",17309,8,Normal School,,,,,,,
WA,Department of Natural Resources,Timber,"241 Stat. 676-684, esp. 679-81 (1889)",17995,1,State Forest Transfer,,,,,,,
WA,Department of Natural Resources,Timber,"242 Stat. 676-684, esp. 679-81 (1889)",8352,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"243 Stat. 676-684, esp. 679-81 (1889)",9786,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"244 Stat. 676-684, esp. 679-81 (1889)",13832,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"245 Stat. 676-684, esp. 679-81 (1889)",5578,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"246 Stat. 676-684, esp. 679-81 (1889)",18222,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"247 Stat. 676-684, esp. 679-81 (1889)",18325,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"248 Stat. 676-684, esp. 679-81 (1889)",18576,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"249 Stat. 676-684, esp. 679-81 (1889)",11784,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"250 Stat. 676-684, esp. 679-81 (1889)",13005,3,Common School and Indemnity,EDIT SPLIT 116676,,,,,,
WA,Department of Natural Resources,Timber,"251 Stat. 676-684, esp. 679-81 (1889)",13927,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"252 Stat. 676-684, esp. 679-81 (1889)",14126,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"253 Stat. 676-684, esp. 679-81 (1889)",14945,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"254 Stat. 676-684, esp. 679-81 (1889)",15108,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"255 Stat. 676-684, esp. 679-81 (1889)",15629,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"256 Stat. 676-684, esp. 679-81 (1889)",15799,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"257 Stat. 676-684, esp. 679-81 (1889)",16005,3,Common School and Indemnity,EDIT SPLIT 116676,,,,,,
WA,Department of Natural Resources,Timber,"258 Stat. 676-684, esp. 679-81 (1889)",16075,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"259 Stat. 676-684, esp. 679-81 (1889)",16088,3,Common School and Indemnity,EDIT CORRECTION MERGE PCL 116673,,,,,,
