state,managing_agency,rights_type,state_enabling_act,OBJECTID,TIMBER_TRU,trust_name,state_reported_notes,,,,,,
WA,Department of Natural Resources,Timber,"65 Stat. 676-684, esp. 679-81 (1889)",3113,13,Administrative Site,,75,Natural Resources Conservation Area,,,,
WA,Department of Natural Resources,Timber,"66 Stat. 676-684, esp. 679-81 (1889)",3144,3,Common School and Indemnity,,77,Water Pollution Control Division Trust Land,,,,
WA,Department of Natural Resources,Timber,"67 Stat. 676-684, esp. 679-81 (1889)",3175,5,University - Transferred,,87,Parkland Reserve Trust,,,,
WA,Department of Natural Resources,Timber,"68 Stat. 676-684, esp. 679-81 (1889)",3191,1,State Forest Transfer,,1,State Forest Transfer,,,,
WA,Department of Natural Resources,Timber,"69 Stat. 676-684, esp. 679-81 (1889)",3217,13,Administrative Site,,2,State Forest Purchase,,,,
WA,Department of Natural Resources,Timber,"70 Stat. 676-684, esp. 679-81 (1889)",3305,10,Scientific School,,48,Community Forest Trust,,,,
WA,Department of Natural Resources,Timber,"71 Stat. 676-684, esp. 679-81 (1889)",3391,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"72 Stat. 676-684, esp. 679-81 (1889)",3479,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"73 Stat. 676-684, esp. 679-81 (1889)",3522,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"74 Stat. 676-684, esp. 679-81 (1889)",3752,6,Charitable/Educational/Penal & Reformatory Instit.,,,,,,,
WA,Department of Natural Resources,Timber,"75 Stat. 676-684, esp. 679-81 (1889)",4214,6,Charitable/Educational/Penal & Reformatory Instit.,,,,,,,
WA,Department of Natural Resources,Timber,"76 Stat. 676-684, esp. 679-81 (1889)",4360,3,Common School and Indemnity,W-YK-35,,,,,,
WA,Department of Natural Resources,Timber,"77 Stat. 676-684, esp. 679-81 (1889)",4370,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"78 Stat. 676-684, esp. 679-81 (1889)",4383,13,Administrative Site,,,,,,,
WA,Department of Natural Resources,Timber,"79 Stat. 676-684, esp. 679-81 (1889)",4474,6,Charitable/Educational/Penal & Reformatory Instit.,,,,,,,
WA,Department of Natural Resources,Timber,"80 Stat. 676-684, esp. 679-81 (1889)",4544,5,University - Transferred,,,,,,,
WA,Department of Natural Resources,Timber,"81 Stat. 676-684, esp. 679-81 (1889)",4878,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"82 Stat. 676-684, esp. 679-81 (1889)",4916,3,Common School and Indemnity,,,,,,,
WA,Department of Natural Resources,Timber,"83 Stat. 676-684, esp. 679-81 (1889)",5305,3,Common School and Indemnity,,,,,,,
