state,managing_agency,rights_type,state_enabling_act,OBJECTID,MINERAL_TR,,state_reported_notes,,
WA,Department of Natural Resources,Subsurface,"234 Stat. 676-684, esp. 679-81 (1889)",16787,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"235 Stat. 676-684, esp. 679-81 (1889)",16840,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"236 Stat. 676-684, esp. 679-81 (1889)",16879,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"237 Stat. 676-684, esp. 679-81 (1889)",16880,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"238 Stat. 676-684, esp. 679-81 (1889)",16882,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"239 Stat. 676-684, esp. 679-81 (1889)",17309,8,Normal School,,,
WA,Department of Natural Resources,Subsurface,"240 Stat. 676-684, esp. 679-81 (1889)",17627,8,Normal School,,,
WA,Department of Natural Resources,Subsurface,"241 Stat. 676-684, esp. 679-81 (1889)",17995,1,State Forest Transfer,,,
WA,Department of Natural Resources,Subsurface,"242 Stat. 676-684, esp. 679-81 (1889)",5143,9,Escheat,,,
WA,Department of Natural Resources,Subsurface,"243 Stat. 676-684, esp. 679-81 (1889)",1763,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"244 Stat. 676-684, esp. 679-81 (1889)",8352,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"245 Stat. 676-684, esp. 679-81 (1889)",9786,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"246 Stat. 676-684, esp. 679-81 (1889)",5578,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"247 Stat. 676-684, esp. 679-81 (1889)",18437,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"248 Stat. 676-684, esp. 679-81 (1889)",13927,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"249 Stat. 676-684, esp. 679-81 (1889)",15338,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"250 Stat. 676-684, esp. 679-81 (1889)",15799,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"251 Stat. 676-684, esp. 679-81 (1889)",16088,0,Trust Status Not Applicable Or Unknown,EDIT CORRECTION MERGE PCL 116673,,
WA,Department of Natural Resources,Subsurface,"252 Stat. 676-684, esp. 679-81 (1889)",18017,3,Common School and Indemnity,,,
