state,managing_agency,rights_type,state_enabling_act,OBJECTID,MINERAL_TR,,state_reported_notes,,
WA,Department of Natural Resources,Subsurface,"65 Stat. 676-684, esp. 679-81 (1889)",2504,6,Charitable/Educational/Penal & Reformatory Instit.,,75,Natural Resources Conservation Area
WA,Department of Natural Resources,Subsurface,"66 Stat. 676-684, esp. 679-81 (1889)",2774,8,Normal School,,77,Water Pollution Control Division Trust Land
WA,Department of Natural Resources,Subsurface,"67 Stat. 676-684, esp. 679-81 (1889)",2777,6,Charitable/Educational/Penal & Reformatory Instit.,,87,Parkland Reserve Trust
WA,Department of Natural Resources,Subsurface,"68 Stat. 676-684, esp. 679-81 (1889)",2993,8,Normal School,,1,State Forest Transfer
WA,Department of Natural Resources,Subsurface,"69 Stat. 676-684, esp. 679-81 (1889)",3035,3,Common School and Indemnity,,2,State Forest Purchase
WA,Department of Natural Resources,Subsurface,"70 Stat. 676-684, esp. 679-81 (1889)",3113,13,Administrative Site,,48,Community Forest Trust
WA,Department of Natural Resources,Subsurface,"71 Stat. 676-684, esp. 679-81 (1889)",3144,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"72 Stat. 676-684, esp. 679-81 (1889)",3175,5,University - Transferred,,,
WA,Department of Natural Resources,Subsurface,"73 Stat. 676-684, esp. 679-81 (1889)",3191,1,State Forest Transfer,,,
WA,Department of Natural Resources,Subsurface,"74 Stat. 676-684, esp. 679-81 (1889)",3217,13,Administrative Site,,,
WA,Department of Natural Resources,Subsurface,"75 Stat. 676-684, esp. 679-81 (1889)",3291,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"76 Stat. 676-684, esp. 679-81 (1889)",3305,10,Scientific School,,,
WA,Department of Natural Resources,Subsurface,"77 Stat. 676-684, esp. 679-81 (1889)",3391,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"78 Stat. 676-684, esp. 679-81 (1889)",3479,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"79 Stat. 676-684, esp. 679-81 (1889)",3522,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"80 Stat. 676-684, esp. 679-81 (1889)",3752,6,Charitable/Educational/Penal & Reformatory Instit.,,,
WA,Department of Natural Resources,Subsurface,"81 Stat. 676-684, esp. 679-81 (1889)",4214,6,Charitable/Educational/Penal & Reformatory Instit.,,,
WA,Department of Natural Resources,Subsurface,"82 Stat. 676-684, esp. 679-81 (1889)",4257,8,Normal School,,,
WA,Department of Natural Resources,Subsurface,"83 Stat. 676-684, esp. 679-81 (1889)",4370,3,Common School and Indemnity,,,
WA,Department of Natural Resources,Subsurface,"84 Stat. 676-684, esp. 679-81 (1889)",4383,13,Administrative Site,,,
WA,Department of Natural Resources,Subsurface,"85 Stat. 676-684, esp. 679-81 (1889)",4474,6,Charitable/Educational/Penal & Reformatory Instit.,,,
