SU_ID,SU_SUID,SU_SUIDNUM,DNRREGION,COUNTYNAME,COUN,TOWN,RDIR,RANG,SECT,FORT,GLOT,GM_CH,GS_CH,FORTDESC,PLSMATCH,SU_ACRES,SU_PCTFORT,UINT_NUMER,UINT_DENOM,INT_TYPE,INT_STATUS,LANDTYPE,MEANSACQ,LANDTYPECO,MEANSACQCO,ADMINISTRA,ADMINIST_1,MGTPRGPRJ,MGTPRJNAME,MGTPRGCODE,MGTPRGNAME,ADMPRGPRJA,DNRTRNXNUM,T_CLOSINGD,SU_CTYPIN_,DATA_DOWNL,Shape_Leng,Shape_Area
557696.00000000000,"557696",557696.00000000000,Northeast,Itasca,"31","62","0","26","1","11","1","31062026010001","3106202601",NENE,forty/glot-level,16.20000000000,"42","1","1",Fee Surface,Finalized,TRUST FUND: SCHOOL,Exchange,"1",E,Forestry,"41",,,,,,EXA0000792,,67.001.1102,11-15-2023,1552.57873555000,150181.41926500000
557698.00000000000,"557698",557698.00000000000,Northeast,Itasca,"31","62","0","26","1","41","0","31062026014100","3106202601",NESE,forty/glot-level,24.00000000000,"60","1","1",Fee Surface,Finalized,TRUST FUND: SCHOOL,Exchange,"1",E,Forestry,"41",,,,,,EXA0000792,,67.001.4101,11-15-2023,1627.78185038000,165599.08538500001
137039.00000000000,"137039",137039.00000000000,Northeast,Koochiching,"36","64","0","23","27","23","5","36064023270005","3606402327",SWNW,forty/glot-level,26.78000000000,"100","1","1",Fee Surface,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,Forestry,"41",SFT00028,KOOCHICHING,SFT,STATE FOREST,,,,,11-15-2023,1329.25916744000,105594.52480400000
137040.00000000000,"137040",137040.00000000000,Northeast,Koochiching,"36","64","0","23","27","24","6","36064023270006","3606402327",SENW,forty/glot-level,27.13000000000,"100","1","1",Fee Surface,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,Forestry,"41",SFT00028,KOOCHICHING,SFT,STATE FOREST,,,,,11-15-2023,1334.48815188000,106644.34369500000
137054.00000000000,"137054",137054.00000000000,Northeast,Koochiching,"36","64","0","23","28","23","5","36064023280005","3606402328",SWNW,forty/glot-level,24.90000000000,"100","1","1",Fee Surface,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,Forestry,"41",SFT00028,KOOCHICHING,SFT,STATE FOREST,,,,,11-15-2023,1302.49535172000,100500.57613099999
137055.00000000000,"137055",137055.00000000000,Northeast,Koochiching,"36","64","0","23","28","24","6","36064023280006","3606402328",SENW,forty/glot-level,25.39000000000,"100","1","1",Fee Surface,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,Forestry,"41",SFT00028,KOOCHICHING,SFT,STATE FOREST,,,,,11-15-2023,1308.33091098000,101667.26660800001
137066.00000000000,"137066",137066.00000000000,Northeast,Koochiching,"36","64","0","23","29","23","5","36064023290005","3606402329",SWNW,forty/glot-level,22.00000000000,"100","1","1",Fee Surface,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,Forestry,"41",SFT00028,KOOCHICHING,SFT,STATE FOREST,,,,,11-15-2023,1258.18968154000,90378.43831100001
137078.00000000000,"137078",137078.00000000000,Northeast,Koochiching,"36","64","0","23","30","13","7","36064023300007","3606402330",SWNE,forty/glot-level,19.97000000000,"100","1","1",Fee Surface,Finalized,TRUST FUND: IND SCHOOL,"US: Congressional Grant, Patent, Deed, Etc.","2",U,Forestry,"41",SFT00028,KOOCHICHING,SFT,STATE FOREST,,,,,11-15-2023,1219.75967169000,82427.00377770000
137079.00000000000,"137079",137079.00000000000,Northeast,Koochiching,"36","64","0","23","30","14","8","36064023300008","3606402330",SENE,forty/glot-level,21.07000000000,"100","1","1",Fee Surface,Finalized,TRUST FUND: IND SCHOOL,"US: Congressional Grant, Patent, Deed, Etc.","2",U,Forestry,"41",SFT00028,KOOCHICHING,SFT,STATE FOREST,,,,,11-15-2023,1240.86921671000,86724.62169450002
137082.00000000000,"137082",137082.00000000000,Northeast,Koochiching,"36","64","0","23","30","23","5","36064023300005","3606402330",SWNW,forty/glot-level,19.09000000000,"100","1","1",Fee Surface,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,Forestry,"41",SFT00028,KOOCHICHING,SFT,STATE FOREST,,,,,11-15-2023,1242.24285371000,79568.27953200000
