OBJECTID,SU_ID,SU_SUID,SU_SUIDNUM,DNRREGION,COUNTYNAME,COUN,TOWN,RDIR,RANG,SECT,FORT,GLOT,GM_CH,GS_CH,FORTDESC,PLSMATCH,SU_ACRES,SU_PCTFORT,UINT_NUMER,UINT_DENOM,SU_NETACRE,INT_TYPE,INT_STATUS,LANDTYPE,MEANSACQ,LANDTYPECO,MEANSACQCO,OMITTYPES,PRINTACRES,MOWNSTATUS,MOWNSTAT_1,LANDCLASS,MRECTYPE,MRECTYPECO,SURFACEOFF,LAST_OFFER,LAST_PROCE,LAST_PRO_1,DATA_DOWNL,Shape_Leng,Shape_Area
"125283",137024.00000000000,"137024",137024.00000000000,Northeast,Koochiching,"36","64","0","23","26","14","9","36064023260009","3606402326",SENE,forty/glot-level,27.08000000000,"100","1","1",27.08000000000,Fee Minerals,Finalized,TRUST FUND: IND SCHOOL,"US: Congressional Grant, Patent, Deed, Etc.","2",U,,,Yes,Y,,,,,,,"0",01-15-2024,1351.69504057000,109189.05008000000
"125284",137025.00000000000,"137025",137025.00000000000,Northeast,Koochiching,"36","64","0","23","26","23","6","36064023260006","3606402326",SWNW,forty/glot-level,27.88000000000,"100","1","1",27.88000000000,Fee Minerals,Finalized,TRUST FUND: IND SCHOOL,"US: Congressional Grant, Patent, Deed, Etc.","2",U,,,Yes,Y,,,,,,,"0",01-15-2024,1359.60972317000,110800.43094700000
"125285",137026.00000000000,"137026",137026.00000000000,Northeast,Koochiching,"36","64","0","23","26","24","7","36064023260007","3606402326",SENW,forty/glot-level,27.70000000000,"100","1","1",27.70000000000,Fee Minerals,Finalized,TRUST FUND: IND SCHOOL,"US: Congressional Grant, Patent, Deed, Etc.","2",U,,,Yes,Y,,,,,,,"0",01-15-2024,1362.90822008000,113334.99389400000
"125294",137035.00000000000,"137035",137035.00000000000,Northeast,Koochiching,"36","64","0","23","27","13","7","36064023270007","3606402327",SWNE,forty/glot-level,27.49000000000,"100","1","1",27.49000000000,Fee Minerals,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,,,Yes,Y,,,,,,,"0",01-15-2024,1339.71594448000,107693.94926500000
"125295",137036.00000000000,"137036",137036.00000000000,Northeast,Koochiching,"36","64","0","23","27","14","8","36064023270008","3606402327",SENE,forty/glot-level,27.84000000000,"100","1","1",27.84000000000,Fee Minerals,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,,,Yes,Y,,,,,,,"0",01-15-2024,1344.94446293000,108743.59840100000
"125298",137039.00000000000,"137039",137039.00000000000,Northeast,Koochiching,"36","64","0","23","27","23","5","36064023270005","3606402327",SWNW,forty/glot-level,26.78000000000,"100","1","1",26.78000000000,Fee Minerals,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,,,Yes,Y,,,,,,,"0",01-15-2024,1329.25916744000,105594.52480400000
"125299",137040.00000000000,"137040",137040.00000000000,Northeast,Koochiching,"36","64","0","23","27","24","6","36064023270006","3606402327",SENW,forty/glot-level,27.13000000000,"100","1","1",27.13000000000,Fee Minerals,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,,,Yes,Y,,,,,,,"0",01-15-2024,1334.48815188000,106644.34369500000
"125313",137054.00000000000,"137054",137054.00000000000,Northeast,Koochiching,"36","64","0","23","28","23","5","36064023280005","3606402328",SWNW,forty/glot-level,24.90000000000,"100","1","1",24.90000000000,Fee Minerals,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,,,Yes,Y,,,,,,,"0",01-15-2024,1302.49535172000,100500.57613099999
"125314",137055.00000000000,"137055",137055.00000000000,Northeast,Koochiching,"36","64","0","23","28","24","6","36064023280006","3606402328",SENW,forty/glot-level,25.39000000000,"100","1","1",25.39000000000,Fee Minerals,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,,,Yes,Y,,,,,,,"0",01-15-2024,1308.33091098000,101667.26660800001
"125325",137066.00000000000,"137066",137066.00000000000,Northeast,Koochiching,"36","64","0","23","29","23","5","36064023290005","3606402329",SWNW,forty/glot-level,22.00000000000,"100","1","1",22.00000000000,Fee Minerals,Finalized,TRUST FUND: SWAMP,"US: Congressional Grant, Patent, Deed, Etc.","3",U,,,Yes,Y,,,,,,,"0",01-15-2024,1258.18968154000,90378.43831100001
"125337",137078.00000000000,"137078",137078.00000000000,Northeast,Koochiching,"36","64","0","23","30","13","7","36064023300007","3606402330",SWNE,forty/glot-level,19.97000000000,"100","1","1",19.97000000000,Fee Minerals,Finalized,TRUST FUND: IND SCHOOL,"US: Congressional Grant, Patent, Deed, Etc.","2",U,,,Yes,Y,,,,,,,"0",01-15-2024,1219.75967169000,82427.00377770000
