objectid,quad,township,range,section_,county_cd,county_abr,county_nam,bene_cd,bene_abrev,parcel_lay,parcel_seq,legal_desc,acres,lin,block_id,globalid,Shape__Are,Shape__Len
416526,"4",5.000000000000000,21.000000000000000,"35","24",UINT,Uintah,"10",SCH,"4","2","W2, SE4",480.000000000000000,4T5.0R21.0S35C24_B10PT0L4_SQ2,Asphalt Ridge Block,{06EDDEF0-B83C-47E4-875B-CCA8BD8B67FE},1933908.123050351860002,6425.436750510400088
416528,"4",5.000000000000000,21.000000000000000,"36","24",UINT,Uintah,"10",SCH,"4","1","LOTS 1(19.27), 2(40.00), 3(40.00), 4(20.17), 5(21.07), 6(40.00), 7(40.00), 8(21.97), W2E2, W2 [ALL]",722.480000000000018,4T5.0R21.0S36C24_B10PT0L4_SQ1,Asphalt Ridge Block,{2D4D1B8C-AE7F-4E2B-8F60-05AE456D5AEC},2916120.141099906060845,6843.203404588364720
416547,"4",5.000000000000000,22.000000000000000,"31","24",UINT,Uintah,"10",SCH,"4","2",LOT 4 [SW4SW4],39.969999999999999,4T5.0R22.0S31C24_B10PT0L4_SQ2,Asphalt Ridge Block,{8F2366E1-FB2F-4084-8F6A-C6E3F96B2CFD},161316.121949828171637,1606.704459196844255
416549,"4",5.000000000000000,22.000000000000000,"32","24",UINT,Uintah,"10",SCH,"4","1","N2, SE4",480.000000000000000,4T5.0R22.0S32C24_B10PT0L4_SQ1,Asphalt Ridge Block,{2FB7B5E1-FF52-4E5F-817C-ACCBCD6ADB4E},1952878.046600844012573,6455.646448575083923
416550,"4",5.000000000000000,22.000000000000000,"33","24",UINT,Uintah,"10",SCH,"4","1","E2, NW4NW4, S2NW4, SW4",600.000000000000000,4T5.0R22.0S33C24_B10PT0L4_SQ1,Asphalt Ridge Block,{887A6723-F984-41C0-813E-1735A0F43062},2464460.985399687197059,7296.478446950727630
416551,"4",5.000000000000000,22.000000000000000,"34","24",UINT,Uintah,"10",SCH,"4","1",ALL,640.000000000000000,4T5.0R22.0S34C24_B10PT0L4_SQ1,Asphalt Ridge Block,{70FFBE65-24A9-484A-8FF9-52B7CAA8A3AF},2666341.964250221848488,6524.946071446400310
416552,"4",5.000000000000000,22.000000000000000,"35","24",UINT,Uintah,"10",SCH,"4","1","S2NE4, NW4, S2",560.000000000000000,4T5.0R22.0S35C24_B10PT0L4_SQ1,Asphalt Ridge Block,{DD671967-6B79-4425-809D-9BC77AB81FFE},2310440.681149566546082,6499.953389084927039
416568,"4",5.000000000000000,23.000000000000000,"36","24",UINT,Uintah,"10",SCH,"4","1",ALL,640.000000000000000,4T5.0R23.0S36C24_B10PT0L4_SQ1,Undefined,{3D42B99F-A80E-42DD-B5E8-A5AEC1BDD1D2},2644178.470399150159210,6502.571905547197275
416599,"4",6.000000000000000,19.000000000000000,"2","24",UINT,Uintah,"10",SCH,"4","1","LOTS 1(7.54), 2(7.50), 3(7.46), 4(7.42), S2N2, S2 [ALL] [ALSO KNOWN AS TRACT 37]",509.920000000000016,4T6.0R19.0S2C24_B10PT0L4_SQ1,Undefined,{4469D5E3-E235-4152-991E-486CA5F93BF3},2064087.040550330420956,5784.602197464277197
416600,"4",6.000000000000000,19.000000000000000,"10","24",UINT,Uintah,"12",UNIV,"4","1","PART OF TRACT 44, LESS ROW [AKA PART OF S2SW4, PART OF SE4]",125.629999999999995,4T6.0R19.0S10C24_B12PT0L4_SQ1,Undefined,{544AEFC5-2199-41A2-B9DA-FB4355EEB0B1},500380.918800102197565,5834.401622322388903
416601,"4",6.000000000000000,19.000000000000000,"11","24",UINT,Uintah,"12",UNIV,"4","1","PART OF TRACT 44, LESS ROW [AKA PART OF SW4NW4, PART OF W2SW4]",76.799999999999997,4T6.0R19.0S11C24_B12PT0L4_SQ1,Undefined,{E6BFF15F-9CF3-4FB1-9F22-D8EEF6BBD3D7},338234.553150521649513,3743.504530308865014
416602,"4",6.000000000000000,19.000000000000000,"14","24",UINT,Uintah,"12",UNIV,"4","1",PART OF TRACT 44 [AKA PART OF NW4NW4NW4],6.170000000000000,4T6.0R19.0S14C24_B12PT0L4_SQ1,Undefined,{5076C0C0-B73B-47E4-885D-84374C0357B9},14014.114049974245063,602.576442242241910
416603,"4",6.000000000000000,19.000000000000000,"15","24",UINT,Uintah,"12",UNIV,"4","1","PART OF TRACT 44, PART OF TRACT 47, LESS ROW [AKA PART OF N2N2, PART OF W2SW4NW4, PART OF W2W2SW4]",109.510000000000005,4T6.0R19.0S15C24_B12PT0L4_SQ1,Undefined,{DEAD9D7E-239B-4989-A580-32DA6B990134},435746.356550966331270,6957.314411536652187
