objectid,quad,township,range,section_,county_cd,county_abr,county_nam,bene_cd,bene_abrev,parcel_lay,parcel_seq,legal_desc,acres,lin,admin,quad_lbl,merid,trs_label,globalid,gis_acres,block_id,Shape__Are,Shape__Len
291626,"4",12.000000000000000,22.000000000000000,"16","24",UINT,Uintah,"10",SCH,"1","1",ALL,640.000000000000000,4T12.0R22.0S16C24_B10PT0L1_SQ1,,,,,{B4AA78EF-68A0-445A-9B07-02F2BDFB6736},640.011395369999946,Undefined,2590034.225749033037573,6437.470832519419673
291628,"4",12.000000000000000,25.000000000000000,"18","24",UINT,Uintah,"10",SCH,"1","2",N2NW4,80.000000000000000,4T12.0R25.0S18C24_B10PT0L1_SQ2,,,,,{387767CA-AD29-41E2-9C52-E03CFA134927},79.339274309999993,Holliday Block,321074.651799845334608,2402.919496069808247
291634,"4",9.000000000000000,23.000000000000000,"13","24",UINT,Uintah,"10",SCH,"1","1",NE4NW4,40.000000000000000,4T9.0R23.0S13C24_B10PT0L1_SQ1,,,,,{D3F58270-FAC3-4D8B-94D4-8CECCB8046F1},39.867787720000003,Undefined,161339.212799788190750,1606.695222077967173
291643,"4",6.000000000000000,22.000000000000000,"3","24",UINT,Uintah,"10",SCH,"1","3",LOT 3 [S2NE4NW4],7.750000000000000,4T6.0R22.0S3C24_B10PT0L1_SQ3,,,,,{732B118A-C80B-4B6F-BF96-AB60B65189EF},7.532343370000000,Asphalt Ridge Block,30482.312149820972991,960.546485643238611
291655,"7",1.000000000000000,9.000000000000000,"19","26",WSTH,Wasatch,"10",SCH,"1","1","LOTS 1-4, E2, E2W2 (ALL)",628.480000000000018,7T1.0R9.0S19C26_B10PT0L1_SQ1,,,,,{4A222048-3030-4026-A3F2-E3A777645AA4},630.923009230000048,Tabby Mountain Block,2553254.831950424704701,6391.972768175632154
291695,"7",1.000000000000000,8.000000000000000,"17","7",DUCH,Duchesne,"10",SCH,"1","1",ALL,640.000000000000000,7T1.0R8.0S17C7_B10PT0L1_SQ1,,,,,{70E03EDE-68BF-43A2-AEB1-C5EF166395D9},645.233330880000040,Tabby Mountain Block,2611166.649000096134841,6464.189387550015454
291702,"4",11.000000000000000,23.000000000000000,"2","24",UINT,Uintah,"10",SCH,"1","2","LOTS 1(18.11), 2(18.17), 3(18.23), 4(18.29), 5(40.00), 6(40.00), 7(40.00), 8(40.00), 9(38.60), 10(32.81), SW4NE4, S2NW4, SW4, W2SE4, SE4SE4 [ALL]",704.210000000000036,4T11.0R23.0S2C24_B10PT0L1_SQ2,,,,,{FF1B6DB5-4D29-4496-8F60-47F1D62A5451},706.566478820000043,Undefined,2859373.092650107573718,7569.588902752698232
291722,"7",1.000000000000000,10.000000000000000,"11","26",WSTH,Wasatch,"10",SCH,"1","1","S2NW4, S2",400.000000000000000,7T1.0R10.0S11C26_B10PT0L1_SQ1,,,,,{2295FF06-32EA-4E40-B989-FBD905C7209F},397.375559210000006,Tabby Mountain Block,1608121.833900335710496,5612.456351881422052
291737,"4",7.000000000000000,23.000000000000000,"36","24",UINT,Uintah,"10",SCH,"1","1",ALL,640.000000000000000,4T7.0R23.0S36C24_B10PT0L1_SQ1,,,,,{39F90F3C-DEDC-43E0-913D-397215C355AB},639.010138969999957,Undefined,2585982.284851364791393,6432.390880328699495
291745,"4",9.000000000000000,23.000000000000000,"32","24",UINT,Uintah,"10",SCH,"1","1",ALL,640.000000000000000,4T9.0R23.0S32C24_B10PT0L1_SQ1,,,,,{78AD6E7A-9F2B-4292-A1F1-A97638196D70},642.545541550000053,Undefined,2600289.551498960237950,6447.037645285315193
291752,"7",1.000000000000000,10.000000000000000,"22","26",WSTH,Wasatch,"10",SCH,"1","1","N2, SE4",480.000000000000000,7T1.0R10.0S22C26_B10PT0L1_SQ1,,,,,{61B7E94C-B424-4DDD-A6BF-D31CE85B5C7D},472.848991319999982,Tabby Mountain Block,1913551.977349909953773,6389.460180839108943
291776,"4",16.000000000000000,21.000000000000000,"4","10",GRND,Grand,"10",SCH,"1","1",E2,321.519999999999982,4T16.0R21.0S4C10_B10PT0L1_SQ1,,,,,{5443B374-AF55-4B5C-A513-F4E3D80D9C1F},319.978672189999997,PR Springs Block,1294907.744599858298898,4827.229944740951396
291779,"4",15.500000000000000,22.000000000000000,"31","10",GRND,Grand,"10",SCH,"1","2",LOT 1 (SE4NE4),34.259999999999998,4T15.5R22.0S31C10_B10PT0L1_SQ2,,,,,{C82C076F-E112-44B4-8DF7-D6EA2556C366},34.093722190000001,PR Springs Block,137972.398599937849212,1490.226905412175938
