state,managing_agency,rights_type,state_enabling_act,activity,objectid,township,range,section,county,bene_cd,bene_abrev,legal_desc,acres
UT,Trust Lands Administration,Subsurface,127 Stat. 107-110 (1894),Oil and gas,406526,7,24,2,Uintah,10,SCH,"LOTS 1(20.88), 2(21.02), 3(21.18), 4(21.32), 5(40.00), 6(40.00), 7(40.00), 8(40.00), 9(40.00), 10(40.00), 11(40.00), 12(40.00), S2N2, S2 [ALL]",884.399999999999977
UT,Trust Lands Administration,Subsurface,128 Stat. 107-110 (1894),Oil and gas,406527,7,24,16,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Subsurface,129 Stat. 107-110 (1894),Oil and gas,406528,7,24,32,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Subsurface,130 Stat. 107-110 (1894),Oil and gas,406529,7,24,36,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Subsurface,131 Stat. 107-110 (1894),Oil and gas,406530,7,25,2,Uintah,10,SCH,"LOTS 1(20.83), 2(20.59), 3(20.40), 4(20.20), 5(40.00), 6(40.00), 7(40.00), 8(40.00), 9(40.00), 10(40.00), 11(40.00), 12(40.00), S2N2, S2 [ALL]",882.019999999999982
UT,Trust Lands Administration,Subsurface,132 Stat. 107-110 (1894),Oil and gas,406531,7,25,16,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Subsurface,133 Stat. 107-110 (1894),Oil and gas,406532,7,25,25,Uintah,10,SCH,"LOT 4(24.32), NW4SW4 [LOT AKA SE4SW4]",64.319999999999993
UT,Trust Lands Administration,Subsurface,134 Stat. 107-110 (1894),Oil and gas,406533,7,25,32,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Subsurface,135 Stat. 107-110 (1894),Oil and gas,406534,7,25,36,Uintah,10,SCH,"LOTS 1(24.34), 2(24.40), 3(24.47), 4(24.55), W2W2 [ALL]",257.759999999999991
UT,Trust Lands Administration,Subsurface,136 Stat. 107-110 (1894),Oil and gas,406549,8,16,36,Duchesne,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Subsurface,137 Stat. 107-110 (1894),Oil and gas,406550,8,17,16,Duchesne,10,SCH,"LOTS 1(21.04), 2(20.76), 3(20.48), 4(20.20) [ALL]",82.480000000000004
UT,Trust Lands Administration,Subsurface,138 Stat. 107-110 (1894),Oil and gas,406551,8,17,32,Duchesne,10,SCH,"LOTS 1(22.38), 2(5.96), 3(32.71), 4(5.25), 5(29.63), 6(34.71), 7(3.29), 8(32.41), 9(37.26), 10(5.22), 11(29.85), W2SW4, SE4SW4, NE4SE4 [AKA PART OF W2NW4, PART OF SE4NW4, PART OF NE4SW4, PART OF W2SE4, PART OF SE4SE4]",398.670000000000016
UT,Trust Lands Administration,Subsurface,139 Stat. 107-110 (1894),Oil and gas,406552,8,17,32,Duchesne,10,SCH,"NE4, NE4NW4",200.000000000000000
UT,Trust Lands Administration,Subsurface,140 Stat. 107-110 (1894),Oil and gas,406553,8,17,36,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Subsurface,141 Stat. 107-110 (1894),Oil and gas,406554,8,18,32,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Subsurface,142 Stat. 107-110 (1894),Oil and gas,406555,8,18,36,Uintah,10,SCH,"LOT 1(30.32), NW4NE4, S2NE4, NW4, S2 [ALL]",630.320000000000050
UT,Trust Lands Administration,Subsurface,143 Stat. 107-110 (1894),Oil and gas,406556,8,19,32,Uintah,10,SCH,LOT 1 [PART OF SW4SW4],26.120000000000001
UT,Trust Lands Administration,Subsurface,144 Stat. 107-110 (1894),Oil and gas,406557,8,20,2,Uintah,10,SCH,"LOTS 1(40.27), 2(40.47), 3(40.68), 4(40.88), 5(36.76), 6(20.00), 7(0.80), S2N2, SW4, W2SE4 [ALL]",619.860000000000014
UT,Trust Lands Administration,Subsurface,145 Stat. 107-110 (1894),Oil and gas,406558,8,20,16,Uintah,10,SCH,"LOTS 3(38.00), 4(28.50), 5(10.50), E2, NW4NW4, E2W2 [ALL]",597.000000000000000
UT,Trust Lands Administration,Subsurface,146 Stat. 107-110 (1894),Oil and gas,406559,8,20,21,Uintah,3,USH,"LOTS 3(31.00), 4(10.08), 5(13.54) [AKA PART OF SE4NE4, PART OF N2NW4SE4, PART OF NW4NE4SE4]",54.619999999999997
UT,Trust Lands Administration,Subsurface,147 Stat. 107-110 (1894),Oil and gas,406560,8,20,32,Uintah,10,SCH,"LOTS 1(2.80), 2(6.40), 3(0.52) [ALL]",9.720000000000001
UT,Trust Lands Administration,Subsurface,148 Stat. 107-110 (1894),Oil and gas,406561,8,20,36,Uintah,10,SCH,NW4,160.000000000000000
UT,Trust Lands Administration,Subsurface,149 Stat. 107-110 (1894),Oil and gas,406562,8,21,2,Uintah,10,SCH,"LOTS 1(40.58), 2(40.52), 3(40.48), 4(40.42), S2N2, S2 [ALL]",642.000000000000000
UT,Trust Lands Administration,Subsurface,150 Stat. 107-110 (1894),Oil and gas,406563,8,21,5,Uintah,10,SCH,LOT 3 [AKA PART OF NW4NW4],15.720000000000001
UT,Trust Lands Administration,Subsurface,151 Stat. 107-110 (1894),Oil and gas,406564,8,21,6,Uintah,10,SCH,"LOTS 1(31.70), 2(23.00), 3(23.50), 4(13.00), 5(6.50) [AKA PART OF N2N2]",97.700000000000003
UT,Trust Lands Administration,Subsurface,152 Stat. 107-110 (1894),Oil and gas,406565,8,21,13,Uintah,3,USH,E2SE4,80.000000000000000
UT,Trust Lands Administration,Subsurface,153 Stat. 107-110 (1894),Oil and gas,406566,8,21,16,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Subsurface,154 Stat. 107-110 (1894),Oil and gas,406567,8,21,32,Uintah,10,SCH,"N2, N2S2",480.000000000000000
UT,Trust Lands Administration,Subsurface,155 Stat. 107-110 (1894),Oil and gas,406568,8,21,36,Uintah,10,SCH,"N2, N2SW4",400.000000000000000
UT,Trust Lands Administration,Subsurface,156 Stat. 107-110 (1894),Oil and gas,406569,8,22,2,Uintah,10,SCH,"LOTS 1(20.53), 2(20.54), 3(20.56), 4(20.57), 5(40.00), 6(40.00), 7(40.00), 8(40.00), S2N2, S2 [ALL]",722.200000000000045
UT,Trust Lands Administration,Subsurface,157 Stat. 107-110 (1894),Oil and gas,406570,8,22,16,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Subsurface,158 Stat. 107-110 (1894),Oil and gas,406571,8,22,31,Uintah,9,RES,"LOT 3(39.75), NE4SW4 [LOT AKA NW4SW4]",79.750000000000000
UT,Trust Lands Administration,Subsurface,159 Stat. 107-110 (1894),Oil and gas,406572,8,22,31,Uintah,10,SCH,SE4,160.000000000000000
UT,Trust Lands Administration,Subsurface,160 Stat. 107-110 (1894),Oil and gas,406573,8,22,32,Uintah,10,SCH,"N2, SW4, N2SE4, SW4SE4",600.000000000000000
UT,Trust Lands Administration,Subsurface,161 Stat. 107-110 (1894),Oil and gas,406574,8,23,2,Uintah,10,SCH,"LOTS 1(39.46), 2(39.52), 3(39.56), 4(39.62), S2N2, S2 [ALL]",638.159999999999968
UT,Trust Lands Administration,Subsurface,162 Stat. 107-110 (1894),Oil and gas,406575,8,23,16,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Subsurface,163 Stat. 107-110 (1894),Oil and gas,406576,8,24,2,Uintah,10,SCH,"LOTS 1(39.99), 2(39.97), 3(39.95), 4(39.93), S2N2, S2 [ALL]",639.840000000000032
