objectid,state,managing_agency,rights_type,state_enabling_act,comboown,activity,aliquot,acres,township,township,townd,range,section,county,benemin,gis_acres,trust_name
1442726,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals","LOTS 1(40.55), 2(40.84), S2NE4 [LOTS AKA N2NE4]",161.39,3S,3,S,2W,5,Duchesne,SCH,162.172,Public Schools
1442736,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals","LOTS 1(29.16), 2(29.20), W2NW4 [LOTS AKA E2NW4]",138.36,9S,9,S,25E,13,Uintah,SCH,141.173,Public Schools
1442744,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",SE4SE4,40,17S,17,S,17E,16,Grand,SCH,39.91,Public Schools
1442755,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals","LOTS 1(20.53), 2(20.54), 3(20.56), 4(20.57), 5(40.00), 6(40.00), 7(40.00), 8(40.00), S2N2, S2 [ALL]",722.2,8S,8,S,22E,2,Uintah,SCH,721.686,Public Schools
1442768,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",E2NE4,80,2S,2,S,1W,10,Uintah,SCH,79.925,Public Schools
1442773,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",ALL,640,12S,12,S,24E,25,Uintah,SCH,639.359,Public Schools
1442790,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",ALL,640,14S,14,S,20E,32,Uintah,SCH,638.616,Public Schools
1442833,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",PART OF NW4 [METES & BOUNDS],116.7,2S,2,S,5W,28,Duchesne,SCH,115.88,Public Schools
1442844,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals","PART OF LOT 3(6.93, LOT 4(40.03), SW4NW4, PART OF SE4NW4 (5.49), PART OF E2SW4 (11.54), W2SW4 [LOTS AKA PART OF NE4NW4, NW4NW4]",183.99,9S,9,S,17E,2,Duchesne,SCH,196.948,Public Schools
1442845,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals","LOTS 1(39.72), 2(39.62), 3(39.54), 4(39.44), S2N2, S2 [ALL]",638.32,17S,17,S,19E,2,Grand,SCH,631.813,Public Schools
1442867,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",ALL,640,7S,7,S,25E,32,Uintah,SCH,640.173,Public Schools
1442891,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",ALL,640,7S,7,S,21E,16,Uintah,SCH,651.3,Public Schools
1442907,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals","SW4NE4, W2, NW4SE4",400,6S,6,S,22E,11,Uintah,SCH,407.43,Public Schools
1442908,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",S2S2,160,12S,12,S,24E,12,Uintah,SCH,159.292,Public Schools
1442942,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",ALL,640,10S,10,S,17E,36,Uintah,SCH,640.395,Public Schools
1442955,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",ALL,640,10S,10,S,20E,36,Uintah,SCH,654.602,Public Schools
1443010,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals","LOTS 1(39.97), 2(39.99), 3(40.01), 4(40.03), S2N2, S2 [ALL]",640,10S,10,S,18E,2,Uintah,SCH,641.587,Public Schools
1443029,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",ALL,640,15S,15,S,23E,25,Uintah,X111,641.474,Recreation Exchange
1443048,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",ALL,640,10S,10,S,21E,13,Uintah,SCH,658.057,Public Schools
1443060,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",SE4NE4,40,18S,18,S,19E,22,Grand,SCH,39.679,Public Schools
1443068,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",ALL,640,12S,12,S,20E,16,Uintah,SCH,634.446,Public Schools
1443076,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals","N2, SW4, N2SE4, SW4SE4",600,15S,15,S,23E,36,Uintah,SCH,600.905,Public Schools
1443085,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals","S2S2SW4SW4, NE4SE4SW4SW4, SW4SE4SW4, W2SE4SE4SW4",27.5,13S,13,S,23E,16,Uintah,SCH,27.469,Public Schools
1443100,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals","S2N2, S2",480,9S,9,S,25E,9,Uintah,SCH,482.539,Public Schools
1443105,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",SE4SE4,40,1S,1,S,4W,18,Duchesne,IB,39.725,Utah Schools for the Blind
1443149,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals","N2SE4, NE4SW4",120,2S,2,S,1W,7,Duchesne,NS,118.584,Teaching Colleges at Public Universities
1443189,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals","LOTS 5(6.27), 6(5.40), 7(32.00), 8(36.90), 9(0.08) [AKA PART OF NW4SE4NE4, PART OF N2SW4, PART OF NW4NW4SE4, PART OF SE4SE4SE4SE4]",80.65,7S,7,S,21E,31,Uintah,SCH,85.961,Public Schools
1443190,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",PART OF S2SE4 [METES & BOUNDS],53.33,2S,2,S,2W,13,Duchesne,USU,56.008,Utah State University
1443200,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals","LOTS 1(36.23), 2(36.36), 3(36.50), 5(29.91), N2NE4NE4, N2SW4NE4NE4, W2NE4, E2NW4, NE4SW4, N2SE4SW4, SW4SE4SW4, NW4SE4SE4SW4, SW4NW4NE4SE4, W2SW4NE4SE4, N2NW4SE4, NW4SW4NW4SE4, W2NW4SE4SE4, SW4SE4SE4 [LOTS AKA W2NW4, NW4SW4, PART OF SW4SW4]",441.5,13S,13,S,23E,18,Uintah,X111,441.561,Recreation Exchange
1443227,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",ALL,640,15S,15,S,23E,12,Uintah,X111,642.776,Recreation Exchange
1443229,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",ALL,640,11S,11,S,22E,36,Uintah,SCH,639.571,Public Schools
1443230,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",SE4SE4,40,17S,17,S,19E,31,Grand,SCH,41.806,Public Schools
1443246,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",SW4,160,9S,9,S,25E,19,Uintah,SCH,160.302,Public Schools
1443256,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals","N2, SE4",480,5S,5,S,22E,32,Uintah,SCH,482.751,Public Schools
1443304,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",PART OF N2NE4 [METES & BOUNDS],76,1S,1,S,2W,27,Duchesne,SCH,76.19,Public Schools
1443306,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",ALL,640,13S,13,S,23E,23,Uintah,X111,639.601,Recreation Exchange
1443317,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",SW4NW4,40,1S,1,S,4W,3,Duchesne,SCH,40.79,Public Schools
1443331,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",S2NW4,80,3S,3,S,9W,25,Duchesne,SCH,80.79,Public Schools
1443337,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",NW4SW4,40,14S,14,S,24E,5,Uintah,SCH,39.893,Public Schools
1443341,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals","LOT 2(33.04), SE4 [LOT AKA SW4NE4]",193.04,15.5S,15.5,S,21E,33,Grand,SCH,194.382,Public Schools
1443343,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals","S2NW4, NW4SW4",120,18S,18,S,19E,23,Grand,SCH,119.588,Public Schools
1443373,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",SE4SE4,40,16S,16,S,21E,5,Grand,SCH,39.821,Public Schools
1443379,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals","LOT 2(40.56), S2NE4 [LOT AKA NW4NE4]",120.56,3S,3,S,1W,28,Duchesne,USH,120.013,Utah State Hospital
1443399,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",ALL,640,15S,15,S,23E,21,Uintah,MULT,640.197,Multi-Beneficiary
1443419,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals","LOTS 1(37.35), 2(37.48), 3(37.62), 4(37.75), W2NE4, E2W2, SE4 [LOTS AKA W2W2]",550.2,14S,14,S,21E,7,Uintah,X111,550.757,Recreation Exchange
1443425,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals","LOTS 1(16.14), 2(32.74), NW4SW4 [LOTS AKA PART OF W2NW4]",88.88,3S,3,S,2E,25,Uintah,SM,88.566,College of Mines and Earth Sciences
1443435,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",ALL,640,9S,9,S,22E,36,Uintah,SCH,639.435,Public Schools
1443462,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals","LOTS 1(39.24), 2(39.08), 3(38.92), 4(38.76), S2N2, S2 [ALL]",636,14S,14,S,23E,2,Uintah,SCH,631.795,Public Schools
1443465,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",E2W2,160,1S,1,S,5W,23,Duchesne,UNIV,161.475,University of Utah
1443488,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",SW4NE4,40,18S,18,S,19E,25,Grand,SCH,39.591,Public Schools
1443501,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",ALL,640,9S,9,S,19E,16,Uintah,SCH,638.922,Public Schools
1443520,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",ALL,640,7S,7,S,22E,16,Uintah,SCH,642.266,Public Schools
1443538,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",LOT 4 [PART OF SW4NE4],40.55,6S,6,S,21E,29,Uintah,RES,39.208,Reservoirs
1443543,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals","LOTS 1(42.52), 2(42.72), 3(42.92), 4(43.12), S2N2, SE4 [LOTS AKA N2N2]",491.28,10S,10,S,21E,1,Uintah,SCH,509.835,Public Schools
1443574,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",SW4SE4,40,2S,2,S,1W,2,Uintah,IB,39.897,Utah Schools for the Blind
1443579,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals","LOTS 2(7.89), 3(7.79), 4(7.69), SW4NE4, S2NW4 [LOTS AKA NW4NE4, N2NW4]",143.37,6S,6,S,22E,4,Uintah,SCH,143.708,Public Schools
1443589,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals","S2SW4NE4SW4, S2SE4NW4SW4, SW4SW4, W2SE4SW4",70,13S,13,S,23E,11,Uintah,X111,71.175,Recreation Exchange
1443590,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals","LOTS 1(40.57), 2(40.54), 3(40.52), 4(40.49), S2N2, S2 [ALL]",642.12,10S,10,S,25E,2,Uintah,SCH,637.67,Public Schools
1443633,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",SE4,160,13S,13,S,22E,26,Uintah,SCH,160.035,Public Schools
1443642,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals","LOTS 1(44.59), 2(22.88), 3(9.65), 4(8.64) [ALL]",85.76,10S,10,S,13E,32,Duchesne,SCH,86.642,Public Schools
1443644,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals","LOTS 1(40.23), 2(40.28), 3(40.34), 4(40.39), S2NW4, S2 [AKA N2N2]",561.24,17S,17,S,17E,2,Grand,SCH,560.529,Public Schools
1443653,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",ALL,640,10S,10,S,22E,32,Uintah,SCH,640.965,Public Schools
1443660,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals","LOTS 1(16.71), 2(17.01), 3(17.31), 4(17.61), 5(40.00), 6(40.00), 7(40.00), 8(40.00), 9(40.00), 10(40.00), 11(40.00), 12(40.00), S2N2, S2 [ALL]",868.64,19S,19,S,19E,2,Grand,SCH,860.461,Public Schools
1443661,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals","LOTS 1(37.33), 2(37.51), 5(8.82), 6(1.93), S2NE4, SE4NE4NW4, N2NE4SE4NW4, SE4NE4SE4NW4, E2SE4SE4NW4, E2NE4NE4SW4, N2N2NE4SE4, N2NE4NW4SE4, W2NW4SE4, W2SW4SE4 [LOTS AKA N2NE4, NE4NE4NW4, NE4NW4NE4NW4]",248.09,13S,13,S,23E,2,Uintah,SCH,247.516,Public Schools
1443685,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",NE4NE4,40,1S,1,S,5W,25,Duchesne,SCH,39.916,Public Schools
1443712,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals","LOT 7(29.54), SE4NW4, W2SE4 [LOT AKA PART OF NE4NW4]",149.54,15S,15,S,19E,1,Uintah,SCH,148.22,Public Schools
1443717,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals","LOTS 1(27.92), 2(35.99), 3(32.23), 4(40.32), 5(26.93), NE4SE4, S2SE4 [ALL]",283.39,10S,10,S,15E,16,Duchesne,SCH,281.017,Public Schools
1443730,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals","LOTS 1(37.97), 5(22.35), 8(6.37), 9(26.49), 11(14.84), NE4NW4 [LOTS AKA PART OF NE4NE4, PART OF NW4NE4, NW4NW4, PART OF S2NW4]",148.02,14S,14,S,21E,19,Uintah,X111,144.317,Recreation Exchange
1443736,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals","LOTS 1(40.58), 2(40.67), 3(40.77), 4(40.86), S2N2, S2 [ALL]",642.88,7S,7,S,20E,2,Uintah,SCH,651.771,Public Schools
1443749,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",ALL,640,10S,10,S,17E,16,Duchesne,SCH,638.141,Public Schools
1443782,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",ALL,640,8S,8,S,22E,16,Uintah,SCH,624.469,Public Schools
1443783,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals","LOTS 1(6.61), 2(6.71), SE4NE4, SE4 [LOTS AKA N2NE4]",213.32,6S,6,S,20E,2,Uintah,SCH,221.788,Public Schools
1443856,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",E2NE4,80,1S,1,S,5W,12,Duchesne,SCH,80.479,Public Schools
1443858,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals","LOTS 1(39.39), 2(39.51), 3(30.00), 4(29.17), 5(40.98), 6(17.59), E2, N2NW4 [ALL, LESS ALLOTMENT 445]",596.64,14S,14,S,25E,32,Uintah,SCH,598.849,Public Schools
1443864,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",SE4SE4,40,13S,13,S,23E,31,Uintah,X111,39.995,Recreation Exchange
1443869,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",ALL,640,5S,5,S,19E,36,Uintah,SCH,641.971,Public Schools
1443880,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals","PART OF TRACT 44, PART OF TRACT 47, LESS ROW [AKA PART OF N2N2, PART OF W2SW4NW4, PART OF W2W2SW4]",109.51,6S,6,S,19E,15,Uintah,UNIV,107.732,University of Utah
1443904,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",W2,320,10S,10,S,22E,20,Uintah,SCH,321.963,Public Schools
1443918,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",ALL,640,7S,7,S,24E,16,Uintah,SCH,639.197,Public Schools
1443932,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",ALL,640,15S,15,S,21E,36,Uintah,SCH,639.149,Public Schools
1443977,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals","W2W2, SE4SW4",200,12S,12,S,23E,32,Uintah,SCH,200.061,Public Schools
1443996,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals","LOTS 3(50.47), 4(50.47), 5(14.52), 6(50.70), 7(49.99), 8(49.27), NE4SW4, N2SE4 [LOTS AKA W2SW4, SE4SW4, S2SE4]",385.42,9S,9,S,21E,31,Uintah,SCH,395.586,Public Schools
1444027,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",ALL,640,7S,7,S,24E,36,Uintah,SCH,639.195,Public Schools
1444048,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals","LOTS 1(40.65), 2(40.57), 3(40.51), 4(40.43), S2N2, S2 [ALL]",642.16,15S,15,S,24E,2,Uintah,SCH,642.481,Public Schools
1444054,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals","N2NE4, NW4NW4",120,6S,6,S,22E,15,Uintah,SCH,122.873,Public Schools
1444055,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals","N2NE4, NE4NW4",120,10S,10,S,22E,10,Uintah,SCH,118.74,Public Schools
1444056,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",SW4SW4,40,2S,2,S,1W,36,Uintah,DEAF,40.272,Utah Schools for the Deaf
1444063,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals","LOTS 1(16.26), 2(40.00), 3(40.00), 4(40.00), 5(40.00), 6(40.00), 7(40.00), 8(15.78), 9(15.65), 10(40.00), 11(40.00), 12(40.00), 13(40.00), 14(40.00), 15(40.00), 16(15.71), W2 [ALL]",863.4,11S,11,S,25E,36,Uintah,SCH,867.176,Public Schools
1444066,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",ALL,640,11S,11,S,17E,16,Duchesne,SCH,640.987,Public Schools
1444106,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals","LOT 3(38.77), 4(39.18) [AKA W2SW4]",77.95,3S,3,S,2W,19,Duchesne,SCH,78.463,Public Schools
1444137,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",ALL,640,16S,16,S,19E,36,Grand,SCH,633.127,Public Schools
1444138,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals","NE4NE4, NE4NW4NE4, NE4NW4NW4NE4, S2NW4NW4NE4, S2NW4NE4, S2NE4, S2NE4NE4NW4, S2NE4NW4, SE4NW4, S2",542.5,13S,13,S,23E,29,Uintah,X111,544.377,Recreation Exchange
1444141,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",NW4,160,2S,2,S,1W,10,Duchesne,UNIV,159.754,University of Utah
1444154,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals","LOTS 1(36.02), 2(36.05), 3(36.09), 4(36.12), S2N2, S2 [ALL]",624.28,14S,14,S,22E,2,Uintah,SCH,624.587,Public Schools
1444157,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",ALL,640,11S,11,S,23E,16,Uintah,SCH,641.193,Public Schools
1444200,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals","LOTS 3(39.37), 4(39.38), E2SW4 [LOTS AKA W2SW4]",158.75,2S,2,S,1W,19,Duchesne,USH,159.834,Utah State Hospital
1444217,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",E2E2,160,13S,13,S,21E,16,Uintah,SCH,160.063,Public Schools
1444257,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",ALL,640,6S,6,S,24E,36,Uintah,SCH,640.001,Public Schools
1444274,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",ALL,640,10S,10,S,22E,16,Uintah,SCH,642.961,Public Schools
1444315,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals","W2NE4, E2NW4, W2SW4",240,6S,6,S,20E,32,Uintah,SCH,246.63,Public Schools
1444319,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals","LOTS 2(39.31), 7(39.33), W2NE4 [LOTS AKA W2SE4]",158.64,2S,2,S,1E,20,Uintah,SM,158.565,College of Mines and Earth Sciences
1444343,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",S2NE4,80,3S,3,S,9W,27,Duchesne,SCH,79.631,Public Schools
1444363,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",E2SW4,80,2S,2,S,1W,24,Uintah,SYDC,79.301,Juvenile Justice Services
1444394,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals","LOTS 1(36.38), 3(34.16), 4(53.89), 5(44.19), 7(17.80), SW4NW4, S2 [LOTS AKA W2NE4, N2NW4, SE4NW4]",546.42,9S,9,S,25E,17,Uintah,SCH,544.717,Public Schools
1444419,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",SW4,160,15S,15,S,23E,22,Uintah,MULT,160.117,Multi-Beneficiary
1444441,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",ALL,640,12S,12,S,22E,36,Uintah,SCH,639.627,Public Schools
1444507,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),111,"Mineral Rights: Oil and gas, Coal, and Other minerals",ALL,640,14S,14,S,23E,36,Uintah,SCH,644.972,Public Schools
