objectid,state,managing_agency,rights_type,state_enabling_act,comboown,activity,aliquot,acres,township,township,townd,range,section,county,benemin,gis_acres,trust_name
1440140,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,SW4SE4,40,9S,9,S,24E,23,Uintah,SCH,39.46,Public Schools
1440153,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,SW4,160,5S,5,S,3W,6,Duchesne,SCH,160.554,Public Schools
1440160,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,"N2N2, SW4NW4",200,10S,10,S,20E,24,Uintah,SCH,202,Public Schools
1440166,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,"SW4NW4, NE4SE4",80,8S,8,S,23E,24,Uintah,SCH,80.061,Public Schools
1440167,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,ALL,640,10S,10,S,21E,21,Uintah,SCH,650.655,Public Schools
1440168,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,ALL,640,4S,4,S,3W,23,Duchesne,SCH,635.58,Public Schools
1440169,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,SW4NW4,40,9S,9,S,23E,23,Uintah,SCH,40.242,Public Schools
1440172,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,"E2SW4, NW4SE4",120,11S,11,S,18E,27,Uintah,SCH,123.634,Public Schools
1440174,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,ALL,640,10S,10,S,21E,33,Uintah,SCH,650.849,Public Schools
1440180,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,LOT 2 [NW4NW4],30.52,4S,4,S,6W,10,Duchesne,SCH,40.278,Public Schools
1440182,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,"LOTS 1(37.05), 2(37.04) [AKA W2NW4]",74.09,3S,3,S,3W,7,Duchesne,SCH,73.557,Public Schools
1440185,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,NW4SW4,40,12S,12,S,24E,35,Uintah,SCH,39.808,Public Schools
1440186,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,NE4SE4,40,8S,8,S,24E,35,Uintah,SCH,39.987,Public Schools
1440199,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,NW4NE4,40,10S,10,S,18E,18,Uintah,SCH,40.022,Public Schools
1440205,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,"LOTS 7(31.90), 8(42.00) [AKA PART OF E2SW4]",73.9,6S,6,S,21E,14,Uintah,SCH,72.177,Public Schools
1440207,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,E2NW4,80,11S,11,S,24E,21,Uintah,SCH,79.885,Public Schools
1440216,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,"LOT 1(39.13), SW4NE4, NE4NW4, NW4SE4 [LOT AKA NW4NW4]",159.13,13S,13,S,24E,18,Uintah,SCH,158.999,Public Schools
1440218,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,"S2NW4, N2SW4",160,4S,4,S,6W,9,Duchesne,SCH,158.876,Public Schools
1440227,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,NE4NE4,40,14S,14,S,19E,7,Uintah,SCH,39.82,Public Schools
1440231,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,"LOTS 3(41.85), 4(24.72), SE4NE4 [LOTS AKA PART OF N2SE4, PART OF SE4SE4]",106.57,5S,5,S,19E,29,Uintah,SCH,106.711,Public Schools
1440245,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,NW4SE4,40,14S,14,S,19E,29,Uintah,SCH,40.061,Public Schools
1440247,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,PART OF W2NW4 [METES & BOUNDS],77.71,7S,7,S,20E,4,Uintah,SCH,79.479,Public Schools
1440249,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,N2S2,160,3S,3,S,9W,25,Duchesne,SCH,161.817,Public Schools
1440272,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,ALL,640,10S,10,S,20E,13,Uintah,SCH,653.709,Public Schools
1440273,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,SW4NE4,40,13S,13,S,23E,19,Uintah,SCH,40.003,Public Schools
1440290,UT,Trust Lands Administration,Subsurface,28 Stat. 107-110 (1894),011,Mineral Rights: Coal and Other minerals,S2NE4,80,11S,11,S,18E,27,Uintah,SCH,78.741,Public Schools
