state,managing_agency,rights_type,state_enabling_act,objectid,township,range,section,county,bene_cd,bene_abrev,aliquot,acres
UT,Trust Lands Administration,Surface,82 Stat. 107-110 (1894),290318,13,23,22,Uintah,10,SCH,"NE4NE4NE4NE4, S2NE4NE4NE4, S2NW4NE4NE4, S2NE4NE4, S2NE4NW4NE4, S2NW4NE4, S2NE4, NE4SW4NE4NW4, S2SW4NE4NW4, SE4NE4NW4, S2SE4NW4NW4, S2NW4, S2",560.000000000000000
UT,Trust Lands Administration,Surface,83 Stat. 107-110 (1894),290322,10,13,32,Duchesne,10,SCH,LOTS 1-4 (ALL),85.760000000000005
UT,Trust Lands Administration,Surface,84 Stat. 107-110 (1894),290323,12,21,36,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Surface,85 Stat. 107-110 (1894),290337,11,20,2,Uintah,10,SCH,ALL,638.500000000000000
UT,Trust Lands Administration,Surface,86 Stat. 107-110 (1894),290345,13,20,36,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Surface,87 Stat. 107-110 (1894),290367,15,22,31,Uintah,10,SCH,"LOTS 1(39.95), 2(39.96), 3(39.98), 4(39.99), E2, E2W2 [ALL]",639.879999999999995
UT,Trust Lands Administration,Surface,88 Stat. 107-110 (1894),290374,12,25,17,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Surface,89 Stat. 107-110 (1894),290386,14,21,7,Uintah,10,SCH,"LOTS 1(37.35), 2(37.48), 3(37.62), 4(37.75), W2NE4, E2W2, SE4 [LOTS AKA W2W2]",550.200000000000045
UT,Trust Lands Administration,Surface,90 Stat. 107-110 (1894),290388,14,25,2,Uintah,10,SCH,ALL,639.279999999999973
UT,Trust Lands Administration,Surface,91 Stat. 107-110 (1894),290443,14,25,36,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Surface,92 Stat. 107-110 (1894),290445,15,21,34,Uintah,10,SCH,"N2, NE4SW4, N2SE4, SE4SE4",480.000000000000000
UT,Trust Lands Administration,Surface,93 Stat. 107-110 (1894),290457,11,20,36,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Surface,94 Stat. 107-110 (1894),290483,7,22,32,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Surface,95 Stat. 107-110 (1894),290486,15,26,32,Grand,10,SCH,"LOTS 1(28.99), 2(29.13), 3(29.27), 4(29.41), S2 [ALL]",436.800000000000011
UT,Trust Lands Administration,Surface,96 Stat. 107-110 (1894),290494,18,20,16,Grand,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Surface,97 Stat. 107-110 (1894),290538,14,22,1,Uintah,10,SCH,"LOTS 1(36.19), 2(36.14), 3(36.08), 4(36.03), S2N2, S2 [ALL]",624.440000000000055
UT,Trust Lands Administration,Surface,98 Stat. 107-110 (1894),290540,11,24,32,Uintah,10,SCH,"N2NE4, SE4NE4, W2, W2SE4, SE4SE4",560.000000000000000
UT,Trust Lands Administration,Surface,99 Stat. 107-110 (1894),290542,10,19,16,Uintah,10,SCH,S2,320.000000000000000
UT,Trust Lands Administration,Surface,100 Stat. 107-110 (1894),290555,15,21,35,Grand,10,SCH,"LOTS 1(33.76), 2(33.77), 3(33.77), 4(33.78), S2 [ALL]",455.079999999999984
UT,Trust Lands Administration,Surface,101 Stat. 107-110 (1894),290556,15,21,36,Grand,10,SCH,"LOTS 3(33.85), 4(33.79), SW4, W2SE4 [LOTS AKA S2NW4]",307.639999999999986
UT,Trust Lands Administration,Surface,102 Stat. 107-110 (1894),290583,11,24,2,Uintah,10,SCH,"LOTS 1(39.92), 2(39.94), 3(39.94), 4(39.96), S2N2, S2 [ALL]",639.759999999999991
UT,Trust Lands Administration,Surface,103 Stat. 107-110 (1894),290595,12,20,36,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Surface,104 Stat. 107-110 (1894),290602,12,22,2,Uintah,10,SCH,"LOTS 1(40.01), 2(40.05), 3(40.07), 4(40.11), S2N2, S2 [ALL]",640.240000000000009
UT,Trust Lands Administration,Surface,105 Stat. 107-110 (1894),290611,16,21,8,Grand,10,SCH,NW4NE4,40.000000000000000
UT,Trust Lands Administration,Surface,106 Stat. 107-110 (1894),290616,12,25,19,Uintah,10,SCH,NW4,160.000000000000000
UT,Trust Lands Administration,Surface,107 Stat. 107-110 (1894),290621,14,21,8,Uintah,10,SCH,"NE4, E2NW4, S2",560.000000000000000
UT,Trust Lands Administration,Surface,108 Stat. 107-110 (1894),290650,13,25,2,Uintah,10,SCH,ALL,711.159999999999968
UT,Trust Lands Administration,Surface,109 Stat. 107-110 (1894),290680,7,24,32,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Surface,110 Stat. 107-110 (1894),290690,12,24,32,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Surface,111 Stat. 107-110 (1894),290712,13,22,2,Uintah,10,SCH,"LOTS 1(40.08), 2(40.18), 3(40.26), 4(40.36), S2N2, S2 [ALL]",640.879999999999995
UT,Trust Lands Administration,Surface,112 Stat. 107-110 (1894),290715,14,24,5,Uintah,10,SCH,NW4SW4,40.000000000000000
UT,Trust Lands Administration,Surface,113 Stat. 107-110 (1894),290716,15,24,19,Uintah,10,SCH,"LOTS 1(39.92), 2(39.91), 3(39.91), 4(39.90), NE4, SE4SW4, NE4SE4, S2SE4 [LOTS AKA W2W2]",479.639999999999986
UT,Trust Lands Administration,Surface,114 Stat. 107-110 (1894),290800,15,21,35,Uintah,10,SCH,ALL,640.000000000000000
