OBJECTID,state,managing_agency,rights_type,state_enabling_act,Acres,trust_name
598,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",79.87,School and Public Lands
599,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",286.82,School and Public Lands
600,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",286.53,School and Public Lands
601,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",264.7,School and Public Lands
602,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",161.59,School and Public Lands
603,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",837.93,School and Public Lands
604,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",1765.81,School and Public Lands
605,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",265.9,School and Public Lands
606,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",304.35,School and Public Lands
607,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",334.43,School and Public Lands
608,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",627,School and Public Lands
609,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",656.53,School and Public Lands
610,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",748.96,School and Public Lands
611,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",156.76,School and Public Lands
612,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",321.84,School and Public Lands
613,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",482.57,School and Public Lands
614,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",166.81,School and Public Lands
615,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",475.33,School and Public Lands
616,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",156.22,School and Public Lands
618,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",402.23,School and Public Lands
667,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",325.78,School and Public Lands
668,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",637.12,School and Public Lands
669,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",332.81,School and Public Lands
672,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",116.07,School and Public Lands
673,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",178.09,School and Public Lands
675,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",108.38,School and Public Lands
677,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",632.22,School and Public Lands
679,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",447.02,School and Public Lands
682,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",799.68,School and Public Lands
683,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",316.31,School and Public Lands
684,SD,Commissioner of School and Public Lands ,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",640.63,School and Public Lands
