state,managing_agency,state_enabling_act,rights_type,Net_ID,township,range,section,aliquot,acres,meridian,county,trust_name,OBJECTID_1
CO,State Land Board,18 Stat. 474-476,Surface,FAM007092,34N,11W,12,"N2, FRAC PT N2S2  RECORDS INDICATE MINOR DISPUTE IN ACREAGES",467.699999999999989,New Mexico Meridian,La Plata,Hesperus,2614
CO,State Land Board,19 Stat. 474-476,Surface,FAM007146,35N,12W,36,ALL,640.000000000000000,New Mexico Meridian,La Plata,School,1614
