Asset_Laye,Net_ID,Property_N,Alt_Name,Net_Asset_,ns_int_id,Township,Range,Section,GIS_Legal,Acreage,Parcel_Com,GIS_Acreag,GIS_Differ,Meridian,County,Beneficiar,TRS_Merge,Section_TF,Hyperlink,FAM_url,WebMap_FAM,GlobalID,OBJECTID_1,Shape__Are,Shape__Len
Oil & Gas,FAM016316,,,N-34U-6W-19-Oil & Gas-La Plata-School,16316.000000000000000,34U,6W,19,"NE,SW",316.730000000000018,,316.775442460000022,-0.045442460000000,New Mexico Meridian,La Plata,School,34U6W19,"19","<a href=""https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=16316"" target=""_top"">STAFF USE ONLY</a>",https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=16316,FAM016316 - STAFF USE ONLY,1d526bcf-5fe2-4687-8828-8d714d03a969,11410,2022025.195312500000000,8044.917407522770191
Coal,FAM025239,,,N-34U-6W-19-Coal-La Plata-School,25239.000000000000000,34U,6W,19,"NE,SW",316.730000000000018,,316.775442460000022,-0.045442460000000,New Mexico Meridian,La Plata,School,34U6W19,"19","<a href=""https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=25239"" target=""_top"">STAFF USE ONLY</a>",https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=25239,FAM025239 - STAFF USE ONLY,a7e7f99c-bd07-4c41-bd6e-a79bd6390661,16456,2022025.195312500000000,8044.917407522770191
Coal,FAM025181,,,N-34N-3W-16-Coal-Archuleta-School,25181.000000000000000,34N,3W,16,"N2, LOTS 1,2",372.480000000000018,,370.936537269999974,1.543462730000000,New Mexico Meridian,Archuleta,School,34N3W16,"16","<a href=""https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=25181"" target=""_top"">STAFF USE ONLY</a>",https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=25181,FAM025181 - STAFF USE ONLY,902ed2dc-8cb2-4478-82e5-30a3cba6fcdf,13058,2371150.710937500000000,6568.097117034179973
Other Minerals,FAM034121,,,N-34N-3W-16-Other Minerals-Archuleta-School,34121.000000000000000,34N,3W,16,"N2, LOTS 1,2",372.480000000000018,,370.936537269999974,1.543462730000000,New Mexico Meridian,Archuleta,School,34N3W16,"16","<a href=""https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=34121"" target=""_top"">STAFF USE ONLY</a>",https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=34121,FAM034121 - STAFF USE ONLY,f5a85626-50f8-4f2b-8e47-98b3f9017eff,14421,2371150.710937500000000,6568.097117034179973
Oil & Gas,FAM016256,,,N-34N-3W-16-Oil & Gas-Archuleta-School,16256.000000000000000,34N,3W,16,"N2, LOTS 1,2",372.480000000000018,,370.936537269999974,1.543462730000000,New Mexico Meridian,Archuleta,School,34N3W16,"16","<a href=""https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=16256"" target=""_top"">STAFF USE ONLY</a>",https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=16256,FAM016256 - STAFF USE ONLY,267ba1b9-8f86-4f3c-95df-2933fa2febab,21914,2371150.710937500000000,6568.097117034179973
Other Minerals,FAM034119,Hesperus,,N-34N-11W-12-Other Minerals-La Plata-Hesperus,34119.000000000000000,34N,11W,12,"N2, FRAC PT N2S2  RECORDS INDICATE MINOR DISPUTE IN ACREAGES",467.699999999999989,,476.821605780000027,-9.121605779999999,New Mexico Meridian,La Plata,Hesperus,34N11W12,"12","<a href=""https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=34119"" target=""_top"">STAFF USE ONLY</a>",https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=34119,FAM034119 - STAFF USE ONLY,2e43c790-4d38-40be-a9d4-67b4cb137967,12672,3045498.941406250000000,7072.096465280200391
Oil & Gas,FAM016254,Hesperus,,N-34N-11W-12-Oil & Gas-La Plata-Hesperus,16254.000000000000000,34N,11W,12,"N2, FRAC PT N2S2  RECORDS INDICATE MINOR DISPUTE IN ACREAGES",467.699999999999989,,476.821605780000027,-9.121605779999999,New Mexico Meridian,La Plata,Hesperus,34N11W12,"12","<a href=""https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=16254"" target=""_top"">STAFF USE ONLY</a>",https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=16254,FAM016254 - STAFF USE ONLY,85929c87-ffa0-4a7f-a05f-8c2ee24047ee,22638,3045498.941406250000000,7072.096465280200391
Coal,FAM025179,Hesperus,,N-34N-11W-12-Coal-La Plata-Hesperus,25179.000000000000000,34N,11W,12,"N2, FRAC PT N2S2  RECORDS INDICATE MINOR DISPUTE IN ACREAGES",467.699999999999989,,476.821605780000027,-9.121605779999999,New Mexico Meridian,La Plata,Hesperus,34N11W12,"12","<a href=""https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=25179"" target=""_top"">STAFF USE ONLY</a>",https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=25179,FAM025179 - STAFF USE ONLY,0c268f37-7c22-49ba-a8b6-1494bad5f475,22725,3045498.941406250000000,7072.096465280200391
Other Minerals,FAM034233,,,N-35N-2W-36-Other Minerals-Archuleta-School,34233.000000000000000,35N,2W,36,ALL,640.000000000000000,,629.527111650000052,10.472888350000000,New Mexico Meridian,Archuleta,School,35N2W36,"36","<a href=""https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=34233"" target=""_top"">STAFF USE ONLY</a>",https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=34233,FAM034233 - STAFF USE ONLY,f3b7a348-d9f4-484b-a0e0-dab808faf3a1,7980,4025495.207031250000000,8024.168153038180208
Oil & Gas,FAM016368,,,N-35N-2W-36-Oil & Gas-Archuleta-School,16368.000000000000000,35N,2W,36,ALL,640.000000000000000,,629.527111650000052,10.472888350000000,New Mexico Meridian,Archuleta,School,35N2W36,"36","<a href=""https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=16368"" target=""_top"">STAFF USE ONLY</a>",https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=16368,FAM016368 - STAFF USE ONLY,381b6321-89e7-424c-b21e-46946b04c161,17775,4025495.207031250000000,8024.168153038180208
Coal,FAM025291,,,N-35N-2W-36-Coal-Archuleta-School,25291.000000000000000,35N,2W,36,ALL,640.000000000000000,,629.527111650000052,10.472888350000000,New Mexico Meridian,Archuleta,School,35N2W36,"36","<a href=""https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=25291"" target=""_top"">STAFF USE ONLY</a>",https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=25291,FAM025291 - STAFF USE ONLY,8c0887ab-4c1c-4f3f-b046-8e81d534dd2c,26182,4025495.207031250000000,8024.168153038180208
Oil & Gas,FAM016335,,,N-35N-12W-36-Oil & Gas-La Plata-School,16335.000000000000000,35N,12W,36,ALL,640.000000000000000,,694.413346469999965,-54.413346470000000,New Mexico Meridian,La Plata,School,35N12W36,"36","<a href=""https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=16335"" target=""_top"">STAFF USE ONLY</a>",https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=16335,FAM016335 - STAFF USE ONLY,1536fab6-c29d-4232-bcdd-0200f21a24bf,7326,4437938.949218750000000,8548.290033024190052
Other Minerals,FAM034200,,,N-35N-12W-36-Other Minerals-La Plata-School,34200.000000000000000,35N,12W,36,ALL,640.000000000000000,,694.413346469999965,-54.413346470000000,New Mexico Meridian,La Plata,School,35N12W36,"36","<a href=""https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=34200"" target=""_top"">STAFF USE ONLY</a>",https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=34200,FAM034200 - STAFF USE ONLY,2c205341-27d1-4979-b4c9-d2ab5582a83b,10108,4437938.949218750000000,8548.290033024190052
Coal,FAM025258,,,N-35N-12W-36-Coal-La Plata-School,25258.000000000000000,35N,12W,36,ALL,640.000000000000000,,694.413346469999965,-54.413346470000000,New Mexico Meridian,La Plata,School,35N12W36,"36","<a href=""https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=25258"" target=""_top"">STAFF USE ONLY</a>",https://3596240.app.netsuite.com/app/common/custom/custrecordentry.nl?rectype=20&id=25258,FAM025258 - STAFF USE ONLY,81642e71-2498-4d4a-bbec-9784c2f48875,16121,4437938.949218750000000,8548.290033024190052
