OBJECTID,OwnershipT,FundCode,SurfaceOwn,Subsurface,Subsurfa_1,SurfaceAcr,ControlSou,PolygonID,Acquisitio,Township_T,Range_Temp,FirstDivis,ParcelName,Calculated,IsActive,IsAuto,GlobalID,CreateDate,UpdateDate,CreateUser,UpdateUser,Access,Shape.STAr,Shape.STLe
3273,"0",FL,Y,"1",39.710000000000001,39.710000000000001,"26",PG00087B,AQ87,"1","4","32",,39.452302500000002,"1","0",{4EBBCA4C-C918-403D-9B42-550AAB875A25},2009/06/19 02:00:00.000,2021/07/15 00:16:55.000,tstore,SDE,"1",159657.804081774986116,1628.032135207599595
3275,"0",FL,Y,"2",0.000000000000000,40.000000000000000,"26",PG00085A,AQ85,"1","4","25",,40.232210389999999,"1","0",{87BB2861-8709-49D5-BBF0-F5311DD616F6},2009/06/19 02:00:00.000,2021/07/15 00:16:55.000,tstore,SDE,"1",162813.979329114983557,1614.030194822257045
3276,"0",FL,Y,"2",0.000000000000000,40.000000000000000,"26",PG00084A,AQ84,"1","4","24",,39.595826109999997,"1","0",{6B2BE741-2475-4A0F-8345-53D8C78924AA},2009/06/19 02:00:00.000,2021/07/15 00:16:55.000,tstore,SDE,"1",160238.623499339999398,1601.272639350141390
3464,"0",DQ,Y,"1",0.000000000000000,40.000000000000000,"26",PG00091C,AQ91,"1","4","9",,40.091543399999999,"1","0",{F191B106-B245-4815-9781-446F001B7C1B},2009/06/19 02:00:00.000,2021/07/15 00:17:02.000,tstore,SDE,"1",162244.720229630009271,1611.191823060838033
3516,"0",FL,Y,"2",0.000000000000000,80.000000000000000,"26",PG00002A,AQ2,"1","1","19",,79.901095040000001,"1","0",{9C480DDA-9A03-45F6-B350-EAA710372FF1},2009/06/19 02:00:00.000,2021/07/15 00:17:04.000,tstore,SDE,"4",323348.260255185072310,2412.674809644312063
8660,"0",DQ,Y,"1",0.000000000000000,40.000000000000000,"26",PG00090B,AQ90,"1","4","4",,40.091459440000001,"1","0",{6A78B541-2960-439B-B15E-51E742B387E6},2009/06/19 02:00:00.000,2021/07/15 00:20:27.000,tstore,SDE,"1",162244.380447339994134,1611.199556125874324
8662,"0",FL,Y,"1",160.000000000000000,160.000000000000000,"26",PG00047A,AQ47,"1","3","33",,159.317186240000012,"1","0",{03F22907-8558-4387-924E-BAAB61B59F68},2009/06/19 02:00:00.000,2021/07/15 00:20:27.000,tstore,SDE,"1",644733.779585100011900,3213.007626391574831
8663,"0",FL,Y,"2",0.000000000000000,80.000000000000000,"26",PG00003A,AQ3,"1","1","20",,79.681780790000005,"1","0",{C4268684-7C4E-4C07-894A-E846023114FF},2009/06/19 02:00:00.000,2021/07/15 00:20:28.000,tstore,SDE,"1",322460.726984960027039,2408.700674512431306
9082,"0",AF,Y,"2",0.000000000000000,40.000000000000000,"26",PG00059B,AQ59,"3","3","17",,40.159689550000003,"1","0",{DF905D08-2587-4144-A943-04400CD1C8CE},2009/06/19 02:00:00.000,2021/07/15 00:20:46.000,tstore,SDE,"1",162520.497908774996176,1612.614032089675675
9083,"0",FL,Y,"1",80.000000000000000,80.000000000000000,"26",PG00029E,AQ29,"3","2","1",,80.696308020000004,"1","0",{8536E2EF-4D8B-40E6-B2FD-A07507980C00},2009/06/19 02:00:00.000,2021/07/15 00:20:46.000,tstore,SDE,"4",326566.373021734994836,2429.369981702074256
9084,"0",FL,Y,"1",40.000000000000000,40.000000000000000,"26",PG00029F,AQ29,"3","2","1",,40.017463669999998,"1","0",{27AD6709-E383-474D-80F0-6E4FCEEA82DF},2009/06/19 02:00:00.000,2021/07/15 00:20:46.000,tstore,SDE,"4",161944.930180460010888,1609.701366144470057
9085,"0",FL,Y,"1",39.960000000000001,39.960000000000001,"26",PG00029A,AQ29,"3","2","1",,40.215273449999998,"1","0",{F7A82C62-762B-4221-A1CE-E9EF523E4F6C},2009/06/19 02:00:00.000,2021/07/15 00:20:46.000,tstore,SDE,"4",162745.437971529987408,1613.691018370166375
9086,"0",FL,Y,"1",39.960000000000001,39.960000000000001,"26",PG00029C,AQ29,"3","2","1",,40.021574710000003,"1","0",{1947F8CB-9197-433F-AE3F-2164C1AA5376},2009/06/19 02:00:00.000,2021/07/15 00:20:47.000,tstore,SDE,"4",161961.566995914967265,1609.800481162392543
9088,"0",AF,Y,"2",0.000000000000000,40.000000000000000,"26",PG00022A,AQ22,"3","2","12",,40.216559359999998,"1","0",{B8A39EC5-DB3C-442B-83EE-B2270C9D5919},2009/06/19 02:00:00.000,2021/07/15 00:20:47.000,tstore,SDE,"1",162750.641862640011823,1613.729222113732249
9089,"0",FL,Y,"1",40.000000000000000,40.000000000000000,"26",PG00013B,AQ13,"3","1","7",,39.914066079999998,"1","0",{785D1266-1421-4070-BB5C-340AE4001ECA},2009/06/19 02:00:00.000,2021/07/15 00:20:47.000,tstore,SDE,"4",161526.494993925007293,1607.621448618505838
9090,"0",AF,Y,"2",0.000000000000000,80.000000000000000,"26",PG00009A,AQ9,"3","1","15",,80.156051480000002,"1","0",{0EC4D441-0B10-4A4F-A99C-218E13CF8A7C},2009/06/19 02:00:00.000,2021/07/15 00:20:47.000,tstore,SDE,"1",324380.032350405002944,2414.409005510512088
9091,"0",AF,Y,"2",0.000000000000000,40.000000000000000,"26",PG00008A,AQ8,"3","1","14",,40.104328279999997,"1","0",{9D1BC474-38E7-4959-9F62-6D3E4125E824},2009/06/19 02:00:00.000,2021/07/15 00:20:47.000,tstore,SDE,"1",162296.458805605012458,1611.521337749915801
9111,"0",FL,Y,"1",160.000000000000000,160.000000000000000,"26",PG00028A,AQ28,"2","2","17",,158.844739210000000,"1","0",{8068C502-BA48-40C4-A019-66647CCAA2DD},2009/06/19 02:00:00.000,2021/07/15 00:20:47.000,tstore,SDE,"1",642821.854274329845794,4005.875906883843072
9112,"0",AF,Y,"2",0.000000000000000,40.000000000000000,"26",PG00060B,AQ60,"3","3","20",,40.075163070000002,"1","0",{D46D27BD-573C-4210-A821-854990493526},2009/06/19 02:00:00.000,2021/07/15 00:20:47.000,tstore,SDE,"1",162178.431364020012552,1610.856846875058864
9113,"0",FL,Y,"1",80.000000000000000,80.000000000000000,"26",PG00029G,AQ29,"3","2","1",,80.395552179999996,"1","0",{0AFADAC1-71E7-4DB7-BBFF-856743B8290A},2009/06/19 02:00:00.000,2021/07/15 00:20:47.000,tstore,SDE,"4",325349.257298515003640,2415.974731318504382
9116,"0",FL,Y,"1",35.280000000000001,35.280000000000001,"26",PG00013A,AQ13,"3","1","7",,35.151793949999998,"1","0",{8284329E-9B93-4452-B76A-0AA7CBF2FAE9},2009/06/19 02:00:00.000,2021/07/15 00:20:48.000,tstore,SDE,"4",142254.263392440014286,1511.508532623446172
9117,"0",FL,Y,"1",35.210000000000001,35.210000000000001,"26",PG00012A,AQ12,"3","1","6",,35.037293540000000,"1","0",{BB87921A-7B0F-4D38-B50D-FF0037C43D90},2009/06/19 02:00:00.000,2021/07/15 00:20:48.000,tstore,SDE,"4",141790.896681835001800,1509.548412569344691
9118,"0",AF,Y,"2",0.000000000000000,320.000000000000000,"26",PG00010A,AQ10,"3","1","22",,321.527569669999991,"1","0",{20FEF95F-DE7F-4011-AE9D-BE4151F57375},2009/06/19 02:00:00.000,2021/07/15 00:20:48.000,tstore,SDE,"1",1301175.912783815059811,4838.303762796625051
9123,"0",FL,Y,"2",0.000000000000000,80.000000000000000,"26",PG00117A,AQ117,"5","4","36",,80.370686090000007,"1","0",{B7AEBD00-FEC0-4E15-879A-508BC696E9CE},2009/06/19 02:00:00.000,2021/07/15 00:20:48.000,tstore,SDE,"4",325248.627825699979439,2420.690083873065760
9124,"0",FL,Y,"1",27.280000000000001,27.280000000000001,"26",PG00112D,AQ112,"5","4","29",,27.712133309999999,"1","0",{0A38000F-4537-4966-BF5C-423A71E552E5},2009/06/19 02:00:00.000,2021/07/15 00:20:48.000,tstore,SDE,"1",112147.024891805005609,1372.688501717828785
9125,"0",FL,Y,"2",0.000000000000000,320.000000000000000,"26",PG00109A,AQ109,"5","4","26",,321.844532870000023,"1","0",{EFC5372C-DB81-4558-8561-0C87F5D8E68D},2009/06/19 02:00:00.000,2021/07/15 00:20:48.000,tstore,SDE,"1",1302458.617332010064274,4842.038341075141943
9130,"0",FL,Y,"2",0.000000000000000,40.000000000000000,"26",PG00117B,AQ117,"5","4","36",,40.174451740000002,"1","0",{7DB8D956-161C-4669-B3E1-890C820FAE96},2009/06/19 02:00:00.000,2021/07/15 00:20:48.000,tstore,SDE,"4",162580.238348420010880,1612.884996920121921
9131,"0",FL,Y,"2",0.000000000000000,80.000000000000000,"26",PG00108A,AQ108,"5","4","25",,80.400918730000001,"1","0",{0AAFDEAC-94CE-4425-8833-15C9AD800279},2009/06/19 02:00:00.000,2021/07/15 00:20:48.000,tstore,SDE,"4",325370.974944590008818,2420.961007575322583
9132,"0",FL,Y,"2",0.000000000000000,80.000000000000000,"26",PG00075B,AQ75,"5","3","31",,80.364526010000006,"1","0",{A329EC06-3D8C-439E-878C-A0215F0E6D28},2009/06/19 02:00:00.000,2021/07/15 00:20:48.000,tstore,SDE,"4",325223.698836604948156,2420.415439866730139
9219,"0",FL,Y,"1",80.000000000000000,80.000000000000000,"26",PG00033A,AQ33,"3","2","12",,80.010093650000002,"1","0",{F7707020-5973-4A30-A9B5-0A9AB3AC6A10},2009/06/19 02:00:00.000,2021/07/15 00:20:51.000,tstore,SDE,"4",323789.361973325023428,2416.814324411942380
9220,"0",AF,Y,"2",0.000000000000000,80.000000000000000,"26",PG00025C,AQ25,"3","2","23",,79.769864900000002,"1","0",{AD88214D-D3A6-44C8-B2CE-045686139047},2009/06/19 02:00:00.000,2021/07/15 00:20:51.000,tstore,SDE,"1",322817.190712679992430,2409.828057336966140
9221,"0",AF,Y,"2",0.000000000000000,80.000000000000000,"26",PG00025A,AQ25,"3","2","23",,79.465560120000006,"1","0",{773B6672-9A3C-4CFF-8071-B91392467A77},2009/06/19 02:00:00.000,2021/07/15 00:20:51.000,tstore,SDE,"1",321585.712977115006652,2408.186702217699803
9229,"0",FL,Y,"1",0.000000000000000,80.000000000000000,"26",PG00101B,AQ101,"8","4","17",,79.711811999999995,"1","0",{4A27AC33-E2E8-41A3-AABE-0160D0F83C93},2009/06/19 02:00:00.000,2021/07/15 00:20:52.000,tstore,SDE,"4",322582.258967034984380,2409.628831329985132
9230,"0",FL,Y,"1",40.000000000000000,40.000000000000000,"26",PG00101A,AQ101,"8","4","17",,39.819821830000002,"1","0",{1ED4F45A-FDE3-4AA9-AF20-B19073414820},2009/06/19 02:00:00.000,2021/07/15 00:20:52.000,tstore,SDE,"4",161145.102048800006742,1605.716185260836028
9287,"0",AG,Y,"1",80.000000000000000,80.000000000000000,"10",PG13648B,AQ13648,"44","97","31",,80.185020050000006,"1","0",{220FCF19-440A-41BB-8FF9-47210C4F8177},2009/06/19 02:00:00.000,2021/07/15 00:20:54.000,tstore,SDE,"1",324497.264014374988619,2419.716879405677446
9346,"0",AG,Y,"1",320.000000000000000,320.000000000000000,"10",PG13650A,AQ13650,"44","97","32",,320.734413300000028,"1","0",{733FE27E-1E7B-4AA9-AF4B-011DA42F8CB5},2009/06/19 02:00:00.000,2021/07/15 00:20:56.000,tstore,SDE,"1",1297966.122819415293634,4833.015684236041125
9433,"0",CS,Y,"1",159.490000000000009,159.490000000000009,"10",PG13842B,AQ13842,"44","98","36",,158.181359950000001,"1","0",{AACE6E52-6610-4D6E-8BFC-6D08A95071C0},2009/06/19 02:00:00.000,2021/07/15 00:20:59.000,tstore,SDE,"1",640137.253656025161035,3222.749648128171430
9472,"0",CS,Y,"1",80.000000000000000,80.000000000000000,"10",PG13842C,AQ13842,"44","98","36",,79.533804320000002,"1","0",{989C7638-8E47-4701-BC90-0A4CAFA7D4DB},2009/06/19 02:00:00.000,2021/07/15 00:21:00.000,tstore,SDE,"1",321861.887429900001734,2406.712948337960825
9473,"0",AG,Y,"1",36.899999999999999,36.899999999999999,"10",PG13648D,AQ13648,"44","97","31",,36.880562060000003,"1","0",{0859D4CC-E2A7-4941-8BD3-376468B7B128},2009/06/19 02:00:00.000,2021/07/15 00:21:00.000,tstore,SDE,"1",149250.339740819967119,1546.862326620415161
9476,"0",SR,Y,"1",80.000000000000000,80.000000000000000,"10",PG13651B,AQ13651,"44","97","32",,80.880126439999998,"1","0",{FC639852-2B3E-43BB-8E6B-AA9ECE503C4B},2009/06/19 02:00:00.000,2021/07/15 00:21:00.000,tstore,SDE,"1",327310.259772064979188,2424.134480194430125
10056,"0",CS,Y,"1",30.199999999999999,30.199999999999999,"7",PG14009A,AQ14009,"34","99","36",,29.991152369999998,"1","0",{F4920B4C-8D5D-4801-A60C-11BF88D481CD},2009/06/19 02:00:00.000,2021/07/15 00:21:25.000,tstore,SDE,"1",121369.887853074993473,1863.532994180285868
15517,"0",GA,Y,"4",0.000000000000000,40.000000000000000,"26",PG00015A,AQ15,"2","2","10",,40.135396559999997,"1","0",{241971A7-497E-45AA-9207-7E62B11623C5},2009/06/19 02:00:00.000,2021/07/15 00:25:00.000,tstore,SDE,"1",162422.187643950019265,1612.067969365474482
15518,"0",AF,Y,"2",0.000000000000000,160.000000000000000,"26",PG00058A,AQ58,"3","3","16",,161.092644460000002,"1","0",{C417AB7C-3E78-4BBC-A9F2-5A23DAE6610A},2009/06/19 02:00:00.000,2021/07/15 00:25:00.000,tstore,SDE,"1",651918.804096790030599,3229.658810315348546
15519,"0",FL,Y,"1",39.960000000000001,39.960000000000001,"26",PG00029B,AQ29,"3","2","1",,40.175528849999999,"1","0",{0D4F7603-617B-4652-A89B-267A9E0CE548},2009/06/19 02:00:00.000,2021/07/15 00:25:00.000,tstore,SDE,"4",162584.597286359989084,1612.902450898557845
