OBJECTID,state,managing_agency,rights_type,state_enabling_act,FundCode,township,range,section,gis_acres,trust_name,,,
9476,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),SR,44,97,32,80.965,"State Charitable, Educational, Penal & Reform Inst",,UN,University Land (trust)
10056,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),CS,34,99,36,30.027,Common School,,UW,University of Wyoming (acquired)
15519,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),FL,3,2,1,40.224,Farm Loan,,WS,Wyoming State Training School
15520,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),FL,3,2,1,40.032,Farm Loan,,ZT,"67% DD, 16.5% AG, 16.5% CS"
15522,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),FL,3,1,6,39.906,Farm Loan,,,
15525,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),FL,4,2,35,40.374,Farm Loan,,,
15526,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),FL,4,2,21,81.418,Farm Loan,,,
15527,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),FL,5,4,29,12.502,Farm Loan,,,
15530,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),FL,8,4,18,39.951,Farm Loan,,,
15590,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),CS,43,99,16,81.393,Common School,,,
15593,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),CS,44,98,36,314.677,Common School,,,
15597,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),SR,44,97,31,80.874,"State Charitable, Educational, Penal & Reform Inst",,,
15598,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),SR,43,97,5,80.046,"State Charitable, Educational, Penal & Reform Inst",,,
22479,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),CS,40,105,16,26.944,Common School,,,
22480,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),CS,40,105,16,26.945,Common School,,,
22481,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),CS,40,105,16,26.884,Common School,,,
22482,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),CS,40,105,16,27.004,Common School,,,
26419,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),GA,3,2,25,159.22,Game and Fish Commission,,,
26516,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),AF,2,3,15,269.513,Acquired Farm Loan,,,
27253,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),ES,2,1,8,79.919,Escheat,,,
28535,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),SR,40,105,4,48.682,"State Charitable, Educational, Penal & Reform Inst",,,
133128,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),GF,2N,5E,26,9.971,General Fund,,,
133129,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),GF,2N,5E,26,9.963,General Fund,,,
1059,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),CS,58,84,16,18.535,Common School,,,
1108,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),CS,58,88,18,27.724,Common School,,,
1128,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),CS,58,85,16,25.929,Common School,,,
1129,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),CS,58,85,16,24.699,Common School,,,
1130,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),CS,58,85,16,26.221,Common School,,,
1136,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),CS,58,87,16,36.769,Common School,,,
1293,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),CS,58,87,16,37.603,Common School,,,
1296,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),CS,58,88,16,25.456,Common School,,,
1297,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),CS,58,88,16,26.375,Common School,,,
1299,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),CS,58,88,16,26.1,Common School,,,
5104,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),CS,58,85,16,23.468,Common School,,,
5123,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),CS,58,88,16,24.89,Common School,,,
5124,WY,Office of State Lands and Investment,Subsurface,26 Stat. 222-226 (1890),CS,58,88,18,29.442,Common School,,,
