OBJECTID,OwnershipT,FundCode,SurfaceOwn,Subsurface,Subsurfa_1,SurfaceAcr,ControlSou,PolygonID,Acquisitio,Township_T,Range_Temp,FirstDivis,ParcelName,Calculated,IsActive,IsAuto,GlobalID,CreateDate,UpdateDate,CreateUser,UpdateUser,Access,Shape.STAr,Shape.STLe,gis_acres
9095,"0",FL,N,"1",160.000000000000000,160.000000000000000,"26",PG00042A,AQ42,"4","2","28",,161.485882720000006,"1","0",{43BBD389-CE95-4B2A-8EBE-937B82725D77},2009/06/19 02:00:00.000,2021/07/15 00:20:47.000,tstore,SDE,"4",653510.182873019948602,4038.403149421975741,161.678
9111,"0",FL,Y,"1",160.000000000000000,160.000000000000000,"26",PG00028A,AQ28,"2","2","17",,158.844739210000000,"1","0",{8068C502-BA48-40C4-A019-66647CCAA2DD},2009/06/19 02:00:00.000,2021/07/15 00:20:47.000,tstore,SDE,"1",642821.854274329845794,4005.875906883843072,159.037
9113,"0",FL,Y,"1",80.000000000000000,80.000000000000000,"26",PG00029G,AQ29,"3","2","1",,80.395552179999996,"1","0",{0AFADAC1-71E7-4DB7-BBFF-856743B8290A},2009/06/19 02:00:00.000,2021/07/15 00:20:47.000,tstore,SDE,"4",325349.257298515003640,2415.974731318504382,80.492
9114,"0",GA,N,"1",20.000000000000000,80.000000000000000,"26",PG00027B,AQ27,"3","2","27",,80.049177510000007,"1","0",{13E5FD40-DD5C-4BCE-BDE6-820B8DD9D861},2009/06/19 02:00:00.000,2021/07/15 00:20:47.000,tstore,SDE,"1",323947.528752600017469,2415.693746782189010,80.146
9115,"0",GA,N,"1",282.500000000000000,320.000000000000000,"26",PG00027A,AQ27,"3","2","27",,320.425360689999991,"1","0",{7875D8D2-2847-4C4D-944B-220B5EFA5244},2009/06/19 02:00:00.000,2021/07/15 00:20:48.000,tstore,SDE,"1",1296715.431266234954819,4833.581895747092858,320.811
9116,"0",FL,Y,"1",35.280000000000001,35.280000000000001,"26",PG00013A,AQ13,"3","1","7",,35.151793949999998,"1","0",{8284329E-9B93-4452-B76A-0AA7CBF2FAE9},2009/06/19 02:00:00.000,2021/07/15 00:20:48.000,tstore,SDE,"4",142254.263392440014286,1511.508532623446172,35.194
9117,"0",FL,Y,"1",35.210000000000001,35.210000000000001,"26",PG00012A,AQ12,"3","1","6",,35.037293540000000,"1","0",{BB87921A-7B0F-4D38-B50D-FF0037C43D90},2009/06/19 02:00:00.000,2021/07/15 00:20:48.000,tstore,SDE,"4",141790.896681835001800,1509.548412569344691,35.079
9122,"0",FL,N,"1",80.000000000000000,80.000000000000000,"26",PG00041C,AQ41,"4","2","21",,81.021449300000000,"1","0",{DBAA7ED2-ADA6-41C5-9B7D-B0E1541CF6B4},2009/06/19 02:00:00.000,2021/07/15 00:20:48.000,tstore,SDE,"4",327882.173083055007737,2426.833528021082202,81.118
9124,"0",FL,Y,"1",27.280000000000001,27.280000000000001,"26",PG00112D,AQ112,"5","4","29",,27.712133309999999,"1","0",{0A38000F-4537-4966-BF5C-423A71E552E5},2009/06/19 02:00:00.000,2021/07/15 00:20:48.000,tstore,SDE,"1",112147.024891805005609,1372.688501717828785,27.745
9129,"0",FL,N,"1",40.000000000000000,40.000000000000000,"26",PG00041B,AQ41,"4","2","21",,40.613479560000002,"1","0",{37994766-429E-45D9-9C9F-C5779E080457},2009/06/19 02:00:00.000,2021/07/15 00:20:48.000,tstore,SDE,"4",164356.920930749998661,1621.661999478931648,40.662
