state,managing_agency,rights_type,state_enabling_act,section,township,range,meridian,county,acres,object_id,gis_acres,trust_name
CA,California State Lands Commission,Subsurface,9 Stat. 452-453 (1850); 10 Stat. 244-248,16,T44N,R13E,MDM,Modoc,624.0393846,1,624.042,School Lands
CA,California State Lands Commission,Subsurface,9 Stat. 452-453 (1850); 10 Stat. 244-248,16,T16S,R22E,SBM,Imperial,40.38875416,2,40.389,School Lands
CA,California State Lands Commission,Subsurface,9 Stat. 452-453 (1850); 10 Stat. 244-248,36,T4N,R25E,SBM,San Bernardino,632.5891092,3,632.592,School Lands
